,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
0,285.84,285.84,285.84,285.84,285.84,285.84,285.84,286.53,287.07,287.07,285.68,287.07,287.07,285.86,288.85,290.16,290.16,292.7,292.08,292.08,289.47,290.59,290.59,289.18,286.57,286.57,286.32,288.11,288.11,287.02,286.57,287.86,287.86,286.57,286.52,286.52,286.72,287.35,287.35,286.39,286.14,286.27,286.27,285.88,285.69,285.69,285.76,285.64,285.64,285.7,285.83002,285.83002,285.83002,285.64,285.64,285.64,285.51,285.64,286.66998,286.66998,285.78,287.51,287.0,287.0,286.54,288.47,288.47,286.41998,289.51,288.47,288.47,289.05,286.49,290.09,290.09,289.13,286.83002,290.33,290.33,289.6,291.89,291.89,290.8,292.86,289.91998,289.91998,291.37,293.59,291.72998,291.72998,291.97,288.96,290.88,290.88,289.91998,291.97,289.91998,289.91998,293.01,292.78,293.54,293.54,293.75,292.01,292.38,292.38,293.87,293.1,288.76,288.76,293.8,288.41998,288.3,288.3,292.66,289.61,288.51,288.51,289.01,289.01,288.64,288.64,288.09,291.36,289.53,289.53,290.39,289.53,289.53,291.96,290.62,287.84,287.84,288.22,288.6,288.6,288.6,287.88,287.41,287.88,287.88,289.57,288.72,282.56,287.88,290.06,287.8,287.8,289.27,290.7,290.7,291.68,288.43,289.02,289.02,289.72998,290.82,290.82,290.58,291.47,288.68,288.68,290.14,290.86,290.86,288.6,287.51,287.38,287.38,287.26,287.26,287.26,287.05,287.05,287.05,287.18,287.31,287.43,287.43,287.05,287.18,287.18,287.05,286.47,286.47,285.82,286.26,279.01,282.38,282.38,286.65,286.65,287.35,287.35,286.84,286.0,287.64,287.64,287.84,287.51,287.51,287.64,287.77,287.77,287.26,288.91998,288.91998,290.13,285.59,285.59,286.61,288.03,288.03,289.47998,289.47998,288.79,287.57,287.57,288.16,288.54,288.54,289.22998,292.18,292.18,289.77,289.97998,289.97998,290.85,289.52,289.52,289.02,289.02,288.57,288.31,288.31,290.72998,289.57,289.57,292.6,289.44,289.44,289.69,289.69,290.07,289.32,289.32,290.53,289.57,289.57,291.12,291.12,293.05,293.41998,293.41998,291.72,292.45,292.45,291.96,291.96,288.94,289.97998,289.97998,291.55,291.55,290.33,288.89,288.89,289.72998,289.72998,290.22998,292.63,292.63,288.76,288.76,288.59,288.97,288.97,288.59,288.59,288.46,288.46,288.46,291.52,291.52,291.88,290.91,290.91,293.07,293.07,292.95,292.95,292.46,292.59,292.59,290.4,290.4,290.28,290.28,290.63,289.75,289.75
1,285.71,285.89,286.15,286.15,285.84,285.89,285.89,286.27,286.82,286.82,285.81,285.99,286.12,286.12,287.9,286.62,286.62,286.95,289.1,289.1,288.03,287.02,287.02,287.28,287.97998,287.97998,286.77,286.19,286.19,287.53,286.7,288.22998,288.22998,286.57,286.72,286.72,288.64,287.22998,287.22998,286.27,286.52,286.14,286.14,285.76,285.76,285.76,285.88,285.96,285.7,285.7,285.96,285.96,285.96,285.7,286.34,285.83002,285.83002,285.7,285.83002,285.83002,285.65,285.78,287.13,287.13,287.85,293.8,293.8,289.64,293.91,294.5,294.5,293.91,292.0,292.86,292.86,289.6,287.21,289.6,289.6,289.01,287.21,286.96,286.96,288.51,287.16,287.16,289.33,288.47,289.33,289.33,288.13,293.59,289.33,289.33,288.72,291.25,290.4,292.66,292.66,288.55,291.21,292.41998,293.34,288.97,288.97,293.87,292.74,292.38,292.38,289.14,291.91998,289.26,292.78,292.78,289.49,290.22998,292.41998,292.41998,289.26,290.11,290.11,288.34,288.93,290.87,290.87,288.22,287.84,290.62,290.62,292.46,288.34,287.84,287.84,288.47,288.26,289.1,289.1,287.54,288.26,288.26,288.72,291.27,289.1,289.1,289.1,289.1,289.27,289.27,290.58,289.72998,289.72998,292.28,289.27,291.43,291.43,290.82,290.47,290.47,289.85,288.6,288.93,288.93,291.47,289.89,289.89,289.56,287.26,286.75,286.75,287.26,287.26,287.26,287.05,286.79,286.79,287.18,286.79,286.79,287.18,287.56,286.59,286.59,286.91998,286.72,286.72,286.52,286.13,286.13,285.82,285.82,285.82,285.82,285.3,285.3,287.35,286.39,286.39,286.41998,287.13,287.13,288.22,287.64,287.64,286.41998,286.03,286.03,287.39,287.77,287.77,286.81,287.82,287.82,287.06,287.57,287.57,288.16,287.9,287.9,287.32,289.61,288.54,289.22998,292.18,292.18,289.77,289.97998,289.97998,290.85,289.52,289.52,289.02,289.02,290.11,288.69,288.69,289.57,290.16,290.16,292.36,289.57,289.57,290.9,290.9,289.57,291.38,291.38,288.72998,289.78,289.78,290.75,290.75,292.69,292.69,292.69,292.09,292.09,290.38,291.12,291.12,288.82,289.14,289.14,290.82,290.82,289.61,289.14,289.14,289.14,289.14,290.95,292.03,292.03,291.07,291.07,289.09,289.44,289.44,288.71,288.71,288.84,288.36,288.36,289.44,289.44,291.52,291.52,289.94,292.95,292.95,293.19,293.19,290.76,292.35,292.35,291.86,291.86,289.66,289.66,289.66,288.89,288.89
2,285.84,285.84,285.84,286.02,286.02,286.15,285.89,285.89,286.75,285.99,285.99,285.99,286.12,286.12,287.07,289.91998,289.91998,288.03,287.07,287.07,286.5,286.9,286.9,288.11,287.02,287.02,286.45,286.19,287.72998,287.72998,287.28,287.72998,287.72998,287.4,286.97,286.97,288.31,287.6,286.27,286.27,286.85,286.27,286.27,285.88,286.01,286.01,286.01,286.34,285.96,285.96,289.91998,285.83002,285.83002,285.83002,285.96,285.96,285.96,285.96,285.83002,285.83002,285.78,285.58002,286.88,286.88,287.38,290.13,293.01,293.01,293.56,294.5,294.5,294.15,291.16,293.99,293.99,294.1,287.46,286.7,286.7,286.83002,289.13,288.76,288.76,289.25,292.09,291.25,291.25,293.82,291.72998,291.72998,291.72998,290.4,291.49,292.7,292.7,292.21,292.7,293.13,293.13,289.76,289.39,293.13,293.87,293.64,293.64,290.66998,290.91,288.13,288.13,288.76,291.56,290.95,290.95,291.68,290.35,289.26,289.26,289.49,288.04,288.16998,288.16998,288.93,289.06,288.22,288.22,289.53,288.93,288.68,288.68,289.65,290.15,288.22,288.22,288.68,289.94,290.19,290.19,288.51,289.69,289.69,288.39,291.03,288.01,268.16998,277.59,277.59,292.66,292.66,290.22998,290.7,290.7,290.95,291.07,290.35,290.35,290.22998,290.1,290.1,291.56,288.68,288.47998,288.47998,290.39,289.89,289.89,292.32,287.13,287.13,286.75,287.13,287.13,287.13,287.77,287.05,287.05,287.05,286.91998,286.91998,286.79,287.18,287.31,287.31,286.72,287.05,287.05,286.77,286.0,286.0,284.47,285.87,285.87,284.72998,285.3,285.3,286.84,287.22998,287.22998,285.59,287.64,287.64,287.64,287.51,287.51,286.55,287.26,287.26,287.0,287.51,287.51,289.3,285.64,287.82,287.06,287.57,287.57,288.16,287.9,287.9,287.32,289.61,289.61,288.97998,290.11,290.11,290.6,288.94,288.94,288.57,288.57,290.36,289.97998,289.97998,290.11,289.97998,289.97998,289.69,288.6,288.6,291.38,291.38,288.47998,289.19,289.19,289.11,290.29,290.29,291.38,291.38,291.0,290.16,290.16,292.09,292.2,292.2,290.26,290.26,290.38,292.45,292.45,289.54,289.54,288.51,289.47998,289.47998,289.97998,288.76,288.76,289.26,289.26,289.72998,289.36,289.36,289.36,289.36,288.84,289.94,289.94,288.59,288.59,289.09,289.09,288.59,289.44,289.44,290.66998,290.66998,290.19,292.71,292.71,292.59,292.59,291.01,291.01,291.49,292.95,292.95,289.53,289.53,290.76,290.76,288.76
3,285.84,285.84,285.84,286.02,286.27,286.27,287.81,287.81,286.78,285.81,285.81,286.75,286.5,286.5,286.37,288.03,288.03,290.41,288.97,288.97,286.5,287.02,287.02,288.36,286.45,286.57,286.57,287.97998,289.41998,289.41998,290.0,287.4,287.4,289.63,287.47998,287.47998,286.39,286.72,286.39,286.39,288.31,289.5,289.5,286.14,286.01,286.01,286.14,286.09,286.34,286.34,290.51,285.96,285.96,285.83002,285.7,286.34,286.34,285.7,285.83002,286.54,286.54,285.91,287.97,287.97,291.44,288.35,288.93,288.93,293.91,293.68,293.68,292.78,289.84,294.34,294.34,293.63,289.25,287.68,287.68,287.46,287.93,289.13,289.13,290.21,288.3,289.33,289.33,293.7,289.43,288.01,288.01,288.96,291.97,293.59,293.59,293.05,289.8,290.25,290.25,290.36,290.13,290.01,291.52,289.22,289.22,288.38,292.74,288.13,288.13,292.41998,289.39,292.16998,292.16998,293.26,292.78,289.61,289.61,288.16998,291.68,288.04,288.04,288.81,289.06,288.34,288.34,288.09,290.15,288.34,288.34,288.34,288.68,290.87,290.87,288.72,288.97,288.97,290.78,289.47,289.69,289.69,288.6,290.31,288.14,288.14,286.62,286.62,286.62,286.62,292.4,291.31,291.31,289.51,292.4,292.4,291.07,292.78,291.68,291.68,292.16,292.82,292.82,289.56,290.14,292.82,292.82,292.82,289.31,289.31,286.75,287.26,287.0,287.0,287.18,287.18,287.18,286.91998,286.72,286.72,286.47,286.91998,286.91998,287.31,287.05,287.47998,287.47998,286.65,285.3,285.3,285.69,286.26,286.26,286.52,286.13,286.13,286.52,285.69,285.69,286.55,286.55,286.55,286.81,287.51,287.51,286.55,287.26,287.26,287.0,287.51,287.51,289.3,285.64,285.64,287.57,287.57,287.57,287.9,287.82,287.82,288.41,288.79,288.79,288.03,290.22998,290.22998,291.32,291.32,288.31,288.44,288.44,289.52,290.85,290.85,291.44,290.11,290.11,292.6,288.47998,288.47998,291.5,291.5,289.19,290.9,290.9,288.97998,290.66,290.66,292.47998,292.47998,290.38,291.0,291.0,292.69,292.81,292.81,291.96,291.96,291.96,292.93,292.93,290.5,290.5,290.1,288.38,288.38,290.33,290.33,289.14,289.26,289.26,288.51,288.51,289.14,288.38,288.38,289.94,289.94,290.41998,288.84,288.84,288.97,288.97,288.97,288.71,288.71,291.76,291.76,290.15,291.01,291.01,291.61,291.61,292.83,292.83,292.35,293.07,293.07,289.53,289.53,289.53,289.53,289.62
4,286.15,286.15,285.71,286.27,286.27,286.27,287.81,287.81,286.78,285.81,285.81,286.75,286.5,286.5,286.62,292.82,292.82,288.72,292.56,292.56,287.58002,288.47998,288.47998,287.53,287.28,289.76,289.76,286.77,288.93,288.93,291.08,286.77,286.77,286.57,288.44,288.44,287.22998,287.22998,287.47998,287.47998,292.74,290.21,290.21,286.52,286.39,287.69,287.69,286.66998,287.05,287.05,286.47,285.51,285.51,285.51,285.7,285.7,285.7,285.64,285.96,286.16,286.16,286.41998,285.91,285.91,286.88,286.29,286.41998,286.41998,287.72,288.1,292.28,292.28,292.97,293.51,293.51,292.36,289.72,291.16,291.16,289.38,292.86,289.38,289.38,288.3,289.38,288.13,288.13,288.13,290.64,287.41,287.41,288.01,289.56,293.29,293.29,292.46,290.88,288.33002,288.33002,291.69,292.05,291.21,291.21,290.55,290.55,290.31,293.1,293.8,293.8,293.68,287.79,289.01,289.01,289.26,288.76,291.32,291.32,289.49,290.71,289.49,289.49,288.93,291.72,288.68,288.68,289.18,289.53,288.34,288.34,290.5,288.09,289.06,289.06,289.94,290.31,290.31,288.6,291.03,289.47,289.47,290.78,289.81,288.72,288.72,289.1,291.8,291.8,293.02,293.02,289.27,289.27,292.9,291.91998,291.91998,292.66,293.02,291.8,291.8,288.31,291.84,291.84,291.72,292.08,290.51,290.51,293.06,292.58,292.58,287.85,287.38,287.38,287.77,287.31,287.18,287.18,287.05,286.91998,286.91998,286.91998,286.91998,286.91998,287.43,286.79,286.79,287.35,287.1,285.82,285.82,284.72998,285.82,285.82,286.39,286.13,286.13,286.52,285.69,285.69,286.55,286.55,286.55,286.81,286.29,286.29,287.39,286.87,286.87,287.51,287.39,287.39,288.35,287.7,287.7,289.11,287.57,287.57,288.28,289.61,289.61,288.79,289.61,289.61,287.82,287.82,289.65,290.6,290.6,288.57,288.69,288.69,288.69,290.22998,290.22998,289.4,288.82,288.82,292.6,292.6,288.35,289.82,289.82,289.44,289.69,289.69,290.66,291.14,291.14,290.66,290.66,291.6,289.91,289.91,291.0,291.0,291.84,291.12,291.12,292.93,291.0,291.0,291.35,291.35,290.95,289.26,289.26,291.55,291.55,288.29,288.29,288.29,288.89,288.89,288.89,288.29,288.29,290.31,290.31,291.16,289.09,289.09,288.84,288.84,289.34,288.36,288.36,292.25,292.25,291.25,291.25,291.86,289.78,289.78,290.88,290.88,292.95,292.46,292.46,290.03,290.03,289.53,289.53,290.25
5,286.4,286.4,286.15,286.15,286.15,286.27,286.15,286.15,286.78,288.72,288.72,286.5,286.5,286.5,286.62,292.82,292.82,288.72,292.56,292.56,287.58002,288.47998,287.53,288.11,287.53,287.28,287.28,290.12,290.12,290.12,290.0,288.61,288.61,287.15,286.72,287.47998,287.47998,287.94,288.31,288.31,288.44,288.31,288.31,292.0,286.65,286.39,286.39,289.91998,286.93,286.93,287.89,285.51,285.7,285.7,285.83002,286.21,286.21,287.64,286.34,287.0,287.0,286.29,285.91,285.91,290.6,286.29,286.16,286.16,286.62,286.62,289.16998,289.16998,292.0,290.33,293.99,293.99,291.04,294.45,294.45,294.34,294.34,294.22,294.22,293.63,290.33,288.25,288.25,290.16998,288.01,288.72,288.72,288.47,288.47,291.85,291.85,292.32,293.94,291.33,291.33,292.41998,291.57,293.78,293.78,293.22,293.22,288.85,288.47,293.68,293.68,289.01,287.54,292.29,292.29,289.74,290.46,289.97998,289.97998,288.3,290.22998,293.02,293.02,291.11,290.15,289.65,289.65,288.56,288.68,287.84,287.84,288.68,287.96,287.96,288.22,289.57,290.54,290.54,289.35,290.06,288.72,288.72,290.19,291.4,291.4,290.43,292.24,293.26,293.26,292.54,293.5,293.14,293.14,291.43,292.66,292.66,290.7,290.95,291.19,291.19,288.81,292.82,292.82,292.44,292.82,292.08,292.08,290.02,287.97998,287.97998,288.81,287.51,287.51,288.4,287.56,287.43,287.43,287.69,287.05,287.05,287.18,287.56,287.56,288.85,288.02,286.79,287.35,287.1,287.1,283.65,283.65,285.82,285.82,286.39,286.52,286.52,286.52,285.69,285.69,286.68,286.55,286.55,286.87,286.29,286.29,286.87,288.47998,288.47998,287.51,287.64,287.64,287.82,287.44,287.44,288.66,288.79,288.79,287.7,289.81,289.81,287.57,287.57,288.16,288.41,288.41,288.94,288.57,288.57,288.69,288.57,288.57,288.69,289.4,289.4,288.57,288.31,288.31,291.99,291.99,289.11,291.5,291.5,289.69,290.9,290.9,292.36,292.36,289.19,289.44,289.44,289.28,289.54,289.54,290.88,290.88,290.75,289.54,289.54,291.84,290.38,290.38,290.26,290.26,291.41998,290.1,290.1,292.16,292.16,290.45,289.61,289.61,289.61,289.61,289.14,288.76,288.76,289.44,289.44,290.19,289.82,289.82,288.97,288.97,289.22,289.22,288.1,291.76,291.76,290.03,290.03,291.61,291.49,291.49,289.43,289.43,292.46,292.46,292.46,290.03,290.03,289.53,289.53,290.25
6,286.4,286.4,286.66,286.78,286.78,286.4,286.15,286.15,286.4,287.07,287.07,287.7,287.07,287.07,287.45,293.29,293.29,293.16998,293.75,291.72,291.72,287.65,288.11,288.11,287.53,287.28,287.28,290.12,290.12,290.12,290.0,288.61,287.53,287.53,286.52,287.69,287.69,288.64,288.19,288.19,290.91998,292.47998,293.89,293.89,291.16,290.91998,290.91998,292.82,291.0,291.0,288.14,286.21,285.83002,285.83002,285.96,286.34,286.34,286.47,289.22,286.41998,286.41998,286.41998,286.16,287.0,287.0,288.93,286.29,286.29,286.54,286.75,287.6,287.6,292.4,290.68,293.75,293.75,290.33,294.22,293.63,293.63,294.34,294.34,294.34,293.63,291.65,287.88,287.88,288.38,288.01,287.41,287.41,289.43,289.09,288.84,288.84,291.0,293.59,293.78,293.78,291.93,292.16998,292.41998,289.16998,290.91,291.64,293.64,292.25,289.86,289.86,290.22998,288.41998,288.3,288.3,288.16998,288.16998,291.8,291.8,290.58,290.22998,290.58,290.58,288.56,287.96,291.84,291.84,288.68,289.31,289.31,289.06,289.43,287.71,287.71,287.84,288.6,292.62,292.62,289.47,291.15,288.39,288.39,290.06,292.62,292.62,292.62,291.4,293.02,293.02,291.91998,293.14,293.14,292.78,292.28,292.04,292.04,292.66,292.4,292.4,288.56,289.06,290.97998,290.97998,292.32,291.72,291.72,290.27,289.77,291.11,291.11,291.72,288.1,288.1,288.85,288.72,288.72,287.43,287.69,287.05,287.05,287.18,287.56,287.56,288.85,288.02,288.02,286.84,287.72998,287.72998,285.87,285.69,285.69,285.69,286.52,286.39,286.39,286.13,286.0,286.0,286.55,286.87,286.87,287.13,287.26,287.26,287.26,287.13,287.13,288.47998,288.91998,288.91998,286.86,287.32,287.32,288.54,289.22998,289.22998,287.82,287.82,287.19,287.7,287.7,288.54,287.7,287.7,288.69,288.57,288.57,290.36,288.94,288.94,288.06,290.72998,290.72998,288.06,288.06,289.15,290.16,290.16,289.57,290.53,290.53,289.19,290.29,290.29,291.14,291.14,288.86,288.86,288.86,289.91,289.66,289.66,290.75,290.75,291.72,289.91,289.91,291.0,291.0,289.19,289.66,289.66,289.36,289.14,289.14,292.16,292.16,289.72998,292.51,292.51,292.03,292.03,289.36,288.84,288.84,288.97,288.97,289.22,289.22,289.44,288.59,288.59,288.71,288.71,288.22998,290.41998,290.41998,290.03,290.03,291.61,291.49,291.49,289.43,289.43,292.46,292.46,291.86,289.18,289.18,290.28,290.28,291.34
7,288.88,288.88,287.72998,288.06,288.06,287.81,287.61,287.61,286.97998,288.28,288.28,287.7,287.7,287.7,287.9,293.06,293.53,293.53,293.75,293.29,293.29,292.08,289.3,289.3,288.93,287.86,287.86,293.02,291.8,291.8,292.4,290.0,287.53,287.53,286.52,287.69,287.69,288.64,288.19,288.19,290.91998,293.89,294.12,294.12,294.01,291.4,291.4,291.47998,293.41,288.14,288.14,286.34,287.3,287.3,285.83002,288.39,286.34,286.34,286.93,287.18,287.18,287.0,287.6,286.29,286.29,286.75,286.41998,286.41998,286.88,288.22,286.88,286.88,290.25,293.99,294.45,294.45,288.3,293.51,293.87,293.87,294.34,294.1,294.22,294.22,293.75,290.4,288.47,288.47,287.88,288.38,288.38,287.51,288.72,288.96,288.96,288.38,288.38,288.47,289.39,289.39,290.6,291.21,288.08002,287.87,288.6,288.72,289.1,289.1,287.91998,287.79,288.76,288.76,288.41998,288.3,288.51,290.22998,290.22998,288.04,288.16998,288.16998,289.97998,290.02,287.84,287.84,288.47,288.47,287.96,287.96,288.34,291.24,287.96,287.96,289.65,288.26,291.4,291.4,288.51,290.66,290.66,290.31,291.27,292.74,292.74,292.74,291.64,293.38,293.38,288.77,291.31,291.31,290.47,293.14,291.07,291.07,288.77,292.78,292.78,292.16,290.27,291.11,291.11,292.58,291.22998,291.22998,290.39,289.77,291.11,291.11,291.72,288.1,288.1,288.85,288.72,288.72,287.77,287.43,287.43,287.18,287.43,288.4,288.4,287.43,286.91998,286.91998,286.77,287.35,287.35,286.77,285.3,285.3,285.0,286.65,286.65,285.69,286.26,286.26,286.52,286.29,286.55,286.55,286.81,290.25,290.25,291.33,287.0,287.0,287.77,287.97,287.97,286.72998,286.72998,287.19,288.03,288.03,287.82,287.06,287.06,287.57,287.32,287.32,288.79,287.6,287.6,289.02,289.65,289.65,290.85,289.52,289.52,288.06,288.06,289.52,289.02,289.02,289.02,288.97998,288.97998,288.72998,288.47998,288.47998,288.86,288.86,289.82,291.75,291.75,288.14,289.19,289.19,290.38,290.38,289.28,291.0,291.0,290.88,289.28,289.28,289.19,289.19,288.31,287.97,287.97,288.03,288.03,289.36,289.86,289.86,288.51,288.51,291.07,292.27,292.27,289.36,289.36,289.22,289.57,289.57,289.22,289.22,289.44,288.59,288.59,288.71,288.71,288.22998,290.41998,290.41998,290.88,290.88,291.97998,291.97998,292.35,291.25,291.25,291.86,291.86,289.66,289.66,289.78,289.52,289.52,291.22
8,288.44,288.44,289.82,286.97998,286.97998,287.47998,288.06,288.06,287.1,287.45,287.2,287.2,289.91998,291.24,291.24,291.72,293.06,293.06,293.29,293.53,293.53,291.72,293.25,293.25,289.76,292.16,292.16,292.78,291.44,291.32,291.32,291.2,288.11,288.11,286.9,287.35,287.35,289.26,289.01,289.01,292.12,293.89,294.12,294.12,294.01,291.4,291.4,291.47998,293.41,288.14,289.91998,290.51,292.7,292.7,292.08,286.47,288.72,288.72,286.21,287.05,287.05,291.2,286.62,286.41998,286.41998,290.6,291.56,289.05,289.05,287.72,289.05,289.05,291.2,293.09,292.62,292.62,292.36,288.3,294.22,294.22,294.45,294.22,294.34,294.34,291.4,290.4,291.49,291.49,287.41,288.13,291.0,291.0,287.88,289.21,288.25,288.25,289.43,287.88,290.25,290.25,289.05,291.45,287.62,287.62,288.13,289.22,288.6,288.6,289.61,287.54,288.16998,288.16998,291.44,289.86,288.64,288.64,287.44,287.79,292.78,292.78,287.96,288.34,288.09,288.09,288.09,293.3,288.09,288.09,288.09,289.53,287.96,287.96,292.58,288.01,289.69,289.69,288.6,289.94,289.94,290.91,291.4,291.27,291.27,292.0,290.54,291.07,291.07,288.31,289.61,289.61,291.56,291.91998,288.77,288.77,288.43,291.91998,292.78,292.16,290.27,291.11,291.11,292.58,291.22998,291.22998,290.39,292.08,292.08,291.59,291.11,289.77,289.77,287.05,288.85,288.85,288.02,288.4,288.4,287.56,288.4,288.27,288.27,287.56,287.05,287.05,286.77,286.84,286.84,286.97,285.16998,285.16998,286.0,286.65,286.65,286.52,286.26,286.26,286.87,286.16,286.16,282.07,282.07,280.99,287.64,287.51,287.51,282.6,282.6,287.64,283.96,283.96,287.06,288.28,289.72998,289.72998,289.36,290.06,290.06,286.86,287.44,287.44,288.66,287.97998,287.97998,289.52,291.57,291.57,290.11,290.22998,290.22998,289.65,289.65,290.36,288.31,288.31,290.22998,290.29,290.29,290.16,288.22,288.22,289.32,289.32,288.86,289.44,289.44,288.72998,288.6,288.6,288.69,288.69,291.0,286.27,286.27,288.22,289.07,289.07,288.94,288.94,288.44,288.44,288.44,288.38,288.38,288.76,288.89,288.89,288.76,288.51,291.07,292.27,292.27,289.36,289.36,289.22,289.57,289.57,289.34,289.34,289.57,288.59,288.59,288.46,288.46,288.59,290.19,290.19,289.9,289.9,291.38,291.38,291.97998,289.53,289.53,291.25,291.25,288.91998,288.91998,290.4,289.14,289.14,290.6
9,291.38,293.9,293.9,287.1,287.36,287.36,289.25,287.61,287.61,286.62,286.75,286.75,289.47,292.2,292.2,287.9,290.41,290.41,293.53,293.41,293.41,293.29,291.08,291.08,291.08,292.9,292.9,292.78,293.13,289.55,289.55,292.66,290.12,290.12,288.47998,289.59,289.59,293.65,292.97998,291.64,291.64,293.09,290.08,290.08,290.55,294.24,294.24,294.12,288.02,289.91998,289.91998,290.51,292.7,292.7,292.08,286.47,288.72,288.72,287.77,286.8,289.64,289.64,287.72,287.38,287.38,292.78,294.5,293.01,293.01,288.93,294.27,291.8,291.8,294.22,294.45,294.45,291.28,289.47,292.86,292.86,292.74,292.86,294.45,294.45,289.47,291.61,292.09,292.09,288.59,289.91998,291.37,291.37,288.72,287.28,287.41,287.41,287.63,288.47,287.83002,287.83002,289.29,289.16998,292.13,292.13,288.47,292.38,290.55,290.55,291.8,287.91998,288.16998,288.16998,292.78,291.2,290.46,290.46,287.79,289.74,292.9,292.9,287.84,288.68,288.22,288.22,288.09,288.34,290.02,290.02,292.33,289.43,289.06,289.06,292.08,290.31,290.31,289.35,291.64,288.97,288.97,291.15,291.4,291.76,291.76,288.97,288.51,288.51,290.7,288.31,289.61,289.61,291.56,291.91998,291.91998,288.77,288.43,291.91998,291.91998,291.91998,289.18,289.18,291.84,290.14,292.08,292.08,290.39,290.62,290.62,288.93,291.59,289.18,289.18,286.72,287.31,287.31,288.72,288.53,288.53,291.88,287.69,287.69,287.05,287.31,287.05,287.05,285.87,286.65,286.65,286.65,286.13,286.13,285.82,286.97,286.97,286.77,287.22998,287.22998,286.55,286.03,286.03,282.87,282.87,283.4,284.22998,284.22998,284.22998,280.3,280.3,282.47,277.65,277.65,281.2,285.96,287.9,287.9,288.03,287.19,287.19,289.47998,287.32,287.32,288.54,289.4,289.4,289.4,290.36,290.36,291.44,291.44,288.57,290.72998,290.72998,289.97998,289.52,289.52,292.12,292.12,292.12,289.44,289.44,288.14,289.32,289.32,288.72998,288.72998,288.72998,288.22,288.22,286.74,287.71,287.71,292.09,288.57,288.57,286.74,286.74,290.88,288.31,288.31,288.44,288.44,288.44,288.38,288.38,288.76,288.89,288.89,288.76,288.76,289.72998,290.95,290.95,290.58,290.58,289.82,289.34,289.34,289.34,289.34,290.79,289.94,289.94,289.57,289.57,291.04,291.04,288.71,290.4,290.4,290.63,290.63,290.76,289.3,289.3,290.28,290.28,289.05,289.05,290.4,289.75,289.75,291.1
