,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
0,294.41998,294.41998,301.71,301.71,299.18,299.18,300.59,300.59,296.64,296.64,297.75,302.54,302.54,297.99,297.99,297.99,297.99,296.88,296.88,296.52,296.52,297.63,297.63,296.84,297.83,297.83,297.95,297.95,297.83,297.83,298.19,298.19,298.3,298.3,298.49,298.19,298.61,298.61,298.61,298.61,298.72998,298.72998,297.59,297.59,295.22998,295.22998,295.22998,294.99,294.99,293.54,293.54,290.77,290.77,289.52,289.52,287.75,287.75,285.12,285.12,282.39,282.39,283.6,283.6,279.33002,277.81,283.45,283.45,272.47998,272.47998,271.31,271.31,278.0,278.0,273.33002,273.33002,282.26,282.26,279.44,279.44,277.83002,277.83002,277.07,277.07,282.85,282.85,288.37,288.37,288.37,288.37,288.37,288.37,288.37,288.37,288.37,292.22998,292.22998,291.72998,291.72998,293.34,293.34,293.34,293.71,292.97,292.35,292.35,294.08,294.08,292.41,292.41,289.79,289.79,287.14,287.14,287.14,286.88,286.88,288.02,288.02,284.96,284.96,281.72998,281.72998,281.72998,281.72998,280.97998,280.97998,283.83002,283.83002,286.91998,277.58002,277.58002,277.28,250.83,250.83,250.83,249.95999,249.95999,282.83002,282.83002,270.95,270.95,265.65,265.65,265.65,278.53,278.53,278.53,278.96,278.96,278.96,280.14,280.14,281.07,281.07,275.34,275.34,260.59,260.59,254.85,254.85,254.85,284.72,284.72,284.72,280.5,280.5,279.91,279.91,279.91,284.59,284.59,283.57,283.57,283.57,287.61,264.71,264.71,264.71,277.13,277.13,277.13,280.99,280.99,280.99,283.96,283.96,262.09,262.09,287.59,287.59,287.59,287.59,293.46,293.46,293.46,293.21,293.21,287.35,287.35,287.35,293.83,293.83,293.83,294.2,294.2,294.61,294.61,294.61,294.85,294.85,294.85,294.72998,294.72998,294.72998,294.47998,294.47998,294.22998,294.22998,294.22998,294.72998,294.72998,294.72998,294.49,294.49,295.1,295.22,295.22,295.22,293.13,293.13,294.35,294.35,294.35,294.86,294.86,294.86,294.86,294.86,294.86,295.35,295.35,295.35,294.99,294.99,294.99,295.22998,295.22998,295.22998,295.03,295.03,295.03,295.03,295.03,294.79,295.28,295.28,295.28,295.28,295.28,295.28,295.16,295.16,295.16,295.36,295.36,295.36,294.69,294.69,294.69,294.69,295.6,295.6,295.6,295.6,295.6,295.6,296.09,296.09,296.09,295.61,295.61,295.61,295.61,295.97,295.97,295.97,295.97,295.97,295.97,295.62,295.62,295.62,295.62,294.27,294.27,294.27,293.77,293.77,293.77,293.77,293.03
1,292.41,297.04,297.04,299.71,297.46,297.46,296.69,296.69,296.29,296.29,296.88,296.88,300.35,300.35,298.1,298.22,298.22,296.88,296.88,295.66,295.66,297.83,297.83,295.38,295.38,297.47998,297.47998,298.19,298.19,298.3,298.19,298.19,298.3,298.3,298.49,298.49,298.72998,298.72998,298.72998,298.72998,298.18,298.18,297.83,297.83,296.94,296.94,296.32,296.32,294.27,294.27,293.37,293.37,290.15,290.15,290.64,290.64,287.63,287.63,284.86,282.39,282.39,283.6,283.6,279.33002,279.33002,278.14,278.14,276.72998,276.72998,276.43,276.43,280.49,280.49,287.91998,287.91998,287.91998,287.91998,287.91998,287.91998,287.91998,287.91998,287.91998,287.91998,287.91998,287.91998,287.91998,287.91998,287.91998,291.79,291.79,289.05,289.05,291.72998,291.72998,291.72998,292.47998,292.47998,291.72998,291.72998,293.34,293.34,293.71,293.71,292.97,292.97,293.71,293.71,291.16998,291.16998,291.16998,289.41998,289.41998,291.29,291.29,288.66998,288.66998,286.53,286.53,288.54,288.54,288.54,290.97,290.97,281.72998,281.72998,280.97998,280.97998,283.83002,283.83002,279.54,279.54,275.44,275.44,251.04,251.04,270.43,270.43,281.0,281.0,281.0,259.27,259.27,263.29,263.29,278.82,278.82,278.82,278.82,281.96,281.96,281.63,281.63,283.38,283.38,281.07,275.34,260.59,260.59,260.59,249.65,249.65,272.69,272.69,272.69,272.69,272.69,274.97998,274.97998,274.97998,274.97998,274.97998,274.97998,290.47,290.47,290.47,290.47,290.47,281.72,281.72,280.85,280.85,280.85,276.24,276.24,276.24,283.96,262.09,262.09,262.09,287.59,287.59,287.59,287.59,293.46,293.46,292.16,292.16,292.16,292.16,292.16,292.16,293.95,293.95,294.33,294.33,294.33,294.85,294.85,294.85,294.85,294.85,294.61,294.61,294.61,294.36,294.36,294.36,293.13,293.13,293.13,294.72998,294.72998,294.49,294.49,294.49,294.61,294.61,294.61,294.49,294.49,294.49,293.97998,293.97998,293.97998,294.86,294.86,294.86,295.11,295.11,295.11,295.22998,295.22998,295.22998,294.74,294.74,294.74,295.16,295.16,295.16,295.03,295.03,295.03,295.03,295.03,295.03,294.79,294.79,294.79,295.16,295.16,295.16,295.36,295.36,295.36,295.11,295.11,295.11,295.36,295.36,295.36,295.22998,295.22998,295.22998,295.22998,295.85,295.85,295.85,296.09,296.09,296.09,295.61,295.61,295.61,295.85,295.85,295.85,295.85,295.85,295.85,295.85,295.16998,295.16998,295.16998,295.16998,294.27,294.27,294.27,293.4,293.4,293.4,293.4
2,296.15,294.66,294.66,298.47998,298.47998,296.69,296.69,295.05,293.95,293.95,295.9,295.9,300.35,300.35,298.22,298.22,298.22,298.22,297.39,297.39,296.76,298.07,298.07,295.14,295.14,297.2,297.47998,298.19,298.19,298.3,298.3,298.19,298.19,298.19,298.19,298.3,298.3,298.72998,298.61,298.61,297.47,297.47,297.94,297.94,294.87,294.87,296.32,296.32,295.47998,295.47998,293.13,293.13,293.13,293.13,289.64,289.64,285.52,285.52,289.15,289.15,281.59,281.59,281.59,278.87,278.87,272.33002,272.33002,279.76,279.76,285.7,285.7,285.7,285.7,285.7,285.7,285.7,286.71,286.71,285.31,285.31,289.44,289.44,290.56,290.56,291.3,291.3,291.3,293.03,293.03,293.28,293.28,292.6,292.6,291.72998,291.72998,292.47998,292.47998,290.97998,290.97998,293.46,293.46,293.34,293.34,293.34,293.58,293.58,294.84,294.84,291.04,291.04,288.78,288.78,288.28,288.28,291.91,291.91,291.91,289.91,289.91,291.54,291.54,289.84,289.84,284.1,281.91998,281.91998,281.91998,280.27,280.27,280.27,278.72,278.72,279.91,279.91,278.82,278.82,274.14,274.14,274.14,280.09,280.09,272.82,263.82,263.82,263.82,277.56,277.56,277.56,281.96,281.96,281.63,281.63,281.63,283.38,283.38,277.85,277.85,270.22998,270.22998,278.0,278.0,278.0,278.0,274.97998,270.08002,270.08002,286.46,286.46,286.46,269.57,269.57,288.88,288.88,288.88,288.88,288.25,288.25,288.25,280.85,280.85,280.85,280.85,276.24,276.24,276.24,276.69,276.69,270.06,270.06,292.24,292.24,292.24,292.24,292.74,292.74,283.91998,283.91998,283.91998,287.71,292.16,292.16,293.58,293.58,293.58,294.47998,294.47998,294.47998,294.85,294.85,295.1,295.1,295.1,294.1,294.1,294.1,294.36,294.36,293.13,293.13,293.13,294.35,294.35,294.35,294.61,294.61,294.61,291.8,291.8,291.8,292.89,292.89,292.89,294.62,294.62,294.86,294.86,294.86,294.74,294.74,294.74,294.86,294.86,294.86,294.36,294.74,294.74,295.16,295.16,295.16,295.16,295.16,295.16,294.91,294.91,294.91,294.39,294.39,294.39,293.66,293.66,293.66,293.66,295.36,295.36,295.36,295.22998,295.22998,295.22998,295.36,295.36,295.36,295.22998,295.22998,295.22998,295.85,295.85,295.85,295.85,296.09,296.09,296.09,295.72998,295.72998,295.72998,295.85,295.85,295.85,295.61,295.61,295.61,295.61,294.68,294.68,294.68,294.02,294.02,294.02,294.02,293.16,293.16,293.16
3,295.31,294.18,294.18,296.03,296.03,296.45,296.45,295.05,295.05,298.86,298.86,294.56,301.16,301.16,299.41998,299.41998,298.1,298.1,297.12,297.12,296.96,296.96,298.07,298.07,295.14,297.2,297.2,297.83,297.83,297.47998,297.47998,297.2,297.2,298.19,298.19,298.06,298.06,298.3,298.3,298.3,298.3,297.83,297.83,297.06,297.06,294.99,294.99,294.03,294.03,293.87,294.94,294.94,294.11,294.11,291.89,289.64,285.52,285.52,282.8,282.8,285.6,285.6,277.66,277.66,282.37,282.37,285.5,285.5,285.5,285.5,285.5,285.5,285.5,289.6,289.6,289.85,289.85,291.3,291.3,292.41,292.41,292.66,292.66,291.55,291.55,292.41,292.41,293.28,293.03,293.28,293.28,292.6,292.6,293.34,293.34,293.95,293.95,293.95,292.72,292.72,293.83,293.83,293.46,293.46,294.57,294.57,294.39,294.39,291.41998,291.41998,289.16998,289.16998,289.16998,289.29,289.29,291.66998,291.66998,289.41998,289.41998,287.94,291.54,291.54,289.84,289.84,284.1,284.1,278.97,278.97,278.97,278.97,276.85,268.38,268.38,268.38,278.38,278.38,278.38,279.03,279.03,279.03,279.03,279.03,277.01,269.41998,263.82,277.56,277.56,277.56,277.56,281.96,281.96,280.88,280.88,275.34,275.34,275.34,282.1,270.22998,270.22998,270.22998,256.78,256.78,276.11,276.11,276.11,275.33002,275.33002,275.33002,288.22998,288.22998,283.52,283.52,283.52,290.21,290.21,282.72998,286.45,286.45,288.61,288.61,278.52,278.52,278.52,278.37,278.37,263.03,263.03,280.28,280.28,280.28,280.28,292.49,292.49,292.49,293.11,271.02,271.02,271.02,286.83002,286.83002,286.83002,286.83002,291.21,291.21,294.36,294.36,294.36,294.61,294.61,294.61,293.72998,295.1,295.1,294.1,294.1,290.4,290.4,290.4,291.8,291.8,291.8,293.97998,293.97998,293.97998,294.22998,294.22998,292.89,292.89,292.89,294.22998,294.22998,294.22998,294.86,294.86,294.86,294.47998,294.47998,294.47998,294.47998,294.47998,294.74,294.86,294.86,294.86,294.36,294.36,294.36,295.03,295.03,295.03,295.16,295.16,295.16,293.28,293.28,293.28,294.39,294.39,294.39,294.64,294.64,294.64,295.11,295.11,295.11,294.82,294.82,294.82,295.22998,295.36,295.36,295.36,295.22998,295.22998,295.22998,296.09,296.09,296.09,295.97,295.97,295.97,295.97,295.97,295.97,295.97,295.85,295.85,295.85,295.16998,295.16998,295.16998,295.16998,294.91998,294.91998,294.91998,293.4,293.4,294.02,294.02,293.16,293.16
4,294.78,294.78,293.78,293.78,293.03,296.52,296.52,295.78,295.78,296.76,296.76,296.88,296.88,299.66,299.66,298.22,298.1,298.1,297.12,297.12,296.96,296.96,297.83,297.83,294.89,294.89,297.36,297.36,297.36,297.36,296.6,296.6,297.72,297.6,297.6,298.41,298.41,298.41,298.41,297.83,297.83,297.47,297.47,297.71,297.71,296.32,296.32,295.47998,295.47998,292.63,292.63,294.94,294.94,294.11,294.11,291.89,279.81,279.81,280.22998,280.22998,284.0,284.0,285.26,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.37,289.85,289.85,291.22998,291.22998,290.6,290.6,291.55,291.55,292.04,292.04,292.66,292.66,292.54,291.55,292.41,292.41,293.28,293.28,293.77,293.77,293.77,291.97998,291.97998,293.71,293.71,293.46,293.46,293.58,293.58,294.57,294.57,294.2,294.2,294.44,294.44,294.44,293.28,293.28,291.29,291.29,291.04,291.04,287.01,287.01,291.66998,291.66998,291.66998,289.41998,289.41998,287.94,287.94,290.35,290.35,288.33002,288.33002,289.72998,289.72998,282.06,282.06,278.28,278.28,269.75,269.75,281.32,281.32,281.32,286.64,286.64,286.64,278.38,279.03,277.01,269.41998,269.41998,269.41998,277.19,277.19,277.19,280.45,280.45,282.66,282.66,282.66,278.15,278.15,283.28,283.28,273.54,273.54,255.47,255.47,255.47,273.69,273.69,281.99,281.99,281.99,280.2,280.2,280.2,283.52,283.52,292.88,292.88,292.88,282.72998,282.72998,286.45,288.61,288.61,280.71,280.71,280.71,283.33002,255.38,255.38,255.38,292.74,292.74,292.74,292.74,292.74,292.74,292.36,292.36,292.36,291.4,291.4,291.4,291.4,291.4,292.61,292.61,292.61,294.47998,294.36,294.36,294.61,294.61,280.95,280.95,280.95,284.8,284.8,284.8,289.37,289.37,289.37,288.72,288.72,293.74,293.74,293.74,293.86,293.86,293.86,293.74,293.74,293.74,294.35,294.35,294.35,293.99,293.99,294.86,294.47998,294.47998,294.47998,294.47998,294.47998,294.47998,294.62,294.62,294.62,294.11,294.11,294.11,295.16,295.16,295.16,294.64,294.64,294.64,293.53,293.53,293.53,294.39,294.39,294.39,294.32,294.32,294.32,294.57,295.11,295.11,294.82,294.82,294.82,295.11,295.11,295.11,295.36,295.36,295.36,295.36,296.09,296.09,296.09,295.72998,295.72998,295.72998,295.97,295.97,295.97,295.97,295.61,295.61,295.61,295.16998,295.16998,295.16998,294.91998,294.91998,294.91998,294.91998,293.4,293.4,293.4,293.16,293.16
5,294.41998,294.41998,295.03,295.03,297.82,297.82,293.59,293.59,293.34,296.52,296.52,300.01,296.88,299.66,299.66,298.22,298.22,298.1,298.1,297.63,297.63,296.49,297.72,297.72,296.96,296.96,296.72,296.72,296.96,296.96,296.72,296.72,297.72,297.72,296.71,296.71,298.06,298.06,298.18,298.18,297.59,296.83,296.83,296.94,296.94,296.71,296.32,295.47998,295.47998,292.63,292.63,295.06,295.06,291.4,291.4,290.52,290.52,282.39,282.39,278.01,278.01,289.97998,289.97998,289.97998,289.97998,289.97998,289.97998,290.97998,290.97998,291.22998,291.22998,291.22998,291.22998,291.22998,291.22998,291.1,291.1,291.66998,291.66998,292.04,292.04,292.04,292.66,292.66,292.54,292.54,293.03,293.03,294.26,294.26,294.95,294.95,293.46,293.46,293.46,293.46,292.47998,292.47998,291.85,291.85,291.85,294.57,294.57,294.66,294.66,294.63,294.63,292.16,292.16,293.28,293.28,291.04,291.04,281.19,281.19,287.01,290.68,290.68,290.04,290.04,289.97,289.97,291.47998,291.47998,291.47998,292.35,292.35,291.35,291.35,269.25,269.25,269.25,274.44,274.44,274.44,274.44,281.32,281.32,285.37,285.37,278.38,278.38,281.74,281.74,266.51,266.51,278.82,278.82,278.82,278.82,270.74,270.74,270.74,281.21,281.21,281.21,281.21,279.57,266.9,266.9,266.9,275.47998,275.47998,275.47998,275.02,275.02,280.91998,281.99,281.99,280.2,280.2,292.88,292.88,292.88,292.88,292.88,292.88,290.83,290.83,290.83,290.83,271.71,271.71,282.16998,282.16998,282.16998,263.99,263.99,280.84,280.84,280.84,280.84,286.22,286.22,282.97998,282.97998,286.22,286.22,288.72998,288.72998,292.49,292.49,291.4,292.61,292.61,292.61,294.47998,294.47998,294.36,294.36,294.36,290.46,290.46,290.46,290.46,290.46,292.3,292.3,292.3,291.91998,291.91998,291.91998,292.05,292.05,292.05,288.34,288.34,288.34,294.11,294.11,294.11,294.35,294.35,293.99,293.99,293.99,294.47998,294.47998,294.47998,294.62,294.62,294.62,294.47998,294.47998,294.47998,294.51,294.51,294.51,294.91,294.91,294.91,294.02,294.02,294.02,294.27,294.27,294.27,294.14,294.14,294.39,294.32,294.32,294.32,294.32,294.57,294.57,294.57,293.7,293.7,293.7,294.82,294.82,294.82,295.85,295.85,295.85,295.85,295.85,295.85,295.85,295.61,295.61,295.61,296.09,296.09,296.09,295.36,295.61,295.61,295.61,295.16998,295.16998,295.16998,294.43,294.43,294.43,294.43,293.77,293.77,293.77,293.03
6,295.79,295.55,293.78,293.78,298.16998,298.16998,299.21,299.21,293.34,293.34,296.52,296.52,300.01,299.41998,299.41998,298.51,298.51,298.1,298.1,297.28,297.28,296.1,296.1,297.47998,297.47998,297.47998,297.47998,296.84,294.29,294.29,295.14,295.14,297.08,297.08,297.47,297.47,297.83,297.83,298.06,298.06,296.83,296.83,296.83,296.83,296.94,296.94,296.71,296.71,295.3,295.3,294.24,294.24,293.0,293.0,285.86,285.86,289.28,280.38,280.38,276.28,276.28,287.22998,287.22998,287.22998,291.72,291.72,291.36,291.36,290.24,290.24,290.97998,290.97998,291.72,291.72,292.71,291.22998,291.1,291.1,291.66998,291.66998,292.66,292.66,293.03,293.03,292.91,292.91,293.52,293.52,294.71,294.71,293.34,293.34,293.46,293.46,293.46,293.95,293.95,292.97,292.97,293.58,293.58,295.02,295.02,295.51,295.51,293.53,294.63,292.16,292.16,292.16,293.28,293.28,291.91,291.91,290.79,290.79,290.79,290.79,288.33002,288.33002,288.33002,290.22,290.22,292.35,292.35,294.44,294.44,290.6,290.6,290.6,262.12,269.25,269.25,274.44,274.44,274.44,279.81,279.81,279.81,279.81,279.81,277.27,277.27,277.27,277.27,273.85,273.85,273.85,280.72998,280.72998,281.16,281.16,275.19,275.19,275.19,283.41998,283.41998,281.16,281.16,267.31,267.31,275.47998,275.47998,275.47998,275.47998,275.02,275.02,280.91998,280.91998,282.41,282.41,282.41,288.22998,288.22998,288.22998,292.72,292.72,291.9,291.9,291.9,287.11,287.11,280.28,280.28,280.28,250.18,250.18,250.18,250.18,274.75,274.75,286.43,286.43,286.43,286.43,282.97998,282.97998,282.97998,288.72998,288.72998,288.72998,292.49,292.49,293.49,293.49,293.49,292.51,292.51,292.51,292.88,292.88,292.88,292.51,276.72998,276.72998,276.72998,290.14,292.16998,292.16998,292.16998,293.49,293.49,293.49,290.84,290.84,293.61,288.34,288.34,294.11,294.11,294.11,294.47998,294.47998,294.47998,293.74,293.74,293.74,294.62,294.62,294.62,294.62,294.62,294.62,294.36,294.36,294.36,294.79,294.79,294.79,295.16,295.16,295.16,294.51,294.51,294.51,294.27,294.27,294.27,294.14,294.14,294.14,289.29,289.29,289.29,293.45,293.45,293.45,291.97998,291.97998,291.97998,291.97998,294.57,294.57,294.57,295.72998,295.72998,295.72998,295.47998,295.47998,295.47998,295.47998,295.47998,295.47998,295.61,296.09,296.09,296.09,295.36,295.36,295.36,295.05,295.05,295.05,295.05,294.55,294.55,294.55,294.15,294.15,294.15,294.15
7,296.15,293.41,293.41,293.78,293.78,298.16998,299.21,299.21,299.21,299.21,294.08,294.08,299.54,299.54,299.1,299.1,298.1,297.99,297.99,296.96,296.96,295.97998,295.97998,297.2,297.2,297.2,297.2,296.84,296.84,296.72,296.72,295.97998,295.97998,295.6,297.83,297.83,297.18,297.83,298.06,298.06,296.83,296.83,297.3,297.3,296.71,296.71,295.72,295.72,294.94,294.94,294.58,294.58,292.39,292.39,286.52,286.52,290.15,290.15,293.95,293.95,293.95,293.95,293.95,293.95,291.6,291.6,291.1,291.1,287.62,287.62,290.97998,290.97998,291.72,291.72,292.71,292.71,291.91998,291.91998,292.04,292.04,292.78,292.78,293.15,293.15,293.15,293.15,293.4,293.4,293.4,294.83,294.83,295.39,295.39,293.46,293.46,294.78,294.78,293.34,293.34,293.71,293.71,293.34,295.02,295.51,295.51,295.51,293.53,293.53,292.41,292.41,294.02,294.02,289.79,289.79,285.87,285.87,285.87,291.29,291.29,292.47,292.47,291.47998,291.47998,293.71,293.71,293.71,294.2,294.2,290.6,290.6,288.59,262.12,262.12,273.97998,273.97998,273.97998,283.32,283.32,283.32,282.21,282.21,284.14,284.14,275.93,275.93,275.93,278.64,278.64,280.31,280.31,280.31,277.41,277.41,281.16,281.16,281.16,281.16,281.16,281.16,267.31,267.31,267.31,268.21,268.21,278.29,278.29,278.29,278.29,281.06,281.06,287.21,287.21,287.21,287.21,287.21,293.44,293.44,293.44,290.44,290.44,276.07,276.07,276.07,284.09,284.09,284.09,284.09,250.18,250.18,274.75,274.75,274.75,286.43,286.43,286.43,286.43,287.84,287.84,287.84,287.84,287.84,290.96,290.96,290.96,292.05,292.05,292.05,293.13,293.13,293.49,293.49,293.49,291.41998,291.41998,291.41998,276.72998,292.76,292.76,292.76,292.76,292.89,292.89,293.49,290.84,290.84,290.84,293.61,293.61,293.61,294.11,294.11,294.11,293.99,293.99,293.99,294.36,294.36,294.36,294.62,294.62,294.62,294.47998,294.47998,294.74,294.74,294.74,295.03,295.03,295.03,295.64,295.16,295.16,295.16,294.51,294.51,294.51,294.39,294.39,294.39,293.66,293.66,293.66,293.83,293.83,293.83,293.58,293.58,293.58,286.34,286.34,286.34,293.58,293.58,293.58,293.58,295.47998,295.47998,295.47998,295.47998,295.47998,295.47998,295.47998,295.47998,295.47998,295.85,295.85,295.85,295.85,295.5,295.5,295.5,294.8,294.8,294.8,294.8,294.68,294.68,294.68,294.02,294.02,294.02
8,296.15,293.41,293.41,294.78,294.78,297.12,297.12,301.74,301.74,299.1,294.68,294.68,299.54,299.54,298.51,298.51,297.87,297.87,297.75,297.75,297.47998,297.47998,295.62,296.72,296.72,296.96,296.96,296.96,296.96,297.83,297.83,297.83,297.83,295.6,295.6,297.83,297.83,297.18,297.18,297.94,297.94,296.47,296.47,297.3,296.08,296.08,296.71,296.71,295.06,295.06,290.41,290.41,289.03,289.03,283.6,283.6,291.76,291.76,286.52,286.52,284.66998,284.66998,291.6,291.6,288.11,291.6,291.1,291.1,287.62,287.62,287.1,287.1,289.85,289.85,292.22,292.22,292.04,292.04,292.04,292.41,292.41,293.4,293.4,293.65,293.65,293.03,293.03,293.28,293.28,294.57,294.57,296.09,296.09,295.97,295.97,294.78,294.78,293.34,293.34,293.34,293.71,293.71,293.34,293.34,295.9,295.9,293.65,293.65,290.91998,290.91998,294.71,294.71,294.71,290.3,290.3,285.0,285.0,289.29,289.29,283.22,283.22,290.6,291.6,291.6,294.2,294.2,294.08,294.08,290.6,290.6,290.6,288.59,280.09,280.09,280.09,273.6,273.6,273.13,273.13,286.64,286.64,286.64,286.64,286.64,279.46,279.46,281.96,281.96,281.96,275.65,275.65,278.05,278.05,287.1,287.1,287.1,285.85,285.85,275.49,275.49,275.49,278.29,278.29,276.11,276.11,276.11,283.03,283.03,276.26,276.26,278.44,278.44,278.44,285.58002,285.58002,285.58002,293.44,293.44,282.45,282.45,282.45,276.69,276.69,290.13,290.13,290.13,284.6,265.47,265.47,265.47,282.7,282.7,282.7,287.84,287.84,287.84,287.84,290.96,290.96,291.91,291.91,291.91,290.58,290.58,290.58,291.55,291.55,291.55,291.55,291.55,292.88,292.88,292.88,292.05,292.05,292.16998,292.16998,292.76,292.76,292.76,292.76,292.89,292.89,292.89,293.86,293.86,293.86,294.35,294.35,294.35,294.35,294.35,294.36,294.36,294.36,294.24,294.24,294.24,294.36,294.36,294.36,294.62,294.62,294.62,294.91,294.91,294.74,295.03,295.03,295.03,295.64,295.64,295.64,294.51,294.51,294.51,294.14,294.14,294.14,293.33,293.33,293.33,292.86,292.86,292.86,292.86,293.58,293.58,293.58,293.2,293.2,293.2,293.29,293.29,293.58,295.47998,295.47998,295.47998,295.47998,295.47998,295.47998,295.47998,295.61,295.61,295.61,295.47998,295.47998,295.47998,295.47998,295.29,295.29,295.29,295.05,295.05,295.05,294.43,294.43,294.43,294.43,293.28,293.28
9,295.79,295.79,293.03,297.7,297.7,299.41998,299.41998,300.81,300.81,294.93,294.93,295.78,295.78,298.86,298.1,298.1,297.63,297.63,297.6,297.6,297.36,297.36,295.86,295.86,296.37,296.37,295.97998,295.97998,296.96,297.83,297.83,297.83,297.83,296.32,296.32,297.59,297.59,296.94,296.94,295.96,295.96,295.6,295.6,295.96,295.96,297.3,297.3,297.22,297.22,295.18,295.18,292.76,292.76,289.41,283.87,283.6,293.13,293.13,293.13,291.4,291.4,284.66998,284.66998,291.6,291.6,288.11,288.11,287.49,287.49,288.11,288.11,285.97,285.97,288.49,288.49,291.91998,291.91998,291.79,291.79,292.66,292.66,294.02,294.02,293.4,293.4,293.89,293.89,294.02,294.02,294.78,294.78,294.78,296.57,296.09,295.97,295.97,294.78,294.78,293.83,293.83,292.84,292.84,294.66,294.66,296.02,296.02,296.02,294.14,294.14,290.16998,290.16998,294.02,294.02,292.29,292.29,284.82,284.82,284.82,285.71,283.22,283.22,291.35,291.35,291.35,294.2,294.2,294.08,294.08,294.08,285.04,285.04,291.47998,291.47998,281.04,281.04,272.43,272.43,278.66998,278.66998,278.66998,287.52,287.52,287.52,288.29,288.29,275.65,275.65,275.65,275.65,275.65,275.65,275.65,278.05,278.05,280.31,280.31,280.31,280.31,267.99,267.99,270.91,270.91,270.91,271.56,271.56,280.34,280.34,280.34,280.34,281.38,266.56,266.56,266.56,288.12,288.12,288.12,294.66998,294.66998,294.66998,282.45,282.45,276.69,276.69,276.69,283.33002,283.33002,290.13,284.6,262.79,262.79,282.84,282.84,282.84,282.84,292.03,292.03,292.03,291.91,291.91,291.91,291.65,291.65,293.13,293.13,293.13,291.22,291.22,291.22,291.41998,291.41998,291.41998,292.88,292.88,292.05,292.05,292.05,292.16998,292.16998,292.16998,293.61,293.61,293.61,293.61,293.61,294.11,294.11,294.11,294.35,294.35,294.35,294.47998,294.47998,294.47998,294.47998,294.47998,294.47998,294.11,294.11,294.11,294.36,294.36,294.36,294.62,294.62,294.62,294.91,294.91,294.91,294.91,294.91,294.91,296.77,296.77,296.77,294.39,294.39,294.39,291.94,291.94,276.16,276.16,276.16,289.04,292.36,292.36,292.36,292.49,292.49,292.49,293.2,293.2,293.2,293.2,293.29,293.29,293.29,295.05,295.05,295.05,295.05,295.05,295.05,295.05,295.72998,295.72998,295.72998,295.36,295.36,295.36,295.5,295.5,295.5,295.5,294.8,294.8,294.8,292.65,294.43,294.43,294.43,293.28
