,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
0,295.55,295.8,295.8,295.8,295.8,295.54,295.54,295.78,295.78,295.54,295.54,295.66,295.66,295.78,295.9,295.9,295.9,295.9,295.99,295.99,295.87,295.87,295.14,295.14,295.75,295.75,295.87,295.87,295.99,295.99,295.99,295.84,295.84,295.47998,295.47998,296.08,296.08,296.47,296.47,296.83,296.83,297.83,297.83,296.71,296.71,296.83,296.83,297.11,297.11,297.74,297.74,298.65,298.65,298.33,298.33,298.45,298.45,298.22,298.22,297.97998,297.97998,297.77,297.77,297.54,297.54,296.79,296.79,296.31,296.31,296.79,296.79,296.66998,296.66998,296.31,296.31,295.2,295.2,295.08,295.08,295.54,295.54,296.74,296.74,296.74,296.26,296.26,297.1,297.1,297.81,297.81,297.53,297.53,297.41,297.41,297.18,297.18,296.94,296.94,296.94,296.82,296.82,296.7,296.7,296.62,296.62,295.9,295.9,296.62,296.62,296.5,296.5,296.5,296.74,296.74,296.14,296.14,296.44,296.44,296.32,296.32,296.32,296.2,296.2,295.38,295.38,294.57,294.57,295.62,295.62,295.62,296.44,296.44,296.32,296.32,296.44,296.44,296.44,296.32,296.32,295.45,295.45,294.11,294.11,294.11,294.75,294.75,294.93,294.93,294.93,294.75,294.75,294.14,294.14,294.75,294.75,294.75,294.51,294.51,295.13,295.13,295.13,294.7,294.7,292.26,292.26,292.26,290.22,290.22,284.46,284.46,284.46,286.12,286.12,283.47,283.47,284.74,285.85,285.85,285.85,285.85,285.85,288.61,288.61,289.49,289.49,289.49,290.32,290.32,290.32,290.13,290.13,289.36,289.36,289.36,289.25,289.25,289.25,290.26,290.26,291.66998,291.66998,291.66998,290.97,290.97,290.97,290.4,290.4,289.37,289.37,289.37,291.66998,291.66998,291.66998,290.39,290.39,290.39,286.58002,286.58002,283.4,283.4,277.68,277.68,277.68,284.97,284.97,284.97,284.97,284.97,284.97,284.97,283.08002,285.72998,285.72998,280.94,280.94,280.65,280.65,280.65,283.4,283.4,283.4,271.01,271.01,271.01,268.5,268.5,268.5,263.43,263.43,259.07,259.07,259.07,266.39,266.39,266.39,266.39,262.07,262.07,262.07,280.72,270.32,270.32,270.32,263.6,263.6,263.6,273.1,237.41,237.41,237.41,240.47,240.47,240.47,240.47,240.47,240.47,240.47,249.75,249.75,249.75,249.75,255.94,255.94,255.94,255.94,279.59,279.59,279.59,279.59,290.83,290.83,290.83,290.83,290.83,291.55,291.55,291.55,291.55,292.0,292.0,292.0
1,295.55,295.55,295.91998,295.91998,295.66,295.54,295.54,295.66,295.66,295.54,295.54,295.41998,295.41998,295.54,295.54,295.54,295.54,295.54,295.99,295.99,295.63,295.63,295.14,295.14,294.9,294.9,295.38,295.38,295.87,295.87,295.87,295.87,295.84,295.84,295.47998,295.47998,296.08,296.08,296.08,295.72,295.72,296.32,296.32,296.59,296.59,296.87,296.87,296.99,296.99,297.51,297.51,297.86,297.86,298.22,298.22,298.33,298.33,298.1,298.1,298.01,298.01,297.89,297.89,297.65,297.65,297.26,297.26,296.19,296.31,296.79,296.79,296.66998,296.66998,296.66998,296.14,296.14,296.02,296.02,297.1,297.1,297.22,297.22,296.74,296.74,296.74,296.74,296.86,296.86,297.41,297.41,297.69,297.69,297.41,297.41,297.41,297.3,297.3,297.18,297.18,296.82,296.82,296.5,296.5,296.62,296.62,295.9,295.9,295.9,296.62,296.62,296.62,296.62,296.74,296.74,296.62,296.62,296.62,296.56,296.56,296.32,296.32,296.32,296.32,295.84,295.84,295.84,295.96,295.96,295.5,295.5,296.44,296.44,296.56,296.56,296.56,296.44,296.44,296.32,296.32,295.45,295.45,295.45,292.76,292.76,294.63,294.63,294.63,295.05,295.05,294.93,294.93,294.51,294.51,294.51,294.75,294.75,295.13,295.13,295.13,295.5,295.5,294.45,294.45,294.45,292.88,292.88,285.26,285.26,285.26,284.46,284.46,286.12,286.12,286.12,287.33002,287.33002,287.33002,287.33002,287.33002,288.25,288.25,286.45,286.45,286.45,287.46,287.46,287.46,288.72998,288.72998,288.36,288.36,288.36,287.84,287.84,286.69,286.69,286.69,290.26,290.26,290.26,290.4,291.66998,291.66998,290.97,290.97,288.86,288.86,288.86,289.88,289.88,289.88,288.22,288.22,288.22,285.78,285.78,288.47,288.47,288.47,280.24,280.24,280.24,287.45,287.45,287.45,287.45,287.45,287.45,286.18,286.18,283.08002,283.08002,283.08002,283.22,283.22,283.22,281.37,281.37,281.19,281.19,281.19,272.3,272.3,272.3,271.02,271.02,271.02,264.16998,264.16998,264.16998,260.91,260.91,260.91,249.89,249.89,266.39,266.39,262.07,262.07,262.07,280.72,280.72,280.72,282.95,282.95,282.95,267.3,267.3,242.16,242.16,242.16,247.11,247.11,247.11,242.47,242.47,242.47,242.47,252.88,252.88,252.88,252.88,262.33,262.33,262.33,255.94,279.59,279.59,279.59,279.59,291.55,291.55,291.55,290.83,290.83,291.55,291.55,291.55,291.55,292.0,292.0
2,295.43,295.43,295.43,295.43,295.54,295.54,295.54,295.54,295.41998,295.41998,295.41998,295.3,295.3,295.3,295.3,295.3,295.3,295.51,295.51,295.51,295.51,295.38,295.38,295.63,295.51,295.51,294.29,294.29,295.87,295.87,295.87,295.87,295.84,295.84,295.72,295.72,295.84,295.84,295.84,295.84,295.22998,295.22998,296.32,296.32,296.47,296.47,296.87,296.87,296.99,296.99,297.34,297.34,297.86,297.86,298.33,298.33,298.22,298.22,298.1,298.1,298.01,298.01,298.01,298.01,297.65,297.65,297.26,297.26,296.19,296.19,297.03,297.03,296.55,296.55,296.02,296.02,296.38,296.38,297.46,297.46,296.97998,296.97998,296.74,296.74,297.22,297.22,297.53,297.53,297.53,297.69,297.69,297.69,297.69,297.41,297.41,297.41,297.41,297.06,297.18,296.82,296.82,296.5,296.5,296.5,296.62,296.62,296.86,296.86,296.74,296.74,296.86,296.86,296.74,296.74,296.74,296.32,296.32,296.56,296.56,296.56,296.56,296.2,296.2,296.2,296.2,296.2,295.96,295.96,295.33,295.33,295.33,295.7,296.44,296.56,296.56,296.44,296.44,296.44,296.08,296.08,295.21,295.21,292.19,292.19,292.19,294.26,294.26,294.93,294.93,295.16998,295.16998,295.16998,294.39,294.39,294.51,294.51,294.51,295.25,295.25,295.13,295.13,295.13,291.8,291.8,292.88,292.88,292.88,285.26,285.26,287.47,287.47,287.47,290.83,290.83,286.59,286.59,286.59,288.87,288.87,288.25,288.25,279.56,279.56,279.56,284.33002,284.33002,284.33002,286.43,286.43,286.43,286.56,286.56,287.58002,287.58002,287.58002,287.35,286.69,286.69,290.26,290.26,290.4,290.4,290.4,286.8,286.8,286.8,288.22,288.22,288.22,289.25,289.25,286.66998,286.66998,286.66998,290.01,290.01,290.01,287.95,274.97998,274.97998,274.97998,284.15,284.15,284.15,284.15,286.45,286.45,287.45,286.18,286.18,286.18,282.94,282.94,282.94,282.94,282.94,282.94,283.22,283.22,280.61,280.61,280.61,275.34,275.34,275.34,273.39,273.39,273.39,267.97,267.97,267.97,260.91,260.91,249.89,249.89,249.89,277.96,277.96,277.96,277.96,277.96,272.97998,272.97998,272.97998,271.74,271.74,262.34,262.34,242.47,242.47,242.47,242.47,246.37,246.37,246.37,246.37,245.63,245.63,245.63,258.53,252.88,252.88,252.88,262.33,262.33,262.33,291.55,291.55,291.55,291.55,291.55,291.55,291.55,291.55,291.55,291.55,292.13,292.13,292.13,291.87,291.87
3,295.8,295.8,295.19,295.19,294.93,294.93,295.41998,295.41998,295.3,295.3,295.3,295.3,295.3,294.93,294.93,295.3,295.3,295.38,295.38,294.65,294.65,295.63,295.63,289.24,295.63,295.51,295.51,294.29,294.29,295.63,295.38,295.38,295.72,295.72,295.6,295.6,295.47998,295.47998,294.63,294.63,294.03,294.03,296.47,296.47,296.59,296.59,296.75,296.75,296.75,296.75,297.51,297.51,297.97998,297.97998,298.1,298.1,297.97998,297.97998,297.86,298.1,298.01,298.01,298.01,298.01,297.54,297.54,297.26,297.26,296.31,296.31,296.66998,296.66998,296.91,296.91,295.9,295.9,296.74,296.74,297.22,297.22,297.22,296.62,296.62,297.1,297.1,297.34,297.34,297.69,297.69,297.69,297.69,297.69,297.69,297.53,297.41,297.41,297.41,297.41,297.06,297.06,296.7,296.7,296.14,296.14,296.5,296.5,296.5,296.5,296.62,296.62,296.62,296.86,296.86,296.74,296.74,296.91998,296.91998,296.68,296.68,296.68,296.2,296.2,296.2,296.2,296.32,296.32,296.08,295.96,295.96,295.33,295.33,295.7,295.7,296.8,296.8,296.8,296.56,296.56,295.7,295.7,294.6,294.6,294.6,292.91,292.91,294.26,294.26,294.93,294.93,294.93,294.39,294.39,294.51,294.51,294.51,294.39,294.39,294.21,294.21,294.21,295.13,295.13,291.8,291.8,291.8,289.9,289.9,286.46,286.46,286.46,287.61,287.61,288.87,288.87,288.87,287.86,287.86,291.4,291.4,291.4,289.0,289.0,287.84,287.84,287.84,287.84,287.84,287.84,288.22998,288.22998,288.72998,286.56,286.56,287.58002,287.58002,287.35,287.35,287.35,290.71,290.71,290.71,288.47998,288.47998,288.47998,287.2,287.2,288.22,288.22,288.22,287.57,287.57,287.57,286.32,286.32,286.32,288.72,288.72,285.91998,285.91998,274.97998,274.97998,274.97998,284.15,284.15,284.15,284.15,286.45,286.45,286.45,287.95,287.95,287.95,284.69,284.69,283.81,283.81,283.81,283.54,283.54,281.46,281.46,281.46,277.78,277.78,277.78,277.78,270.19,273.39,273.39,267.97,267.97,258.36,258.36,258.36,245.43,245.43,245.43,275.53,275.53,275.53,275.53,276.32,276.32,276.32,272.85,272.85,272.85,251.8,251.8,239.57,239.57,239.57,245.88,245.88,245.88,245.88,246.37,245.63,245.63,245.63,258.53,258.53,258.53,258.53,280.32,280.32,280.32,280.32,289.53,289.53,289.53,289.53,289.53,291.55,291.55,291.55,290.75,290.75,290.75,290.75,290.49
4,295.68,295.68,295.68,295.18,294.2,294.2,295.3,295.3,294.93,294.93,293.34,293.34,295.18,295.18,295.05,295.05,295.18,295.14,295.14,294.65,294.65,295.63,295.63,289.24,289.24,295.51,295.51,295.51,295.51,294.53,294.53,294.63,294.63,291.55,291.55,294.63,294.63,295.36,295.36,296.2,296.08,296.08,296.47,296.47,296.75,296.75,296.63,296.63,296.99,296.99,297.62,297.62,297.86,297.86,297.86,298.1,297.97998,297.97998,297.86,297.86,298.01,298.01,297.77,297.77,297.38,297.38,295.83,295.83,296.31,296.31,296.31,296.66998,296.66998,296.62,296.62,295.32,295.32,296.62,296.62,297.1,297.1,296.5,296.5,297.22,297.22,297.22,297.22,297.41,297.41,297.69,297.69,297.69,297.69,297.69,297.53,297.53,297.3,297.3,297.06,297.06,296.5,296.5,296.14,296.14,296.97,296.97,296.97,296.86,296.86,296.97,296.97,296.86,296.86,296.97,296.97,296.97,297.03,297.03,296.44,296.44,296.32,296.32,296.08,296.2,296.2,296.32,296.32,296.08,296.08,295.7,295.7,295.7,295.7,295.7,296.68,296.68,296.56,296.56,295.21,295.21,295.21,294.47,294.47,294.02,294.02,294.02,294.14,294.14,294.63,294.63,294.39,294.39,294.39,294.75,294.75,294.39,294.39,294.39,294.21,294.21,295.25,295.25,295.25,291.93,291.93,286.12,286.12,286.12,288.0,288.0,288.74,288.74,288.74,289.0,289.0,289.88,289.88,289.88,291.9,291.9,291.65,291.65,291.65,287.72998,287.72998,289.62,289.62,287.84,288.22998,288.22998,288.22998,288.72998,288.72998,287.35,287.35,287.35,287.71,287.71,287.71,288.99,288.99,285.93,285.93,285.93,288.22,288.22,288.22,288.6,288.6,288.6,286.8,286.8,286.79,286.79,286.79,286.93,286.93,286.93,283.36,283.36,280.09,280.09,280.09,284.01,284.01,284.01,284.01,288.47998,288.47998,283.68,283.68,283.68,285.06,285.06,285.06,280.61,280.61,280.61,280.61,280.61,280.62,280.62,281.46,277.78,277.78,277.78,270.19,270.19,270.19,266.0,266.0,259.6,259.6,259.6,251.88,251.88,251.88,251.88,280.03,280.03,280.03,257.1,257.1,257.1,263.87,263.87,263.87,246.86,246.86,246.86,239.57,239.57,239.57,245.88,245.88,245.88,245.88,255.31,255.31,255.31,255.31,265.45,265.45,265.45,290.83,290.83,290.83,290.83,290.83,290.83,290.83,290.83,290.83,290.83,291.8,291.8,291.8,292.61,292.61,292.61,292.61
5,295.91998,293.9,293.9,295.41998,295.41998,295.3,295.3,295.18,293.83,293.83,293.59,293.59,294.81,294.81,295.05,295.05,295.18,295.18,295.14,295.14,292.21,292.21,295.14,293.19,293.19,295.51,295.51,295.26,295.26,294.9,294.9,294.51,294.51,295.96,295.96,295.96,295.96,296.08,296.08,296.32,296.32,296.2,296.2,296.59,296.59,296.63,296.63,296.99,296.99,297.51,296.99,297.62,297.62,297.86,297.86,297.86,297.86,297.74,297.74,297.89,297.89,298.01,298.01,297.38,297.38,297.54,297.54,296.55,296.55,297.03,297.03,295.95,295.95,296.74,296.74,296.14,296.14,296.97998,296.97998,296.86,296.86,296.38,296.38,297.1,297.1,297.22,297.22,297.22,297.41,297.41,297.3,297.3,297.41,297.41,297.41,297.41,297.18,297.18,296.82,296.82,296.38,296.38,296.38,296.38,296.38,296.5,296.5,296.26,296.26,296.02,296.02,297.09,297.09,297.09,296.91998,296.91998,296.91998,296.91998,296.44,296.44,296.32,296.32,296.32,296.08,296.08,296.2,296.2,296.08,296.08,296.08,293.99,293.99,296.08,296.08,296.56,296.56,296.56,296.08,296.08,295.09,295.09,293.78,293.78,293.78,293.78,293.78,294.14,294.14,294.14,294.14,294.63,294.39,294.39,294.75,294.75,294.75,295.13,295.13,295.01,295.01,295.01,294.21,294.21,290.22,290.22,288.24,288.24,288.24,284.59,284.59,284.59,287.25,287.25,290.44,290.44,290.44,291.65,291.65,290.95,290.95,290.95,291.4,291.65,287.72998,287.72998,287.72998,289.62,289.62,289.62,289.25,289.25,289.49,289.49,289.49,286.69,286.69,286.69,287.84,287.84,287.57,287.57,287.57,286.8,286.8,286.8,289.37,289.37,287.33002,287.33002,287.33002,288.47998,288.47998,288.47998,286.79,286.79,286.79,286.93,278.16998,278.16998,278.16998,281.94,281.94,281.94,281.94,286.79,286.79,286.79,289.24,289.24,279.93,279.93,279.93,283.4,283.4,283.4,283.4,283.22,283.22,280.61,280.61,280.61,280.62,280.62,280.62,278.41998,278.41998,278.41998,273.09,273.09,260.72,260.72,260.72,267.1,267.1,267.1,260.03,260.03,260.03,274.07,274.07,274.07,274.07,255.34,255.34,255.34,255.28,263.87,263.87,246.86,246.86,246.86,255.31,255.31,255.31,255.31,248.25,248.25,248.25,269.88,269.88,269.88,269.88,269.88,284.76,284.76,284.76,284.76,284.76,284.76,284.76,284.76,291.09,291.09,291.09,292.51,292.51,292.51,292.51,293.12,293.12,293.12
6,295.55,295.78,295.78,294.57,294.57,295.41998,295.41998,294.69,294.69,294.08,293.83,293.59,294.81,294.81,294.81,294.81,294.77,294.77,295.02,295.02,293.56,293.56,295.26,295.26,294.77,294.77,294.29,294.29,294.16998,294.16998,295.72,295.84,295.84,292.41998,292.41998,295.96,295.96,295.96,295.96,296.08,296.08,296.47,296.47,296.63,296.63,296.87,296.63,296.99,296.99,297.51,297.51,297.62,297.62,297.86,297.86,297.74,297.74,297.86,297.86,298.01,298.01,298.13,298.13,297.54,297.54,296.19,296.19,297.15,297.15,296.91,296.91,296.14,296.14,295.44,295.44,295.54,295.54,297.1,297.1,297.1,296.86,296.86,296.38,296.38,297.1,297.1,296.82,296.82,297.06,297.06,297.18,297.18,297.41,297.41,297.18,297.18,297.18,297.06,297.06,296.7,296.7,296.26,296.26,296.5,296.5,296.5,296.5,296.62,296.62,296.62,296.97,296.97,297.09,297.09,296.91998,296.91998,296.91998,296.91998,296.91998,296.32,296.32,296.2,296.2,295.02,295.02,296.32,296.32,296.32,296.08,296.08,294.35,294.35,296.56,296.56,296.56,296.56,296.56,295.7,295.7,294.97,294.97,294.97,294.14,294.14,294.02,294.02,294.14,294.14,294.14,294.14,294.14,292.81,292.81,292.81,294.14,294.14,294.82,294.82,294.82,294.45,294.45,292.97998,292.97998,288.75,288.75,288.75,285.32,285.32,289.77,289.77,289.77,291.27,291.27,291.27,287.86,287.86,291.52,291.52,291.65,290.95,290.95,291.4,291.4,291.4,289.25,289.25,287.71,287.71,287.71,286.69,286.69,286.69,286.36,286.36,286.96,286.96,286.96,287.96,287.96,287.96,287.83002,287.83002,288.47998,288.47998,288.47998,287.83002,287.83002,287.83002,285.93,287.33002,287.33002,288.47998,288.47998,288.97998,288.97998,288.97998,284.97,284.97,284.97,281.66,281.66,281.66,281.66,281.66,287.72,287.72,287.72,287.72,288.21,278.39,278.39,278.39,282.08002,282.08002,283.4,283.4,283.22,283.22,283.22,284.56,282.03,282.03,282.03,282.03,279.16998,279.16998,279.16998,275.0,275.0,275.0,264.57,264.57,264.57,264.57,270.45,270.45,270.45,272.07,272.07,272.07,272.68,272.68,255.34,255.34,255.34,255.28,255.28,255.28,255.28,254.15,254.15,254.15,255.28,255.28,255.28,246.86,246.86,246.86,246.86,273.39,273.39,273.39,273.39,279.58002,279.58002,279.58002,279.58002,283.76,283.76,283.76,284.45,291.66998,291.66998,291.66998,291.66998,292.74,292.74,292.74,292.74,293.12,293.12
7,295.91998,295.91998,297.28,297.28,295.78,295.41998,295.41998,294.69,294.69,294.08,294.08,294.57,294.57,293.83,293.83,294.44,294.44,292.94,294.9,294.9,294.53,294.53,293.81,293.81,295.38,295.38,294.16998,294.16998,292.94,292.94,295.96,295.96,295.84,295.84,296.08,296.08,296.08,296.08,296.08,296.08,295.96,296.47,296.47,296.63,296.63,296.87,296.87,297.11,297.11,297.62,297.62,297.62,297.62,297.74,297.74,297.74,297.74,298.01,298.01,297.89,297.89,297.77,297.77,297.89,297.89,297.38,297.38,297.15,297.15,297.15,296.19,296.19,297.1,297.1,296.26,296.26,295.54,295.54,297.1,297.1,296.74,296.74,297.1,297.1,296.97998,296.97998,297.06,297.06,297.06,297.06,297.18,297.18,297.18,297.18,297.18,297.18,297.18,296.94,296.94,296.62,296.62,294.27,294.27,295.08,295.08,295.08,296.86,296.86,296.97,296.62,296.97,296.97,297.09,297.09,297.09,297.03,297.03,296.68,296.68,296.2,296.2,295.38,295.38,295.38,294.69,294.69,296.44,296.44,296.44,296.44,296.08,296.08,296.08,296.56,296.56,296.44,296.44,295.7,295.7,295.7,294.85,294.97,294.14,294.14,294.14,294.02,294.02,294.63,294.63,294.14,294.14,294.14,294.14,294.14,294.75,294.75,294.75,294.57,294.57,293.72,293.72,291.05,291.05,291.05,289.13,289.13,287.87,287.87,287.87,291.65,291.65,290.7,290.7,291.27,287.86,287.86,287.86,291.52,291.52,290.95,290.95,290.95,289.75,289.75,287.97,287.97,287.97,287.58002,287.58002,287.58002,287.71,287.71,287.84,287.84,287.84,288.72998,288.72998,288.72998,289.12,289.12,289.5,289.5,289.5,289.37,288.47998,288.47998,287.83002,287.83002,285.93,285.93,285.93,287.69,287.69,287.69,284.09,284.09,284.09,287.69,287.69,281.22998,281.22998,281.22998,282.95,282.95,282.95,288.47998,288.47998,288.47998,283.81,285.1,278.39,278.39,278.39,282.08002,282.08002,282.08002,271.32,271.32,271.32,281.33002,281.33002,281.33002,275.97998,275.97998,275.97998,278.22998,278.22998,278.22998,268.47998,268.47998,268.47998,265.49,265.49,265.49,267.1,267.1,267.1,282.95,272.07,272.07,272.07,272.68,272.68,249.54,249.54,249.54,246.62,246.62,246.62,261.75,261.75,261.75,261.75,261.77,261.77,261.77,267.46,267.46,267.46,267.46,267.46,268.72998,268.72998,268.72998,283.76,283.76,283.76,283.76,283.76,283.76,283.76,291.41998,291.41998,291.41998,291.66998,291.66998,292.74,292.74,292.74,293.24,293.24
8,294.3,295.91998,297.28,297.28,295.78,295.78,295.41998,295.41998,294.93,292.97,292.97,293.96,293.96,290.76,290.76,287.36,287.36,292.82,292.82,294.41,294.41,294.53,294.53,294.41,295.14,295.14,293.44,293.44,295.26,295.26,295.96,295.96,295.6,295.6,295.72,295.72,296.08,296.08,296.08,296.08,295.96,295.96,296.2,296.2,296.63,296.63,296.87,296.87,297.22998,297.22998,297.34,297.34,297.62,297.62,297.74,297.74,297.74,297.74,297.89,297.89,297.26,297.26,297.89,297.89,297.77,297.77,297.15,297.15,296.91,296.91,296.91,296.19,297.1,297.1,296.26,296.26,296.62,296.62,297.1,297.1,296.62,296.62,296.86,296.86,296.97998,296.97998,296.97998,297.18,297.18,297.06,297.06,297.06,297.06,297.18,297.18,296.94,296.94,296.7,296.7,296.14,296.14,296.14,292.91,292.91,295.08,295.08,296.86,296.86,296.97,296.97,296.97,296.97,296.97,297.33,297.33,297.03,297.03,296.32,296.32,296.08,296.08,296.08,295.96,295.96,296.44,296.44,296.56,296.56,296.56,296.56,296.56,296.68,296.68,296.68,296.68,296.68,296.32,296.44,295.7,295.7,294.85,294.85,294.85,294.63,294.63,294.14,294.14,294.39,294.39,294.39,294.02,294.02,293.53,293.53,293.53,294.21,294.21,294.45,294.45,292.26,292.26,292.26,290.02,290.02,289.77,289.77,289.77,290.34,290.34,291.65,291.65,291.65,290.7,290.7,290.7,290.13,290.13,290.32,290.32,290.32,291.14,291.14,290.13,290.13,290.13,288.86,288.86,285.96,285.96,285.96,288.1,288.1,288.1,289.62,289.62,289.36,289.36,289.36,289.76,289.76,289.12,289.5,289.5,289.5,289.37,289.37,287.33002,287.33002,287.33002,286.54,286.54,286.54,287.82,287.82,287.82,288.08002,288.08002,287.82,287.82,279.8,279.8,279.8,282.95,282.95,282.95,282.95,287.72,287.72,287.72,283.81,280.22,280.22,280.22,279.93,279.93,279.93,275.18,275.18,275.18,283.33002,283.33002,283.33002,276.9,276.9,276.9,276.9,277.63,277.63,277.63,266.71,266.71,266.71,262.64,265.49,265.49,267.1,267.1,267.1,282.95,282.95,261.04,261.04,261.04,261.04,256.4,256.4,256.4,266.77,266.77,266.77,266.77,276.72,276.72,276.72,270.38,270.38,270.38,270.38,270.38,270.38,270.38,270.85,270.85,268.72998,268.72998,287.44,287.44,287.44,287.44,291.22,291.41998,291.41998,291.41998,291.41998,291.41998,291.41998,292.74,292.74,292.74,292.74,293.12
9,294.3,294.3,296.76,296.76,295.18,295.18,294.81,294.81,294.57,294.57,290.15,290.15,289.16998,292.47998,292.47998,293.56,293.56,291.58,291.58,293.56,293.56,293.68,293.68,294.9,294.9,294.53,294.53,293.93,293.93,295.36,295.36,295.6,295.6,295.6,295.72,295.72,296.2,296.2,296.2,296.2,296.08,296.08,296.32,296.32,296.63,296.63,297.11,297.11,297.22998,297.22998,297.22998,297.22998,297.51,297.51,297.62,297.62,297.74,297.74,297.65,297.65,297.65,297.65,297.77,297.77,297.38,297.38,297.15,297.15,296.91,296.91,296.91,296.91,296.97998,296.97998,296.62,296.62,295.44,295.44,295.44,296.97998,296.97998,296.62,296.62,296.74,296.74,297.3,297.3,297.06,297.06,296.94,296.94,296.45,296.45,296.82,296.82,296.82,296.7,296.7,296.45,296.45,296.14,296.14,292.91,292.91,296.5,296.5,296.97,296.97,296.97,296.5,296.5,297.21,297.21,297.27,297.27,296.8,296.8,296.8,296.68,296.68,296.8,296.8,296.32,296.32,296.56,296.56,296.56,297.08,297.08,296.96,296.96,296.08,296.68,296.68,296.68,296.68,296.32,296.32,295.33,295.33,295.33,294.93,294.93,294.63,294.63,294.75,294.75,294.75,295.16998,295.16998,294.14,294.14,294.14,294.02,294.02,293.84,293.84,293.84,294.08,294.08,291.05,291.05,287.87,287.87,290.02,289.77,289.77,290.34,290.34,290.34,291.9,291.9,289.0,289.0,289.0,292.47998,292.47998,292.47998,288.61,288.61,289.62,289.62,289.62,289.25,289.25,290.32,290.32,290.32,287.09,287.09,287.09,289.49,289.49,290.7,290.7,289.62,289.36,289.36,289.36,289.76,289.76,290.27,290.27,290.27,289.5,289.5,289.5,287.96,287.96,287.96,288.35,288.35,286.93,286.93,286.93,288.47,288.47,288.47,287.95,279.8,279.8,279.8,286.8,286.8,286.8,287.72,287.72,287.72,287.72,287.72,283.36,283.36,283.36,283.36,283.36,281.79,281.79,281.79,281.46,281.46,281.46,282.89,282.89,276.9,276.9,276.9,273.39,273.39,273.39,266.71,266.71,266.71,262.64,262.64,262.64,261.46,261.46,261.46,279.45,279.45,279.45,279.45,279.45,279.45,279.45,273.84,273.84,255.06,255.06,255.06,255.06,285.89,285.89,285.89,285.89,285.89,285.89,285.89,285.89,270.38,270.38,270.38,270.85,270.85,270.85,287.44,287.44,287.44,287.44,287.44,291.22,291.22,291.22,291.22,292.0,292.0,292.0,292.99,292.99,292.99,292.99
