,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
0,289.51,287.0,287.0,273.69,273.69,285.39,285.39,292.63,290.89,293.08,293.08,293.7,293.7,295.71,295.71,296.9,296.9,297.14,297.14,296.79,296.79,296.43,296.43,296.43,296.02,296.02,295.66,295.66,295.32,295.32,294.95,294.95,294.5,294.5,294.01,294.01,294.5,294.5,294.56,294.56,294.44,294.44,294.08,294.08,294.32,292.97,292.97,293.46,293.46,293.34,293.34,293.15,293.15,294.02,294.02,292.54,292.54,292.54,295.08,295.08,295.32,295.32,294.63,294.63,295.84,295.84,295.84,296.32,296.32,296.44,296.44,296.32,296.32,296.44,296.44,296.44,296.79,296.79,296.56,296.56,296.66998,296.66998,296.66998,296.19,296.19,296.55,296.55,296.95,296.95,296.95,295.57,295.57,296.81,296.81,296.57,296.57,296.57,295.29,295.29,295.96,295.96,295.96,296.2,296.2,296.81,296.81,296.66998,296.66998,296.66998,296.31,296.31,294.33,296.19,296.19,295.25,295.25,296.19,296.19,296.19,296.79,296.79,296.66998,296.66998,296.66998,295.47998,295.47998,295.6,295.6,295.6,295.24,295.24,295.24,295.36,295.36,294.69,294.69,294.69,294.07,294.07,294.2,294.2,294.2,295.28,295.28,293.95,293.95,293.95,294.97,294.97,294.97,295.21,295.21,295.21,295.45,295.45,295.45,296.06,296.06,296.06,296.06,296.06,296.3,296.3,296.3,296.3,296.3,296.3,296.05,296.05,296.05,295.81,295.81,295.57,295.57,295.57,295.47,295.35,295.35,295.22,295.22,295.22,294.61,294.61,294.61,294.61,294.61,294.61,292.16998,292.16998,292.16998,293.89,293.89,293.89,294.01,294.01,294.01,293.65,293.65,293.65,294.63,294.63,294.63,295.22,295.22,295.22,295.22,294.69,294.69,295.1,292.47998,292.47998,292.47998,289.54,289.54,289.54,290.7,290.7,290.7,289.46,289.46,289.46,289.46,290.24,290.24,290.24,291.97,291.97,291.97,291.21,291.21,291.21,291.21,291.54,291.54,291.54,291.21,291.21,278.2,278.2,278.2,255.0,255.0,255.0,255.0,260.54,260.54,260.54,262.12,262.12,262.12,262.12,281.79,281.79,281.79,281.79,281.79,284.77,284.77,284.77,284.77,284.77,288.63,288.63,288.63,289.39,289.39,289.39,283.65,283.65,283.65,283.65,273.96,273.96,273.96,273.96,279.28,279.28,279.28,279.28,278.8,278.8,278.8,268.39,268.39,268.39,268.39,276.31,276.31,276.31,276.31,276.31,280.55,280.55,279.97998,279.97998,279.97998,278.61,278.61,278.61,278.61,278.12
1,291.02,291.02,290.02,290.02,285.39,285.39,285.39,285.39,292.63,292.63,293.33,293.33,294.64,294.64,296.55,296.55,297.02,297.02,297.02,297.02,296.55,296.55,296.31,296.31,296.02,296.02,295.54,295.54,295.32,295.32,294.83,294.83,294.26,294.26,294.01,294.01,294.2,294.2,294.2,294.56,294.56,294.44,294.44,294.08,294.08,293.21,293.21,292.22,292.22,268.88,268.88,292.91,292.91,292.91,293.28,293.28,294.02,294.02,294.96,294.96,295.56,295.56,295.56,295.66,295.66,295.96,295.96,296.32,296.32,296.32,296.32,296.32,296.32,296.32,296.44,296.44,296.79,296.79,296.95,296.95,296.95,296.79,296.79,296.95,296.95,296.95,296.95,296.95,296.79,296.79,296.43,296.43,296.33,296.33,296.33,296.33,296.33,294.75,294.75,294.75,296.81,296.81,296.45,296.45,296.45,296.45,296.45,296.66998,296.66998,296.31,296.31,296.31,294.33,294.33,295.37,295.37,295.37,295.86,295.86,296.55,296.55,296.55,296.19,296.19,295.72,295.72,295.72,295.72,295.72,295.36,295.36,295.36,295.36,295.36,295.36,294.32,294.32,294.32,294.32,294.32,294.2,294.2,294.2,295.28,295.28,294.81,294.81,294.81,295.57,295.57,295.57,295.45,295.45,295.45,295.45,295.45,296.18,296.18,296.18,296.06,296.06,296.06,296.3,296.3,296.18,296.18,296.18,295.81,295.81,295.81,295.69,295.69,295.81,295.57,295.57,295.57,295.47,295.47,295.47,295.35,295.35,295.35,295.22,295.22,295.22,293.86,293.86,293.86,292.76,292.76,292.76,292.78,292.78,292.78,292.9,292.9,292.9,294.63,294.63,294.63,294.51,294.51,294.51,295.22,295.22,295.22,294.69,294.69,294.69,290.18,290.18,290.18,290.18,289.93,289.93,289.93,291.78,291.78,291.78,290.63,290.63,290.63,290.37,290.37,290.37,290.37,293.06,293.06,293.06,291.72,291.72,291.72,291.72,288.36,291.54,291.54,291.21,291.21,273.05,273.05,273.05,250.14,250.14,250.14,257.21,257.21,257.21,257.21,263.45,263.45,263.45,263.45,280.37,280.37,280.37,280.37,282.79,282.79,286.04,286.04,286.04,289.0,289.0,289.0,289.0,289.39,289.39,289.39,289.39,269.85,269.85,269.85,269.85,269.85,269.85,282.81,282.81,282.81,282.81,282.81,278.8,278.8,278.8,271.41,271.41,271.41,271.41,276.31,276.31,276.31,276.31,276.31,280.55,280.55,280.55,280.55,273.1,273.1,273.1,273.1,277.41
2,291.02,291.02,290.02,290.02,288.51,288.51,292.26,292.26,293.37,293.37,294.19,294.19,296.19,296.19,296.66998,296.66998,297.02,297.02,296.9,296.9,296.55,296.55,296.26,296.26,296.02,296.02,295.54,295.54,295.2,295.2,294.71,294.71,294.71,294.26,294.26,294.01,294.01,294.2,294.2,294.44,294.44,294.2,294.2,293.46,293.46,292.1,292.1,282.91,241.0,241.0,273.65,273.65,273.65,288.02,292.78,292.78,292.91,292.91,294.26,294.26,294.26,295.44,295.44,295.44,295.44,295.72,295.72,296.32,296.32,296.32,296.32,296.32,296.32,296.32,296.56,296.56,296.56,296.56,296.56,297.07,297.07,296.79,296.79,296.43,296.43,296.43,296.19,296.19,296.19,296.19,296.07,296.07,296.07,295.65,295.65,295.04,295.04,295.04,296.57,296.57,296.45,296.45,296.45,296.45,296.45,296.45,296.45,296.07,296.07,296.07,294.33,294.33,295.37,295.37,295.37,294.69,294.69,295.86,295.86,295.86,295.6,295.6,295.24,295.24,295.24,295.36,295.36,295.36,295.36,295.36,295.47998,295.47998,295.47998,295.28,295.28,294.32,294.32,294.32,294.32,294.32,295.4,295.4,295.4,295.4,295.4,295.4,295.28,295.28,295.69,295.69,295.69,295.45,295.45,295.45,295.45,295.45,295.45,296.06,296.06,295.69,295.69,295.69,296.18,296.18,296.18,296.3,296.3,296.18,295.81,295.81,295.81,295.69,295.69,295.69,295.34,295.34,295.1,295.1,295.1,294.22998,294.22998,294.22998,294.97998,294.97998,294.97998,293.86,293.86,293.86,294.26,294.26,294.26,293.4,293.4,293.4,293.53,293.53,293.53,295.15,294.63,294.63,294.63,294.51,294.51,294.51,295.22,295.22,295.22,292.35,292.35,292.35,290.18,290.18,290.18,292.22998,292.22998,292.22998,292.55,292.55,292.55,292.55,291.21,291.21,291.21,292.93,292.93,292.93,293.53,293.53,293.53,293.06,291.72,291.72,291.72,288.36,288.36,288.36,288.36,290.44,290.44,268.36,268.36,251.04,251.04,251.04,251.04,255.61,255.61,255.61,255.61,269.95,269.95,269.95,269.95,280.37,280.37,280.37,280.37,282.79,282.79,282.79,282.79,282.79,282.79,282.79,282.79,289.0,285.63,285.63,285.63,282.93,282.93,282.93,275.86,275.86,275.86,275.86,281.86,281.86,281.86,281.86,281.86,279.88,279.88,278.8,271.41,271.41,271.41,271.41,271.66998,271.66998,271.66998,271.66998,274.82,274.82,274.82,274.82,271.14,271.14,271.14,271.14,271.14
3,291.64,291.64,292.39,292.39,292.26,292.26,294.45,294.45,295.37,295.37,295.83,295.83,296.31,296.31,296.79,296.79,296.9,296.9,296.66998,296.66998,296.31,296.31,296.31,296.14,296.14,295.78,295.78,295.54,295.54,295.2,295.2,294.71,294.71,294.26,294.26,294.14,294.14,294.32,294.32,292.84,292.84,292.97,292.97,292.97,292.22,292.22,291.72,275.56,236.35,236.35,236.35,278.63,278.63,278.63,293.77,293.77,293.77,294.26,294.26,295.08,295.08,295.2,295.2,295.38,295.44,295.44,295.72,295.72,296.32,296.32,296.32,296.32,296.32,296.32,296.32,296.44,296.44,296.68,296.68,296.79,296.79,296.79,296.66998,296.66998,296.43,296.43,296.43,296.43,296.43,295.69,295.69,296.57,296.57,294.38,294.38,294.38,295.53,295.53,296.57,296.57,296.45,296.45,296.45,295.53,295.53,296.19,296.19,296.19,294.69,294.69,296.07,296.07,296.07,295.86,295.86,295.49,295.49,295.49,294.81,294.81,295.6,295.6,295.6,296.19,296.19,295.84,295.84,295.84,295.72,295.72,295.47998,295.47998,295.47998,295.28,295.28,295.28,295.28,295.28,295.52,295.52,295.52,295.52,295.52,295.52,295.28,295.28,294.93,294.93,294.93,295.45,295.45,295.45,295.69,295.69,295.81,295.81,295.81,295.93,295.93,295.93,296.05,296.05,295.69,296.18,296.18,296.18,296.3,296.3,295.81,295.81,295.81,295.57,295.57,295.57,295.34,295.34,295.34,295.35,295.35,295.35,295.22,295.22,295.22,294.22998,294.22998,294.22998,293.38,293.38,293.38,293.89,293.89,293.89,293.77,293.77,293.4,293.53,293.53,293.53,295.15,295.15,295.15,294.9,294.9,294.9,294.32,294.32,294.32,290.95,290.95,290.95,290.95,292.22998,292.22998,292.22998,292.6,292.6,292.6,293.06,293.06,293.06,292.1,292.1,292.1,292.1,292.3,292.93,292.93,293.53,293.53,293.53,292.3,292.3,292.3,292.3,285.3,285.3,285.3,289.78,289.78,289.78,267.86,267.86,251.88,251.88,251.88,251.88,254.67,255.61,255.61,269.95,269.95,269.95,269.95,269.95,280.56,280.56,280.56,280.56,279.02,279.02,279.02,279.02,281.57,281.57,281.57,286.57,286.57,286.57,286.57,278.5,278.5,278.5,278.5,283.69,283.69,283.69,283.69,280.02,281.86,281.86,281.86,279.88,279.88,279.88,272.01,272.01,272.01,272.01,272.01,274.41,274.41,274.41,274.41,270.63,270.63,270.63,270.63,270.45,270.45,270.45,270.45
4,291.64,292.39,292.39,293.0,293.0,294.36,294.36,294.7,294.7,295.59,295.59,296.19,296.19,296.55,296.55,296.9,296.9,296.79,296.79,296.43,296.43,296.19,296.19,296.14,296.14,295.78,295.78,295.54,295.54,295.2,295.2,294.71,294.71,294.14,294.14,293.77,293.77,293.77,293.58,293.58,293.95,293.95,293.21,293.21,290.37,290.37,291.47998,291.47998,262.58,262.58,262.58,293.52,293.52,293.52,293.52,293.52,293.52,294.38,294.38,294.96,295.08,295.2,295.2,295.2,295.38,295.38,295.84,295.84,296.44,296.44,296.44,296.44,296.44,296.2,296.2,296.44,296.44,296.66998,296.66998,296.66998,296.66998,296.66998,295.09,295.09,296.19,296.19,296.19,296.43,296.43,296.31,296.31,296.33,296.33,296.57,294.38,294.38,295.53,295.53,296.57,296.57,296.57,296.45,296.45,295.77,295.77,295.77,296.19,296.19,295.72998,295.72998,295.72998,295.37,295.37,295.37,295.37,295.37,295.61,295.61,295.37,295.37,295.37,295.24,295.24,295.84,295.84,295.84,295.84,295.84,295.72,295.72,295.72,295.47998,295.47998,295.47998,295.52,295.52,295.28,295.28,295.28,295.64,295.64,295.64,295.64,295.64,294.81,294.81,294.81,295.45,295.45,295.81,295.81,295.81,296.06,296.06,296.06,296.06,296.06,296.06,295.93,295.93,296.05,296.05,296.05,296.3,296.3,296.3,296.18,296.18,296.18,295.81,295.81,295.81,295.57,295.57,295.57,295.22,295.22,295.22,295.1,295.1,295.1,294.97998,294.97998,293.97998,293.97998,293.97998,293.86,293.86,293.86,293.89,293.89,293.89,293.77,293.77,293.77,293.77,294.26,294.26,294.26,294.9,294.9,294.9,295.22,295.22,295.22,292.35,292.35,292.35,292.72998,292.72998,292.72998,292.22998,292.22998,292.22998,293.45,293.45,293.45,293.45,293.53,293.53,293.06,292.1,292.1,292.1,292.3,292.3,292.3,292.3,292.68,292.68,292.68,289.26,289.26,289.26,289.26,288.61,288.61,282.95,282.95,282.95,270.83002,270.83002,270.83002,251.88,251.88,251.88,254.67,254.67,254.67,254.67,269.0,269.0,269.0,269.0,269.0,277.85,277.85,277.85,277.85,273.97,273.97,273.97,279.58002,279.58002,279.58002,279.58002,286.31,286.31,286.31,286.31,275.71,275.71,275.71,275.71,283.69,283.69,283.69,283.69,280.02,280.02,280.02,280.02,280.75,280.75,280.75,273.18,273.18,273.18,273.18,273.18,275.86,275.86,275.86,275.86,268.04,268.04,268.04,268.04,267.68,267.68,267.68
5,292.51,292.63,292.63,293.62,293.62,294.45,294.45,294.82,294.82,295.71,295.71,296.31,296.31,296.66998,296.66998,296.79,296.79,296.55,296.55,296.19,296.19,296.19,296.19,296.14,296.14,295.78,295.78,295.44,295.44,295.07,295.07,295.07,294.59,294.59,294.26,294.26,294.2,294.2,294.32,294.32,294.08,294.08,292.35,292.35,289.63,289.63,289.63,291.85,291.85,262.58,262.58,289.16,289.16,289.16,289.16,293.52,293.52,294.38,294.38,294.38,294.96,294.96,295.32,295.32,295.62,295.62,296.08,296.08,296.08,296.44,296.44,296.44,296.44,295.96,295.96,296.2,296.2,296.2,296.43,296.43,296.43,296.43,295.95,295.95,295.95,296.43,296.43,296.55,296.55,296.31,296.31,296.31,296.33,296.33,294.38,294.38,294.38,296.2,296.2,296.33,296.33,296.69,296.69,296.69,296.45,296.45,295.72998,295.72998,295.72998,295.86,295.86,295.37,295.37,295.37,295.49,295.49,295.61,295.61,295.61,294.91,294.91,295.24,295.24,295.24,295.84,295.84,295.72,295.72,295.72,295.84,295.84,294.91,294.91,294.91,295.64,295.64,295.64,295.64,295.64,296.01,296.01,296.01,295.52,295.52,295.52,295.28,295.28,295.57,295.57,295.57,296.06,296.06,296.06,296.06,296.06,296.06,296.06,296.06,295.93,295.93,295.93,296.05,296.05,296.05,296.18,296.18,296.18,296.18,296.18,295.93,295.93,295.93,295.57,295.57,295.57,295.1,295.1,295.1,294.86,294.86,294.86,294.86,294.86,294.86,293.97998,293.97998,293.97998,293.86,293.86,293.86,294.14,294.14,294.14,293.65,293.65,293.65,294.38,294.38,294.38,294.51,294.51,294.51,293.2,293.2,293.2,291.97,291.97,291.97,291.97,292.35,292.35,292.35,294.19,294.19,294.19,293.45,293.45,293.45,293.53,293.53,293.53,293.53,292.68,292.68,292.68,293.06,293.06,293.06,292.16998,292.16998,292.16998,292.16998,291.21,291.21,291.21,290.16998,290.16998,275.86,275.86,282.95,282.95,270.83002,270.83002,270.83002,257.19,257.19,257.19,256.76,256.76,256.76,256.76,271.65,271.65,271.65,271.65,271.65,269.26,269.26,267.78,267.78,267.78,267.78,274.04,274.04,274.04,274.04,274.04,288.87,288.87,288.87,288.87,275.71,275.71,275.71,275.71,278.8,278.8,278.8,278.8,278.11,278.11,278.11,278.11,278.61,278.61,278.61,278.61,276.01,276.01,276.01,276.01,278.7,278.7,278.7,278.7,263.85,263.85,268.04,268.04,267.68,267.68
6,292.88,293.37,293.37,293.74,293.74,294.11,294.11,294.76,294.76,295.59,295.59,296.31,296.31,296.66998,296.66998,296.66998,296.79,296.55,296.55,296.19,296.19,296.19,296.14,296.14,295.78,295.78,295.54,295.54,295.2,295.2,294.83,294.83,294.5,294.5,294.5,294.5,293.95,293.95,294.2,294.2,294.08,294.08,294.08,293.34,293.34,291.61,291.61,292.72,292.72,293.28,293.28,289.16,289.16,289.16,289.16,289.16,293.9,293.9,294.83,294.83,295.32,295.32,295.66,295.66,295.66,295.5,295.5,296.2,296.2,296.56,296.56,296.44,296.44,296.44,296.32,296.32,296.08,296.08,296.43,296.43,295.83,295.83,295.83,295.83,295.95,296.43,296.43,296.55,296.55,296.55,296.43,296.43,295.53,295.53,295.53,296.08,296.08,296.2,296.2,296.45,296.45,296.45,296.33,296.33,294.33,294.33,294.33,295.61,295.61,295.72998,295.72998,295.72998,295.13,295.13,295.25,295.25,295.25,295.61,295.61,294.91,294.91,294.91,295.47998,295.47998,295.47998,295.47998,295.47998,295.47998,295.47998,295.47998,295.47998,295.47998,295.96,295.96,295.96,295.28,295.28,295.64,295.64,295.64,295.76,295.76,294.81,294.81,294.81,295.06,295.06,295.06,295.69,295.57,295.57,296.06,296.06,295.45,295.45,295.45,296.06,296.06,296.06,295.57,295.57,295.57,295.93,295.93,295.93,295.93,295.93,296.05,296.05,296.05,295.81,295.81,295.81,295.22,295.22,295.22,293.97998,293.97998,293.97998,294.86,294.86,294.86,294.86,294.86,294.86,293.74,293.74,293.74,293.38,293.38,293.38,294.26,294.26,294.26,294.51,294.51,294.51,294.26,294.26,294.26,294.26,294.26,294.26,291.78,291.78,291.78,293.32,293.32,293.32,292.72998,292.35,292.35,292.35,294.19,294.19,294.19,294.03,294.03,294.03,292.3,292.3,292.3,292.68,292.68,292.68,292.68,292.55,292.55,292.55,293.15,293.15,293.15,290.44,290.44,290.44,290.44,290.16998,290.16998,275.86,275.86,275.86,261.33,261.33,261.33,259.51,259.51,259.51,259.51,262.88,262.88,262.88,262.88,275.51,275.51,275.51,266.75,266.75,266.75,266.75,271.97,271.97,271.97,271.97,271.97,274.04,274.04,274.04,274.04,289.0,289.0,289.0,288.87,281.88,281.88,281.88,281.88,279.43,279.43,279.43,269.22,269.22,269.22,269.22,275.86,275.86,275.86,275.86,275.86,276.15,276.15,276.15,276.15,279.22,279.22,278.7,278.7,263.85,263.85,263.85,263.85,266.65
7,293.37,293.37,293.25,293.25,293.62,293.62,293.74,293.74,294.64,294.64,295.59,295.59,296.31,296.31,296.66998,296.66998,296.66998,296.66998,296.43,296.43,296.07,296.07,296.02,296.02,295.54,295.54,294.83,294.83,294.71,294.71,294.83,294.83,294.5,294.5,294.56,294.56,294.56,293.83,293.83,294.2,294.2,291.85,291.85,292.84,292.84,292.84,291.61,292.72,292.72,293.28,293.28,293.28,290.66998,290.66998,291.16998,291.16998,294.26,294.26,294.02,294.02,295.32,295.32,295.32,295.26,295.26,295.62,295.62,296.2,296.2,296.56,296.56,296.56,296.44,296.44,295.84,295.84,296.19,296.19,296.19,296.31,296.43,295.83,295.83,295.83,295.83,295.83,296.07,296.07,296.43,296.43,296.2,296.2,296.2,296.2,296.2,294.5,294.5,295.77,295.77,295.77,294.75,294.75,294.14,294.14,294.14,295.13,295.13,296.43,296.43,296.43,296.07,296.07,295.13,295.13,295.13,295.25,295.25,295.61,295.61,295.61,295.6,295.6,295.24,295.24,295.24,295.96,295.96,295.72,295.72,295.72,295.72,295.72,295.4,295.4,295.4,295.88,295.88,295.88,295.88,295.88,294.57,294.57,294.57,295.76,294.81,294.81,295.06,295.06,295.69,295.69,295.69,296.06,296.06,296.06,294.6,294.6,294.6,296.06,296.06,296.06,296.06,296.06,295.93,295.93,295.93,295.57,295.57,295.57,296.05,296.05,296.05,295.81,295.81,295.1,295.1,295.22,293.97998,293.97998,293.97998,294.86,294.86,294.86,294.61,294.61,294.61,293.26,293.26,293.26,294.14,294.14,294.14,293.65,293.65,293.65,293.89,293.89,293.89,294.78,294.78,294.78,292.78,292.78,292.78,292.78,292.47998,292.47998,291.78,293.32,293.32,293.32,292.72998,292.72998,292.72998,291.97,291.97,291.97,293.91,293.91,293.91,293.91,291.84,291.84,291.84,290.5,290.5,290.5,292.16998,292.16998,292.16998,292.16998,291.66998,291.66998,291.66998,290.16998,290.16998,290.16998,290.44,290.16998,290.16998,273.78,273.78,255.61,255.61,255.61,255.61,255.87,255.87,255.87,255.87,268.34,268.34,268.34,268.34,280.81,280.81,280.81,280.81,269.9,266.75,266.75,271.97,271.97,271.97,271.97,271.97,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,281.45,281.45,281.45,281.45,273.22998,273.22998,273.22998,267.63,267.63,267.63,267.63,274.72998,274.72998,274.72998,274.72998,274.72998,276.15,276.15,276.15,276.15,279.22,279.22,279.22,279.22,261.41,261.41,261.41,261.41
8,293.62,293.62,293.5,293.5,293.74,293.74,293.99,293.74,294.64,294.64,295.59,295.59,296.19,296.19,296.55,296.55,295.71,295.71,296.19,296.19,296.07,296.07,294.95,294.95,295.07,295.07,289.18,289.18,289.18,293.52,293.52,294.71,294.71,294.5,294.5,294.2,294.2,294.08,294.08,294.08,294.08,293.71,291.85,292.84,292.84,292.84,292.84,292.84,293.21,293.21,293.52,293.52,292.78,292.78,293.77,293.77,293.9,293.9,293.9,295.08,295.08,295.32,295.32,295.26,295.26,295.72,295.72,295.72,296.32,296.32,296.56,296.56,296.56,296.56,296.2,295.84,295.84,296.19,296.19,296.31,296.31,294.96,294.96,294.96,294.96,294.96,293.86,293.86,296.55,296.55,296.55,296.33,296.33,296.2,296.2,294.91998,294.91998,294.91998,291.47,291.47,295.41,295.41,295.41,292.68,292.68,296.43,296.43,296.43,296.43,296.43,296.07,296.07,296.07,295.49,295.49,295.37,295.37,295.37,295.49,295.49,295.96,295.96,295.96,296.19,296.19,295.84,295.84,295.84,295.47998,295.47998,295.72,295.72,295.72,295.88,295.88,295.88,296.01,296.01,295.76,295.88,295.88,294.57,294.57,295.76,295.76,295.76,295.69,295.69,295.69,295.81,295.81,295.81,294.97,294.97,295.69,295.69,295.69,296.06,296.06,296.06,296.18,296.18,296.18,295.34,295.34,295.57,295.57,295.57,295.93,295.93,295.93,295.81,295.81,295.81,295.1,295.1,295.1,293.01,293.01,293.01,294.61,294.61,294.61,294.11,294.11,294.11,293.74,293.74,293.74,294.26,294.26,294.26,294.51,294.51,294.51,294.51,294.51,294.51,293.03,293.03,293.03,292.78,292.78,292.78,292.47998,292.47998,292.47998,291.78,291.78,291.78,291.78,292.95,292.95,292.95,292.85,292.85,292.85,293.29,293.29,293.29,292.68,292.68,292.68,292.68,292.1,292.1,292.1,292.3,292.3,292.3,290.44,291.66998,291.66998,291.66998,290.16998,290.16998,290.16998,288.74,288.74,288.74,276.02,276.02,253.7,253.7,253.7,253.7,252.69,252.69,252.69,280.22998,280.22998,280.22998,280.22998,280.22998,280.81,280.81,280.81,280.81,269.9,269.9,269.9,269.9,279.43,279.43,279.43,285.08002,285.08002,285.08002,285.08002,285.08002,285.08002,289.75,289.75,282.66998,282.66998,282.66998,282.66998,276.16,276.16,276.16,267.72998,267.72998,267.72998,267.63,267.63,274.72998,274.72998,274.72998,274.72998,274.72998,279.77,279.77,279.77,279.77,279.84,279.84,258.13,258.13,258.13,258.13,258.13
9,294.11,294.11,293.99,293.5,293.74,293.74,293.99,293.99,294.88,294.88,295.83,295.83,296.31,296.31,296.55,296.55,294.64,294.64,294.64,296.07,296.07,296.14,296.14,295.44,295.44,292.9,282.3,282.3,282.71,282.71,290.3,294.5,294.5,294.38,294.38,294.2,294.2,294.08,294.08,294.08,294.08,294.08,293.71,293.71,293.71,293.71,293.83,293.83,293.77,293.77,293.9,293.9,289.04,289.04,289.04,293.65,293.65,292.66,292.66,294.63,294.63,295.2,295.2,295.2,294.89,294.89,295.84,295.84,296.2,296.2,296.44,296.56,296.56,296.56,296.56,296.2,296.2,296.31,296.31,296.31,296.31,296.31,295.95,295.95,295.45,295.45,296.31,296.31,296.31,295.83,295.83,296.45,296.45,296.45,296.57,296.57,294.91998,294.91998,291.22,291.22,291.22,294.91998,294.91998,292.68,292.68,292.68,296.43,296.43,295.72998,295.72998,295.72998,296.19,296.19,295.01,295.01,295.01,296.07,296.07,296.19,296.19,296.19,296.31,296.31,295.47998,295.47998,295.47998,295.11,295.11,296.31,296.31,296.31,295.72,295.72,295.52,295.52,295.88,296.01,296.01,296.01,295.76,295.76,294.81,294.81,294.81,295.52,295.52,295.52,295.57,295.57,295.69,295.69,295.69,294.85,294.85,294.85,295.21,295.21,295.21,296.06,296.06,295.57,295.57,295.57,295.93,295.93,295.93,295.57,295.57,295.57,295.93,295.93,295.93,295.69,295.69,295.69,293.38,293.38,293.38,293.97998,293.97998,294.11,294.11,294.11,293.13,293.13,293.13,294.11,294.11,294.11,294.78,294.78,294.78,294.63,294.63,294.63,294.63,294.63,294.51,294.51,293.03,293.03,293.03,291.78,291.78,291.78,291.9,291.9,291.9,292.47998,292.47998,292.47998,291.52,291.52,291.52,293.07,293.07,293.07,293.07,292.8,292.8,292.8,292.93,292.93,292.93,292.16998,292.16998,292.16998,292.1,292.3,292.3,292.3,290.44,290.44,283.47,283.47,283.47,283.47,285.43,289.91,289.91,283.26,283.26,283.26,257.41998,257.41998,257.41998,259.1,259.1,259.1,252.69,280.22998,280.22998,280.22998,280.22998,280.22998,280.55,280.55,280.55,280.55,281.43,281.43,281.43,278.66998,278.66998,278.66998,278.66998,289.79,289.79,289.79,289.79,289.79,291.54,291.54,291.54,291.54,276.79,276.79,276.79,276.79,276.16,276.16,267.72998,267.72998,267.72998,267.72998,277.37,277.37,277.37,277.37,277.37,277.37,279.37,279.37,279.37,279.37,277.06,277.06,277.06,264.04,264.04,264.04
