,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
0,291.41998,291.94,291.94,291.41998,291.41998,291.41998,291.41998,291.41998,266.08002,266.08002,252.32,252.32,252.32,232.95999,232.95999,235.45,235.45,251.44,269.45,269.45,269.45,266.6,266.6,237.62,237.62,237.62,228.92,242.04001,242.04001,242.04001,252.86,252.86,243.9,243.9,247.23999,247.23999,263.66,263.66,241.79001,241.79001,252.62,275.84,275.84,289.65,289.65,289.65,258.76,274.59,274.59,284.75,284.75,284.75,242.44,242.44,257.73,257.73,247.98999,266.3,266.3,266.08002,266.08002,266.08002,245.93,264.01,264.01,279.56,279.56,279.56,279.56,279.56,279.56,286.29,286.29,239.59,239.59,248.31,248.31,242.67,242.67,242.67,271.7,271.7,287.28,287.28,284.6,284.6,279.31,279.31,273.3,273.3,241.32,241.32,223.81,223.81,220.68,220.68,219.03,219.03,220.68,220.68,228.72,228.72,259.52,259.52,267.34,267.34,267.34,254.25,254.25,254.98,276.2,265.83002,265.83002,263.02,263.02,269.18,269.18,260.09,260.09,262.29,255.51,255.51,265.12,265.12,271.77,271.77,271.72,276.01,276.01,278.94,278.94,283.82,283.82,283.24,281.66998,281.66998,272.34,272.34,271.76,271.76,278.35,279.41,279.41,274.79,274.79,280.5,280.5,280.5,280.5,280.5,280.5,280.5,280.5,290.97,290.97,276.16998,276.16998,281.05,288.9,288.9,288.9,288.9,291.91,291.91,292.63,292.63,292.63,278.65,278.65,290.6,289.72998,293.07,293.07,293.18,292.56,292.56,287.77,291.59,291.59,291.11,291.11,292.68,293.3,293.3,293.18,290.69,283.89,283.89,292.97998,292.97998,293.24,293.24,293.36,293.36,293.36,292.97998,292.38,292.38,292.1,292.1,290.78,293.55,293.55,291.02,285.66998,285.66998,292.82,292.82,292.82,290.78,290.78,294.08,294.2,294.2,293.72998,293.72998,293.85,293.37,293.37,292.89,292.89,291.44,292.65,292.65,291.41,291.41,294.06,294.29,294.29,293.7,293.7,294.06,294.06,294.06,294.06,294.06,293.58,293.58,291.99,293.56,293.56,294.28,294.28,292.96,294.16,294.16,293.8,293.8,293.91998,293.91998,294.01,294.46,294.46,293.89,293.89,293.41,293.41,294.01,294.01,294.01,292.8,292.8,293.89,293.89,293.97,293.97,293.61,293.49,293.49,293.61,293.61,293.49,293.49,293.37,293.37,293.25,293.25,293.19,288.82,288.82,292.71,292.71,288.08002,281.41,281.41,274.22998,274.22998,275.35,275.35,274.3,274.3,279.79,279.79,274.0,273.45,273.45,273.45,263.15,263.15,282.16,282.16
1,290.36,292.47,292.47,277.97,277.97,286.62,253.42,279.49,279.49,279.94,279.94,279.94,247.77,247.77,247.77,266.75,266.75,251.44,251.44,247.77,247.77,248.4,248.4,232.5,232.5,230.06,230.06,233.78,233.78,253.67,253.67,230.06,230.06,230.06,226.23,226.23,226.23,224.84,224.84,218.32,218.32,223.24,223.24,274.72998,274.72998,274.72998,253.45,253.45,254.84,281.16998,281.16998,281.16998,242.44,242.44,257.73,257.73,247.98999,266.3,266.3,266.08002,266.08002,266.08002,245.93,264.01,283.12,281.06,279.56,279.56,280.62,280.62,292.15,240.02,240.02,241.67,241.67,253.3,253.3,250.08,262.99,262.99,271.09,271.09,288.91,288.91,288.36,288.36,288.36,270.19,270.19,270.19,239.23,239.23,226.51,226.51,223.81,223.81,220.68,220.68,225.23,225.23,260.26,260.26,260.26,254.98,268.02,268.02,268.02,254.98,258.03,270.61,270.61,264.43,264.43,280.68,280.68,275.47998,275.47998,260.09,262.29,262.29,255.51,255.51,265.12,265.12,271.77,271.72,271.72,276.01,276.01,278.94,279.46,279.46,283.24,283.24,280.06,280.06,271.72,271.72,269.83002,282.65,282.65,283.7,283.7,272.97,272.97,275.41998,289.47,289.47,290.51,290.51,291.02,291.5,291.5,289.41998,289.41998,280.51,280.51,275.24,288.78,288.78,288.78,288.33002,292.39,292.39,291.79,292.03,292.03,292.51,279.87,278.65,278.65,292.95,292.95,293.07,293.07,291.72,293.3,293.3,291.59,291.11,291.11,292.68,293.3,293.3,292.95,293.36,293.36,287.29,287.29,287.29,293.12,293.12,293.36,293.47998,293.47998,293.6,293.36,293.36,292.22,292.22,288.0,293.55,293.55,290.53,290.53,290.78,286.06,286.06,289.32,293.55,293.55,293.96,293.96,294.08,294.08,294.08,293.61,293.61,289.38,292.89,292.89,292.89,292.89,289.63,290.44,290.44,294.18,294.18,294.18,293.7,293.7,293.94,293.94,294.06,293.94,293.94,294.06,294.06,291.99,293.56,293.56,294.28,294.28,292.96,292.96,294.16,294.04,294.04,293.68,293.68,294.25,294.25,294.37,294.13,294.13,293.41,293.41,294.13,294.13,294.13,293.89,293.89,293.77,293.77,293.85,293.85,293.72998,293.72998,293.49,293.61,293.61,293.49,293.49,292.89,292.89,293.25,293.25,292.83,292.83,288.59,285.01,285.01,292.59,278.39,278.39,277.8,277.8,275.35,275.35,274.3,274.3,279.79,279.79,277.41,277.41,274.97998,274.97998,279.37,279.37,275.43,278.55
2,292.47,291.41998,277.97,277.97,277.97,277.97,253.42,279.49,279.49,279.94,279.94,279.94,247.77,247.77,266.75,256.95,256.95,256.95,256.95,246.83,246.83,248.4,248.4,237.62,237.62,237.62,226.44,238.78,238.78,239.91,239.91,239.91,226.44,226.44,225.03,225.03,221.7,221.7,216.65,216.65,214.8,214.8,211.29,211.29,226.23,226.23,255.08,255.08,260.57,278.56,278.56,268.33002,268.33002,276.88,276.88,276.88,261.3,272.15,280.13,280.13,275.0,275.0,283.12,283.12,281.06,281.06,279.56,279.56,280.62,280.62,280.62,240.02,240.02,241.67,241.67,253.3,253.3,250.08,226.61,257.11,276.56,276.56,275.99,275.99,286.76,286.76,286.19,268.22998,268.22998,268.22998,246.13,246.13,232.43,232.43,241.32,241.32,223.81,223.81,246.13,241.25,241.25,243.27,243.27,252.69,258.78,258.78,261.02,274.97,274.97,263.2,263.2,276.8,276.8,280.68,280.68,266.51,263.02,263.02,263.73,263.73,274.85,274.85,262.29,262.29,264.43,270.43,270.43,273.59,273.59,279.46,279.46,279.46,283.24,283.24,280.06,280.06,271.72,271.72,269.83002,282.65,282.65,283.7,283.7,276.0,270.47,270.47,290.51,290.51,291.55,291.55,292.62,292.02,292.02,291.5,291.5,289.8,276.2,276.2,276.2,276.2,288.71,287.62,289.28,289.28,291.18,292.78,292.78,291.06,279.87,278.65,278.65,288.1,288.1,293.07,293.07,291.72,293.3,293.3,288.94,293.3,293.3,293.07,293.54,293.54,293.6,293.6,293.36,291.28,291.28,293.12,292.97998,292.97998,293.24,293.47998,293.47998,293.6,293.6,293.72,293.43,293.43,290.78,292.34,292.34,290.53,290.53,292.22,290.53,278.08002,278.08002,284.95,293.19,293.96,293.96,292.89,293.61,293.61,293.37,293.37,293.13,293.49,293.49,293.85,293.85,287.94,292.14,292.14,293.94,293.94,294.06,294.06,294.06,294.06,293.94,294.06,294.06,293.94,294.06,294.06,293.8,293.8,294.16,294.16,294.16,291.27,291.27,293.68,293.68,294.16,293.91998,293.91998,294.37,294.37,294.25,294.25,294.25,293.53,293.53,294.37,294.37,292.2,292.2,293.89,293.85,293.85,293.85,293.85,293.49,293.49,293.49,293.49,293.49,293.37,293.37,293.13,293.13,293.01,276.62,276.62,278.53,278.53,280.22998,280.22998,291.51,291.51,278.39,277.8,277.8,276.08002,276.08002,276.08002,276.08002,277.55,277.55,280.83002,280.83002,280.83002,280.83002,282.93,282.93,282.93,282.93
3,291.41998,291.41998,291.41998,291.41998,291.41998,255.78,255.78,255.78,263.39,282.41998,282.41998,282.41998,266.75,266.75,256.95,256.95,256.95,256.95,246.83,246.83,246.83,248.4,248.4,237.62,237.62,237.62,226.44,238.78,239.91,239.91,228.92,228.92,220.1,220.1,227.70999,227.70999,223.24,223.24,219.94,219.94,216.65,216.65,211.29,211.29,216.65,255.08,278.56,278.56,278.56,259.89,259.89,259.89,222.89,257.73,274.59,274.59,270.28,270.28,274.59,274.59,274.59,274.59,279.05,279.05,264.7,264.7,264.7,222.54,222.54,256.0,256.0,231.95999,231.95999,229.18,229.18,222.35,222.35,226.61,226.61,257.11,276.56,275.99,275.99,275.99,286.76,287.22,287.22,268.22998,268.22998,259.75,259.75,259.75,241.32,241.32,257.55,261.24,259.75,259.75,259.75,220.68,220.68,248.76,269.31,269.31,271.89,271.89,280.28,271.89,271.89,271.89,254.98,262.47,262.47,262.47,262.47,270.49,259.35,259.35,268.53,268.53,281.78,281.78,263.73,268.53,268.53,271.06,271.06,274.79,274.79,275.41998,283.82,283.82,276.59,276.59,277.77,277.77,272.34,270.43,270.43,271.1,271.1,277.75,277.75,276.0,270.47,270.47,289.97,289.97,292.07,292.62,292.62,287.84,287.84,289.41998,280.55,288.72,288.72,291.25,288.08002,281.0,288.2,288.2,288.2,290.35,292.51,292.51,292.39,291.06,291.06,277.94,277.94,280.47998,282.78,282.78,289.81,293.18,292.32,292.32,293.07,293.3,293.3,292.68,292.68,293.41998,293.6,293.6,293.6,293.47998,293.47998,293.6,293.6,293.6,293.24,293.24,293.6,293.6,293.6,293.66998,291.74,291.74,293.43,293.43,288.6,293.06,293.06,291.62,290.06,290.06,291.2,291.2,291.2,293.49,293.49,292.89,292.89,293.72998,284.87,284.87,292.16998,292.16998,290.85,291.81,291.81,289.96,289.96,290.44,293.94,293.94,294.06,294.06,294.06,294.06,294.06,294.18,294.18,294.06,294.16,294.16,293.91998,293.91998,294.04,294.04,293.44,290.4,290.4,294.04,294.04,294.04,294.04,294.04,294.13,294.13,294.13,294.13,294.13,294.13,294.13,294.13,294.13,294.01,294.01,293.53,293.53,293.72998,293.61,293.61,293.49,293.49,293.37,293.37,293.37,293.37,293.13,292.89,292.89,287.1,276.62,276.62,278.53,278.53,280.22998,280.22998,291.51,291.51,280.89,280.89,280.6,280.6,280.6,276.68,276.68,279.51,279.51,281.11,281.11,280.69,257.24,257.24,256.76,256.76,252.45
4,291.41998,291.41998,287.14,287.14,274.69,274.69,272.65,272.65,272.65,278.88,278.88,278.88,278.88,268.77,268.77,268.77,258.41,258.41,246.83,246.83,266.6,266.6,265.93,265.93,265.93,235.04001,235.04001,239.91,239.91,239.91,228.92,228.92,220.1,220.1,227.70999,227.70999,223.24,223.24,219.94,219.94,216.65,224.84,218.32,243.67,243.67,261.47,276.33002,276.33002,276.33002,233.29001,233.29001,233.29001,219.77,254.84,265.62,265.62,275.71,275.71,283.68,283.68,289.5,289.5,276.19,276.19,276.19,241.07,241.07,237.85,237.85,258.96,276.19,276.19,275.57,275.57,270.47998,270.47998,270.47998,265.8,265.8,275.36,275.36,278.9,278.9,286.76,286.76,287.22,287.22,264.84,264.84,259.75,259.75,259.75,241.32,241.32,261.24,261.24,259.75,259.75,259.75,220.68,220.68,248.76,278.6,278.6,271.89,271.24,271.24,258.03,258.03,273.12,273.12,279.16,279.16,285.52,274.85,274.85,274.85,274.85,274.85,274.85,274.85,268.53,268.53,273.0,273.0,271.72,271.72,280.57,280.57,278.94,280.06,280.06,280.06,280.06,278.94,273.59,273.59,269.78,269.78,270.47,270.47,274.79,278.35,278.35,274.2,274.2,289.97,289.97,292.07,292.62,292.62,282.19,282.19,289.41998,277.84,284.29,284.29,285.64,286.15,281.0,287.37,287.37,288.2,290.35,292.51,292.51,292.39,292.39,292.39,291.06,283.76,283.76,283.76,279.18,289.9,289.9,289.9,289.06,293.3,293.3,293.41998,293.18,293.18,292.44,293.36,293.36,293.6,293.47998,293.47998,293.6,293.6,293.47998,293.24,293.24,293.6,293.6,293.6,293.55,293.55,288.35,291.5,291.5,289.32,291.97998,291.97998,292.82,292.82,288.35,288.6,288.6,284.87,284.87,292.05,291.44,291.44,293.37,290.47998,290.47998,293.37,293.37,292.05,291.81,291.81,289.96,289.96,290.44,293.82,293.82,293.82,293.82,294.18,294.18,294.18,294.18,294.18,294.18,294.18,294.16,293.91998,293.91998,293.08,293.08,293.2,293.8,293.8,293.91998,293.91998,294.04,294.04,294.04,293.89,293.89,294.01,294.01,294.13,294.13,294.13,293.53,293.53,292.56,292.56,293.65,293.65,293.72998,293.72998,293.61,293.37,293.37,293.25,293.25,292.77,292.77,293.13,293.13,292.89,286.64,286.64,279.95,286.64,286.64,286.64,286.64,286.64,286.64,280.37,280.37,285.86,285.86,285.86,275.78,275.78,276.52,276.52,275.28,261.37,261.37,259.71,259.71,254.6,254.6,250.31
5,291.94,291.94,293.0,293.0,293.0,293.0,278.59,278.59,283.44,283.44,283.44,287.1,287.1,287.1,264.05,264.05,261.97,261.97,241.2,241.2,259.9,259.9,259.9,259.9,260.33,260.33,258.97,258.97,258.97,249.32,249.32,248.4,248.4,239.91,239.91,230.87,230.87,230.87,223.24,223.24,224.84,224.84,218.32,243.67,243.67,261.47,276.33002,276.33002,276.33002,233.29001,233.29001,233.29001,248.92,261.3,273.95,273.95,273.95,273.95,273.95,273.95,284.15,284.15,284.15,261.85,261.85,259.66998,280.62,280.62,283.57,283.57,282.09,282.09,282.09,282.09,282.09,278.9,278.9,281.56,281.56,278.3,278.3,279.91,279.91,286.24,286.24,286.24,286.24,265.52,265.52,265.52,265.52,248.81,268.22998,268.22998,282.53,282.53,282.53,245.20999,245.20999,258.29,271.24,271.24,278.6,271.89,271.89,271.24,271.24,258.03,258.03,273.12,273.12,279.16,279.16,287.1,274.85,283.37,287.65,287.65,290.8,290.8,285.01,277.28,277.28,276.08002,276.08002,272.39,272.39,279.46,278.38,278.38,277.77,277.77,278.94,278.94,281.66998,273.59,273.59,269.78,269.78,271.1,271.76,271.76,272.37,272.37,280.0,280.0,290.51,289.47,289.47,292.62,292.62,277.19,278.45,278.45,277.84,276.46,279.66998,283.76,283.76,286.15,287.37,287.37,287.37,290.94,292.27,292.27,288.58002,292.39,292.39,292.51,292.51,292.44,291.47,291.47,291.47,291.47,291.47,290.39,293.3,293.3,293.07,291.22998,282.47,282.47,293.24,293.24,293.36,293.36,293.36,293.47998,293.47998,293.36,289.1,289.1,293.36,293.36,292.97998,293.06,293.06,287.75,292.94,292.94,292.1,292.1,292.1,292.7,292.7,293.19,292.58,292.58,290.97,290.97,292.77,293.13,293.13,293.37,293.37,290.47998,293.37,293.37,292.05,292.05,292.28,292.5,292.5,292.38,292.38,294.06,293.94,293.94,294.18,294.18,294.18,294.18,294.18,294.18,294.18,294.16,294.04,294.04,293.8,293.8,294.04,294.04,293.8,293.91998,293.91998,294.04,294.04,293.29,293.29,293.89,294.13,294.13,294.01,294.01,294.01,294.01,293.89,293.41,293.41,293.53,293.53,293.25,293.25,293.13,293.13,293.01,293.01,293.01,293.01,292.77,293.13,293.13,292.89,292.89,286.64,286.64,285.4,285.4,285.4,287.22998,287.22998,290.16998,290.16998,281.41,281.41,281.41,280.74,280.74,276.38,276.38,275.93,275.93,280.04,280.04,281.47,281.52,281.52,283.57,283.57
6,293.0,293.0,291.94,291.94,287.14,287.14,287.14,287.14,287.14,287.14,287.14,284.46,284.46,284.46,284.46,276.82,276.82,276.82,267.45,274.47998,274.47998,287.57,287.57,287.57,287.57,274.28,274.28,274.28,260.33,273.7,273.7,277.16,277.16,277.16,271.71,271.71,271.71,263.66,278.15,278.15,278.15,263.66,278.66998,278.66998,278.66998,278.66998,280.83002,280.83002,280.83002,247.98999,247.98999,248.92,248.92,261.3,273.95,273.95,286.9,286.9,291.18,291.18,284.65,284.65,284.65,261.85,261.85,261.85,261.85,261.85,261.85,261.85,261.85,261.85,288.43,289.43,289.43,282.02,282.02,279.43,279.43,278.3,278.3,277.13,277.13,285.68,285.68,281.56,281.56,261.97,280.89,280.89,266.22,266.22,267.55,267.55,282.53,282.53,282.53,252.12,260.49,260.49,260.49,260.49,260.49,260.49,253.52,263.2,263.2,270.61,270.61,283.43,283.43,283.43,287.1,287.1,283.37,283.37,290.27,290.27,290.8,290.8,285.52,277.28,277.28,276.08002,276.08002,272.39,279.46,278.38,279.46,279.46,277.77,277.77,277.77,272.34,272.34,272.95,272.95,271.06,271.06,272.37,272.37,272.37,272.37,272.37,276.0,283.7,283.7,289.47,289.47,287.89,287.89,287.89,282.19,282.19,282.19,274.96,278.72,278.72,279.28,279.28,279.28,289.53,288.08002,291.31,279.14,290.94,290.35,290.35,292.78,292.9,292.9,292.68,290.27,290.27,289.31,292.68,292.68,287.89,290.51,290.51,292.95,289.43,289.43,293.12,293.12,293.12,293.24,293.24,293.36,293.12,293.12,293.12,293.12,293.12,293.12,293.12,292.74,290.53,290.53,288.47,290.28,290.28,293.06,293.06,292.1,293.31,293.31,292.82,292.82,286.06,290.97,290.97,292.77,293.13,293.13,293.13,293.13,288.29,292.05,292.05,292.28,292.28,291.93,293.58,293.58,292.86,292.86,294.06,293.94,293.94,294.06,294.06,294.18,294.18,294.18,294.29,294.29,294.28,294.28,294.04,293.91998,293.91998,293.68,293.68,293.91998,293.91998,293.91998,294.04,294.04,293.53,293.53,293.89,293.89,294.01,293.89,293.89,293.89,293.89,293.53,293.53,292.8,293.29,293.29,293.25,293.25,293.13,293.13,293.01,293.01,293.01,293.01,293.01,292.64,292.64,292.64,292.64,289.45,289.45,286.77,286.77,292.22998,292.11,292.11,282.87,282.22998,282.22998,283.91998,283.91998,281.38,281.38,283.44,283.44,283.44,283.44,280.6,280.6,273.15,267.37,267.37,268.47,268.47
7,293.0,293.0,291.94,291.94,291.41998,291.41998,290.36,290.36,289.25,289.25,284.96,284.96,287.1,287.1,276.82,276.82,276.82,276.82,276.82,276.82,276.82,286.54,286.54,286.54,286.54,286.54,286.54,283.84,283.84,283.84,283.84,283.84,283.84,279.28,279.28,279.28,279.28,279.28,279.28,279.28,279.28,279.28,279.28,279.28,285.41,285.41,285.41,285.41,285.41,285.41,285.41,285.41,285.41,285.41,285.41,285.41,277.41998,277.41998,291.18,291.18,284.65,284.65,284.65,284.65,288.97998,288.97998,285.72998,285.72998,285.72998,286.82,286.82,292.15,292.15,292.07,292.07,282.02,282.02,282.02,282.02,282.6,282.6,283.52,283.52,284.09,278.3,278.3,268.88,268.88,280.4,280.4,272.09,272.09,266.89,266.89,266.89,266.89,269.51,269.51,272.7,272.7,288.24,287.16998,287.16998,268.66998,268.66998,261.75,261.75,276.8,279.16,279.16,290.35,290.35,290.8,290.8,290.8,290.8,290.27,290.27,290.8,282.87,282.87,277.28,277.28,273.64,273.64,278.47,278.38,278.38,279.46,279.46,277.77,277.77,277.77,272.34,272.34,272.95,272.95,271.06,272.37,272.37,271.1,271.1,269.83002,269.83002,271.1,271.1,271.1,283.7,283.7,283.7,284.77,289.47,289.47,289.47,280.55,276.74,279.28,279.28,280.01,278.37,278.37,286.4,286.4,291.91,291.91,289.97998,289.97998,289.97998,292.78,290.6,290.6,292.68,292.68,292.68,291.11,290.99,290.99,288.1,288.1,290.76,292.8,292.8,291.22998,287.91998,287.91998,292.97998,293.36,293.36,293.12,293.12,292.97998,292.97998,292.97998,292.74,292.5,292.5,291.74,291.97998,291.97998,290.78,290.78,290.53,291.74,291.74,292.1,292.1,276.14,276.14,281.46,281.46,286.7,286.7,291.2,291.2,293.01,293.01,293.01,289.88,289.88,290.97,293.37,293.37,293.72998,293.72998,294.06,294.06,294.06,294.06,294.06,294.06,294.18,294.18,294.18,294.18,294.18,294.28,294.28,294.28,294.28,293.91998,293.91998,293.32,292.71,292.71,293.91998,293.91998,293.91998,293.91998,293.91998,293.89,293.89,293.65,293.65,294.01,293.89,293.89,293.65,293.65,293.65,293.65,292.8,292.8,293.29,293.25,293.25,292.89,292.89,292.64,292.64,292.16,292.16,293.01,292.04,292.04,292.41,292.41,292.71,292.71,292.11,292.11,292.22998,278.97,278.97,288.08002,285.85,285.85,285.85,285.85,285.85,285.85,285.85,285.85,285.85,274.97998,274.97998,274.97998,274.97998,274.97998,274.97998,263.51,263.51
8,293.0,280.49,280.49,292.47,291.41998,291.41998,290.36,290.36,289.25,289.25,284.96,284.96,287.1,287.1,287.1,287.1,289.25,287.63,287.63,293.46,293.46,292.88,292.88,293.41,293.41,291.83,291.83,283.84,278.77,291.31,291.31,285.47998,285.47998,282.95,282.95,279.28,279.28,291.77,291.77,292.3,292.3,292.3,291.25,291.25,291.25,291.25,289.65,289.65,286.38,286.38,289.06,289.06,286.9,286.9,285.83002,285.83002,242.44,242.44,288.51,288.51,288.97998,287.9,287.9,288.97998,288.97998,285.72998,285.72998,285.72998,285.72998,286.82,286.82,292.15,292.15,292.07,292.07,292.07,292.59,284.6,284.6,282.6,282.6,283.52,283.52,284.6,278.3,278.3,268.88,268.88,272.7,272.7,274.54,274.54,265.52,265.52,278.15,263.41998,263.41998,263.41998,263.41998,287.72,287.72,277.99,277.99,277.99,256.49,272.51,280.28,280.28,274.36,274.36,291.4,291.4,289.76,289.76,282.36,280.16,280.16,290.27,290.27,277.28,277.28,275.47998,275.47998,279.03,274.85,274.85,278.94,278.94,282.75,282.75,281.16,280.57,280.57,270.43,270.43,272.34,272.34,271.06,272.95,272.95,271.1,271.1,269.83002,271.1,271.1,288.93,288.93,283.7,283.7,283.7,290.51,290.51,291.5,291.5,291.5,279.25,279.28,279.28,277.01,279.87,279.87,290.82,290.82,290.82,290.82,289.97998,290.35,290.35,290.94,292.78,292.78,292.95,292.95,292.32,292.56,292.56,292.8,289.81,289.81,292.56,292.44,292.44,290.51,274.59,286.31,292.97998,292.97998,293.12,292.86,292.86,292.97998,292.97998,292.97998,292.62,291.89,291.89,290.16,290.16,291.37,290.78,290.78,290.53,291.74,291.74,289.56,289.56,292.1,290.72,290.72,290.72,290.72,290.72,292.53,292.53,293.49,291.56,291.56,291.69,291.69,293.25,293.85,293.85,294.18,294.18,294.18,294.18,294.18,294.06,294.06,294.06,294.06,294.06,294.06,294.06,294.18,294.18,294.28,294.39,294.39,293.91998,293.91998,293.68,293.44,293.44,294.04,294.04,294.16,294.16,293.68,293.89,293.89,293.29,293.29,294.13,294.01,293.89,293.65,293.65,293.65,293.65,289.89,289.89,293.25,293.25,293.01,292.16,292.16,292.28,292.28,291.55,291.55,292.77,292.77,292.77,292.64,292.64,292.71,292.71,290.89,280.65,280.65,278.1,278.1,286.12,286.12,286.12,291.02,289.66998,289.66998,290.83,290.83,287.28,287.28,290.22998,290.22998,288.88,288.88,286.3,282.02,263.51,263.51
9,290.88,290.88,290.88,288.22,288.22,288.22,289.29,289.29,291.37,291.37,288.71,288.71,287.63,287.63,289.25,289.25,287.63,287.63,293.46,293.46,293.46,292.88,292.88,293.41,293.41,291.83,291.83,278.77,278.77,292.36,292.36,291.83,291.83,282.95,282.95,279.28,279.28,286.99,286.99,293.87,293.87,292.83,292.83,292.83,292.83,289.13,289.13,291.18,291.18,290.12,290.12,282.2,282.2,284.75,258.52,258.52,253.23,283.22998,283.22998,292.75,292.75,291.1,291.1,292.66998,292.66998,292.15,292.15,291.1,291.1,291.62,291.62,292.66998,292.66998,293.12,293.12,292.59,292.59,281.56,283.06,283.06,283.06,283.06,284.6,284.6,273.55,273.55,268.22998,268.22998,272.7,272.7,274.54,274.54,265.52,278.15,278.15,263.41998,263.41998,289.89,289.89,291.46,291.46,291.46,291.46,261.02,273.12,273.12,273.12,273.12,273.12,273.12,284.51,284.51,282.94,282.94,282.94,282.94,282.94,289.76,289.76,289.76,289.76,289.76,278.47,278.47,276.08002,276.08002,278.38,278.38,283.24,283.24,283.24,276.59,276.59,271.06,271.06,275.41998,271.06,271.06,270.43,270.43,271.76,271.76,269.16,269.16,269.16,277.19,277.19,277.19,277.19,277.19,290.51,290.51,290.46,290.46,291.5,273.57,273.57,276.35,278.72,278.72,283.36,283.36,283.36,289.72998,289.72998,292.51,292.51,292.9,291.18,291.18,290.27,291.22998,291.22998,287.77,292.08,292.08,291.11,292.68,292.68,292.08,286.93,286.93,287.52,287.52,291.77,291.77,291.77,292.97998,292.86,292.86,292.5,292.38,292.38,292.62,292.62,291.89,290.16,290.16,291.37,289.32,289.32,291.25,291.25,289.19,290.16,290.16,293.19,290.9,290.9,285.13,281.85,281.85,290.85,290.85,293.72998,293.72998,293.61,293.25,293.25,292.77,292.77,293.61,293.7,293.7,294.06,294.06,294.06,294.06,294.06,294.06,294.06,294.06,294.18,294.18,294.06,294.06,294.28,294.28,294.39,294.16,294.16,293.56,293.56,293.8,294.04,294.04,293.8,293.8,293.2,293.68,293.89,293.29,293.29,294.13,294.13,294.01,294.01,293.53,293.41,293.41,291.47,291.47,293.13,293.13,292.53,292.53,291.55,291.44,291.44,291.8,291.8,291.91998,291.91998,292.64,292.64,292.47,292.47,292.71,292.11,277.22998,277.22998,282.09,282.09,278.68,278.68,285.4,288.69,288.69,290.22998,290.22998,289.38,289.26,289.26,290.71,290.71,288.75,288.75,287.28,282.02,267.56,267.56
