,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
0,281.3,269.78,260.49,260.49,262.48,262.48,276.78,276.78,242.70999,242.70999,242.70999,258.15,258.15,269.66,269.66,269.66,273.22,273.22,275.49,275.49,280.81,280.81,281.55,283.03,283.03,283.03,283.03,280.81,265.14,265.14,259.05,259.05,253.25,253.25,249.16,249.16,267.05,267.05,267.05,268.47998,268.47998,273.21,273.21,273.21,274.53,258.89,258.89,258.89,277.72998,277.72998,277.72998,277.72998,260.8,260.8,260.8,266.89,266.89,276.85,276.85,276.85,278.09,278.09,278.83002,278.83002,278.83002,278.09,278.24,279.47,279.47,279.47,278.01,278.01,277.16998,277.16998,275.51,275.51,275.51,274.39,274.39,274.24,274.24,270.26,270.26,267.85,267.85,270.76,270.76,270.76,274.38,274.38,274.38,276.13,276.13,271.58002,271.58002,272.72,272.72,272.72,271.26,271.26,268.74,268.74,268.74,272.71,272.71,272.71,271.41998,272.71,278.38,278.38,278.38,278.38,276.86,276.86,279.14,279.14,275.55,275.55,275.55,273.16,273.16,268.47998,268.47998,268.47998,262.61,262.61,262.61,258.51,258.51,258.51,263.1,263.1,265.39,265.39,265.39,271.45,271.45,271.45,272.75,272.75,272.75,277.56,277.56,277.56,271.99,271.99,266.79,270.83002,270.83002,272.63,272.63,272.63,270.33002,270.33002,270.33002,268.99,268.99,268.99,268.27,268.27,268.27,261.53,261.53,261.53,266.11,266.11,266.11,267.32,267.32,267.32,261.03,261.03,261.03,279.19,279.19,279.19,283.34,283.34,283.34,281.47,281.47,281.47,281.47,275.08002,275.08002,275.08002,266.46,264.81,264.81,270.54,270.54,270.54,266.99,266.99,266.99,249.1,249.1,237.53,237.53,237.53,246.98999,246.98999,246.98999,246.98999,246.98999,260.66,260.66,260.66,256.06,256.06,256.06,233.88,233.88,233.88,260.88,260.88,260.88,260.88,260.88,260.28,260.28,260.28,250.73999,250.73999,250.73999,244.13,244.13,244.13,226.6,226.6,226.6,226.6,221.74,221.74,214.72,214.72,214.72,214.72,226.26,226.26,226.26,226.26,226.26,223.05,223.05,223.05,223.05,223.52,223.52,223.52,223.52,224.26,224.26,224.26,222.39,222.39,222.39,222.39,227.57,227.57,227.57,222.76,222.76,228.64,228.64,228.64,228.64,228.64,228.64,228.64,228.64,233.13,233.13,233.13,233.13,233.13,233.13,239.55,239.55,239.55,239.55,260.13,260.13,260.13,260.13,260.13,260.13,260.5,260.5,260.5,260.5,248.42,248.42,248.42,248.42,248.42,244.13,244.13,244.13,244.13,230.77
1,279.75,277.22,277.22,277.22,278.57,278.57,269.36,264.55,264.55,252.92,252.92,272.66998,272.66998,272.66998,278.57,278.57,276.47998,276.47998,275.49,275.49,280.81,280.81,281.55,281.55,281.55,279.85,279.85,276.53,276.53,268.24,251.16,251.16,266.72,266.72,266.72,261.61,261.61,270.7,270.7,270.7,273.11,273.11,273.36,273.36,276.18,276.18,276.18,277.29,277.29,273.37,259.11,259.11,259.11,256.93,256.93,273.91998,273.91998,273.91998,276.55,276.55,276.4,278.09,278.09,278.83002,278.83002,278.09,278.09,278.68,278.68,278.68,274.15,274.15,277.16998,277.16998,277.16998,274.9,274.9,275.2,275.2,275.99,275.99,275.99,275.99,275.99,274.7,274.7,272.56,272.56,272.56,272.56,272.56,272.56,272.56,269.44,269.44,269.44,266.94,266.94,265.43,265.43,265.43,267.83002,268.74,272.71,272.71,272.71,271.41998,271.41998,271.41998,276.09,276.09,276.09,276.71,276.71,276.71,276.45,272.2,272.2,272.2,268.82,268.82,268.82,268.47998,268.47998,268.47998,266.81,266.81,267.26,267.26,267.26,264.68,264.68,264.68,265.63,265.63,265.63,267.3,267.3,270.96,270.96,270.96,272.47,277.56,277.56,271.99,271.99,271.99,266.79,266.79,266.79,271.0,271.0,271.0,270.66,270.66,270.66,265.72,265.72,265.72,269.37,269.37,265.18,265.18,265.18,265.54,265.54,265.54,265.54,263.87,263.87,256.84,256.84,256.84,278.56,278.56,278.56,278.56,283.47,283.47,283.47,280.35,280.35,281.47,275.08002,275.08002,275.08002,266.46,266.46,266.46,266.46,268.88,268.88,268.88,264.08002,264.08002,252.37,252.37,242.86,242.86,242.86,242.86,260.47,260.47,260.47,260.47,266.32,266.32,266.32,266.32,251.4,251.4,241.5,241.5,241.5,241.5,267.25,267.25,267.25,267.25,261.66,260.28,260.28,260.28,250.73999,250.73999,250.73999,239.15,239.15,228.78,228.78,228.78,228.78,220.73,220.73,220.73,212.33,212.33,212.33,212.33,227.61,227.61,227.61,227.61,227.61,225.22,225.22,225.22,225.22,225.36,225.36,225.36,225.36,231.73,231.73,231.73,222.39,222.39,222.39,222.39,227.57,227.57,227.57,227.57,227.57,231.01,231.01,231.01,231.01,228.98,228.98,228.98,228.98,236.28,236.28,236.28,236.28,236.28,236.28,252.5,252.5,252.5,252.5,252.5,262.37,262.37,262.37,262.37,262.37,259.62,259.62,259.62,259.62,259.62,252.8,248.42,248.42,248.42,244.13,244.13,244.13,244.13
2,269.36,269.36,271.0,271.0,271.0,271.0,271.0,266.16,266.16,256.44,256.44,274.37,274.37,272.66998,278.57,278.57,276.47998,276.47998,276.47998,271.79,271.79,274.74,274.74,280.1,263.49,263.49,276.99,276.99,256.66998,256.66998,248.76,248.76,248.76,259.08,259.08,270.13,270.13,270.13,271.18,271.18,277.37,277.37,277.37,276.78,276.78,277.22,277.22,276.85,276.85,278.82,278.82,265.94,265.94,272.18,272.18,272.18,273.91998,273.91998,276.55,276.55,276.55,276.4,276.4,273.62,273.62,273.3,273.3,273.3,274.0,272.13,272.13,272.13,276.72,276.72,272.56,272.56,275.84,275.84,275.84,275.84,275.84,275.84,278.35,278.35,278.35,275.2,273.19,273.19,273.19,274.54,274.54,271.91,271.91,271.91,275.16,275.16,269.27,266.94,266.94,265.43,265.43,267.83002,267.83002,267.83002,270.26,270.26,268.57,268.57,268.57,272.71,272.71,272.71,273.18,273.18,271.56,271.56,271.56,266.05,266.05,266.05,268.31,268.31,266.81,266.81,266.81,267.91,267.91,267.91,271.61,271.61,270.61,270.61,270.61,269.59,269.59,269.59,268.37,267.3,267.3,270.96,270.96,270.96,272.47,272.47,269.14,269.14,269.14,270.16,270.16,270.16,264.36,264.36,264.36,271.82,271.82,271.82,265.0,265.0,265.0,268.31,268.31,268.31,266.46,266.46,266.46,262.65,262.65,262.65,265.15,265.15,265.15,259.4,259.4,259.4,275.22,275.22,275.22,283.47,283.47,283.47,280.35,280.35,280.35,280.35,275.24,275.24,275.24,265.91998,265.91998,265.91998,271.01,271.01,271.01,263.31,263.31,263.31,261.46,261.46,261.46,257.78,257.78,257.78,259.23,259.23,259.23,259.23,263.39,263.39,263.39,249.89,249.89,249.89,249.89,241.5,241.5,267.25,267.25,267.25,267.25,267.25,261.66,261.66,261.66,261.66,251.59,251.59,245.42,245.42,245.42,245.42,235.7,235.7,235.7,218.35,218.35,218.35,213.52,213.52,213.52,226.61,226.61,226.61,226.61,226.61,225.22,225.22,225.22,225.22,229.2,229.2,229.2,225.36,231.73,231.73,231.73,231.73,231.73,226.8,226.8,226.8,226.8,231.9,231.9,231.9,231.9,231.34,231.34,231.34,227.57,227.57,227.57,227.57,227.57,237.37,237.37,237.37,237.37,237.37,259.68,259.68,259.68,259.68,259.68,259.68,262.53,262.53,262.53,262.53,262.53,258.23,259.62,259.62,259.62,252.8,252.8,252.8,252.8,243.57,243.57,243.57,243.57
3,284.63,284.63,284.63,284.63,268.27,268.27,268.72998,266.16,266.16,256.44,256.44,274.37,274.37,274.37,274.37,267.95,263.21,263.21,278.57,278.57,278.57,269.66,269.66,270.75,259.89,259.89,265.74,265.74,265.74,247.26,247.26,241.68,241.68,249.81,249.81,269.39,269.39,269.39,277.37,277.37,277.37,276.33002,276.33002,274.83002,274.83002,274.99,274.99,275.9,275.9,275.9,271.55,265.94,265.94,272.18,272.18,272.18,277.58002,277.58002,277.58002,274.39,274.39,276.41998,276.41998,274.97998,274.97998,274.97998,274.61,274.61,273.15,273.15,270.97,270.97,275.99,275.99,275.99,272.88,272.88,272.88,275.66,275.66,276.45,276.45,276.45,275.69,275.69,274.85,274.85,273.35,273.35,275.35,275.35,273.4,271.91,271.91,275.16,275.16,275.16,269.27,269.27,267.85,267.85,267.85,266.72998,266.72998,264.4,264.4,264.4,265.71,265.71,266.66,266.66,266.66,268.57,268.57,268.57,270.57,270.57,269.54,269.54,269.54,264.16,264.16,264.16,263.8,263.8,270.56,270.56,270.56,265.57,265.57,265.57,269.76,270.61,270.61,269.59,269.59,268.37,268.37,268.37,269.05,269.05,269.05,272.47,272.47,272.47,269.97998,269.97998,269.97998,266.39,266.39,266.39,262.28,262.28,265.75,265.75,265.75,265.72,265.72,265.72,265.93,265.93,265.93,264.12,264.12,264.12,266.5,266.5,266.5,263.69,263.69,263.69,265.15,259.4,259.4,259.4,275.22,275.22,275.22,281.35,281.35,281.35,280.71,280.71,280.71,274.59,274.59,274.59,268.2,268.2,268.2,268.2,269.71,269.71,269.71,265.06,265.06,265.06,267.02,267.02,267.02,263.39,263.39,263.39,260.47,260.47,260.47,261.27,261.27,261.27,263.39,249.89,249.89,249.89,249.41,249.41,249.41,249.41,268.64,268.64,268.64,264.82,264.82,264.82,264.82,256.68,256.68,256.68,249.14,249.14,249.14,249.14,234.57,234.57,216.74,216.74,216.74,216.74,216.74,216.74,216.74,225.22,225.22,225.22,225.22,225.22,225.22,225.22,225.22,225.22,229.2,229.2,229.2,229.2,232.06,232.06,232.06,232.06,231.73,231.73,231.73,231.73,233.4,233.4,233.4,233.4,233.4,232.56,232.56,232.56,227.22,227.22,227.22,227.22,240.6,240.6,240.6,240.6,240.6,240.6,263.66998,263.66998,263.66998,263.66998,263.66998,259.68,262.53,262.53,262.53,262.53,258.23,258.23,258.23,258.23,258.23,254.62,254.62,254.62,239.98999,239.98999,239.98999,239.98999
4,283.43,283.43,279.61,279.61,268.27,268.27,268.72998,268.72998,268.72998,280.82,280.82,269.01,260.34,260.34,277.39,277.39,250.6,250.6,272.39,272.39,272.39,271.34,271.34,273.89,273.89,273.89,270.91,252.43,252.43,237.38,237.38,238.01,238.01,244.83,244.83,267.22,267.22,267.22,274.13,274.13,274.13,274.83002,262.25,262.25,271.27,271.27,274.99,274.99,275.9,275.9,271.55,267.99,267.99,267.99,277.58002,277.58002,277.58002,277.58002,277.58002,276.25,276.25,275.94,275.94,275.94,272.44,272.44,276.25,276.25,276.25,272.99,270.09,270.09,274.55,274.55,274.55,274.55,274.39,274.39,273.25,273.25,272.07,272.07,274.08002,274.08002,272.09,272.09,272.09,273.35,273.35,275.35,275.35,275.35,273.4,273.4,270.77,270.77,270.77,270.77,270.77,269.93,269.93,269.93,266.9,266.9,266.9,260.77,260.77,264.22,264.22,264.22,264.93,264.93,264.57,264.57,264.57,264.34,264.34,264.34,263.8,263.8,261.44,261.44,261.44,268.31,268.31,268.31,266.56,270.56,265.57,265.57,265.57,269.76,269.76,269.76,270.78,270.78,270.78,273.39,273.39,273.39,270.33002,270.33002,276.69,276.69,276.69,275.95,275.95,275.95,272.47,272.47,272.47,263.05,263.05,263.05,267.58002,267.58002,267.58002,264.12,264.12,264.12,260.96,260.96,260.96,263.75,263.75,263.75,266.5,266.5,266.5,263.69,263.69,263.69,259.6,259.6,259.6,269.07,269.07,269.07,278.89,278.89,278.89,281.53,281.53,281.53,281.53,275.72998,275.72998,275.72998,271.96,271.96,271.96,268.55,268.55,268.55,265.96,265.96,265.96,265.96,269.22,269.22,263.01,263.01,263.01,258.19,260.47,260.47,260.47,261.27,261.27,261.27,251.4,251.4,251.4,251.4,257.38,257.38,257.38,270.29,270.29,270.29,270.29,264.68,264.68,264.68,264.68,255.78,255.78,255.78,251.20999,251.20999,230.69,230.69,230.69,212.77,212.77,212.77,212.77,219.55,219.55,216.74,216.74,225.22,225.22,225.22,225.22,225.22,228.19,228.19,228.19,228.19,232.06,232.06,232.06,232.06,232.91,232.91,232.91,232.91,238.7,238.7,238.7,238.7,234.52,234.52,234.52,234.52,233.72,233.72,233.72,233.72,228.98,228.98,228.98,228.98,254.09,254.09,254.09,240.6,240.6,240.6,263.66998,263.66998,263.66998,263.66998,263.66998,262.73,262.73,262.73,262.73,262.73,261.55,261.55,261.55,261.55,261.55,253.51,253.51,253.51,253.51,240.79001,240.79001
5,283.43,283.43,283.43,279.61,252.22,252.22,277.97998,277.97998,277.97998,278.57,278.57,281.24,264.2,264.2,257.31,257.31,251.88,251.88,260.62,260.62,260.62,277.14,277.14,277.14,269.18,269.18,276.99,252.43,252.43,240.41,240.41,240.08,240.08,240.08,248.04,248.04,257.18,257.18,261.61,261.61,274.83002,274.83002,262.25,262.25,262.25,271.27,271.27,271.27,271.71,268.94,268.94,268.94,275.08002,275.08002,275.08002,273.46,273.46,276.7,276.7,277.41998,277.41998,277.41998,275.94,275.94,273.62,273.62,274.0,274.0,274.0,275.79,275.79,273.15,273.15,271.59,271.59,272.24,272.24,273.87,273.87,273.87,269.09,269.09,274.08002,274.08002,274.08002,272.09,272.09,273.4,273.4,273.4,272.22998,272.22998,272.39,272.39,272.39,270.6,270.6,268.41,268.41,268.41,264.4,264.4,264.93,264.93,264.93,258.71,258.71,258.71,264.01,264.01,261.37,261.37,261.37,260.82,260.82,257.69,257.69,257.69,257.01,257.01,257.01,255.41,261.44,268.31,268.31,268.31,266.56,266.56,266.56,264.44,264.44,264.44,271.28,271.28,271.62,271.62,271.62,270.96,270.96,270.96,269.97998,269.97998,269.97998,278.31,278.31,278.31,276.71,276.71,276.71,276.41,276.41,270.83002,270.83002,270.83002,270.21,270.21,270.21,261.15,261.15,261.15,259.34,260.96,260.96,263.75,263.75,263.75,268.1,268.1,268.1,264.61,264.61,256.38,256.38,256.38,256.38,266.77,266.77,266.77,266.77,280.35,280.35,280.35,276.35,276.35,276.35,274.61,274.61,274.61,272.41,272.41,272.41,272.41,269.71,269.71,269.71,264.88,264.88,264.88,267.2,269.22,269.22,263.01,263.01,263.01,258.19,258.19,258.19,259.27,259.27,259.27,239.13,239.13,239.13,253.54,253.54,253.54,253.54,253.54,266.22998,266.22998,266.22998,266.22998,263.39,263.39,263.39,258.21,258.21,258.21,258.21,252.86,252.86,228.59,228.59,212.77,212.77,212.77,212.77,219.55,219.55,219.55,219.55,219.55,228.93,228.93,228.93,228.93,233.23999,233.23999,233.23999,233.23999,236.55,236.55,236.55,236.55,235.48,235.48,235.48,235.48,235.48,241.45,241.45,241.45,241.45,237.77,237.77,237.77,237.77,235.62,235.62,235.62,235.62,228.98,228.98,228.98,228.98,254.09,254.09,254.09,254.09,254.09,254.09,262.37,262.37,262.37,262.37,262.37,262.33,262.33,262.33,262.33,262.33,255.3,255.3,255.3,255.3,246.93,246.93,246.93,246.93,246.93,243.28
6,270.41998,274.66998,261.28,261.28,253.20999,253.20999,265.19,265.19,270.41,270.41,270.41,281.76,261.14,261.14,254.09,254.09,254.09,259.97,259.97,265.14,265.14,275.93,275.93,275.93,269.99,269.99,279.27,279.27,270.59,270.59,241.19,241.19,248.95,248.95,256.51,248.04,257.18,257.18,261.61,261.61,261.61,270.29,270.29,264.56,264.56,262.0,262.0,269.6,269.6,269.6,273.21,273.21,273.21,277.14,277.14,276.7,276.7,277.72998,277.72998,277.72998,277.16998,277.16998,276.72,276.72,274.68,274.68,274.68,272.76,272.76,272.29,272.29,272.29,272.6,272.6,274.9,274.9,277.57,272.24,273.87,273.87,269.09,269.09,269.09,273.93,273.93,271.59,271.59,271.59,271.41998,271.41998,271.1,271.1,271.1,272.56,272.56,266.94,266.94,266.94,265.43,265.43,259.37,259.37,259.37,258.91,258.91,256.96,256.96,256.96,258.04,258.04,258.04,257.65,257.65,254.79,254.79,254.79,250.38,257.69,257.01,257.01,257.01,255.41,255.41,255.41,257.41,257.41,257.41,253.37,250.55,250.55,250.55,260.84,260.84,260.84,260.84,270.28,270.28,270.28,266.38,266.38,266.44,266.44,266.44,273.27,273.27,273.27,275.18,275.18,275.18,279.08002,279.08002,279.08002,273.11,273.11,273.11,266.5,270.21,270.21,261.15,261.15,261.15,259.34,259.34,259.34,266.66998,266.66998,266.66998,268.03,268.03,268.03,258.76,258.76,256.79,256.79,256.79,265.69,265.69,265.69,265.69,277.22998,277.22998,277.22998,276.19,276.19,276.19,276.19,275.24,275.24,275.24,273.66,273.66,273.66,272.86,272.86,269.71,264.88,264.88,264.88,264.88,267.2,267.2,261.07,261.07,261.07,261.07,260.66,260.66,260.66,251.76,251.76,240.91,240.91,240.91,240.91,241.77,241.77,241.77,241.77,260.07,260.07,260.07,260.07,265.01,265.01,265.01,265.01,259.86,259.86,259.86,259.86,255.12,228.59,228.59,228.59,211.59,211.59,211.59,211.59,221.9,221.9,221.9,221.9,221.9,232.95999,232.95999,232.95999,232.95999,238.23999,238.23999,238.23999,238.23999,238.23999,241.01,241.01,241.01,241.01,250.70999,250.70999,250.70999,250.70999,246.65,246.65,246.65,239.43,239.43,239.43,237.77,237.77,235.62,235.62,235.62,235.62,235.47,235.47,235.47,235.47,235.47,260.97,260.97,260.97,260.97,260.97,264.59,264.59,264.59,264.59,264.59,260.5,260.5,260.5,260.5,260.5,253.51,253.51,253.51,243.29001,243.29001,243.29001,243.29001,243.29001,252.98999
7,260.66998,260.66998,251.79,251.79,272.66998,272.66998,272.66998,271.63,271.63,267.12,267.12,267.12,277.07,256.83,256.83,263.74,263.74,260.96,260.96,262.44,262.44,277.14,277.14,265.91,265.91,273.89,273.89,273.89,273.89,270.59,258.19,241.19,248.95,248.95,256.51,256.51,253.6,253.6,253.6,259.08,259.08,267.65,267.65,260.59,260.59,268.55,268.55,268.55,272.02,272.02,272.02,272.18,272.18,274.39,274.39,274.39,275.22998,275.22998,274.08002,274.08002,275.49,275.49,272.99,272.99,272.99,273.46,270.13,270.13,270.13,270.78,270.78,272.88,272.88,272.6,274.9,274.9,274.9,277.57,277.57,275.05,275.05,271.91,271.91,275.99,275.99,275.99,274.22998,274.22998,272.87,272.87,270.77,270.77,270.77,267.34,267.34,260.48,260.48,260.48,258.19,258.19,258.19,255.15,255.15,252.73,252.73,252.73,251.08,251.08,250.5,250.5,250.5,251.3,257.65,257.65,254.79,254.79,250.38,250.38,250.38,254.98999,254.98999,254.98999,252.04,247.66,247.66,247.66,247.98,247.98,247.98,251.55,251.55,251.11,251.11,251.11,266.72998,266.72998,266.72998,266.72998,258.97,258.97,258.97,265.28,265.28,265.28,268.21,268.21,268.21,277.3,277.3,279.24,279.24,279.08002,273.11,273.11,273.11,266.5,266.5,266.5,260.16,260.16,260.16,264.47,264.47,264.47,263.2,263.2,263.2,268.03,268.03,256.16998,256.16998,256.16998,257.71,257.71,257.71,257.71,264.79,264.79,264.79,264.79,271.47,271.47,271.47,276.51,276.51,276.51,275.24,275.24,275.24,273.66,273.66,273.66,273.66,272.86,272.86,272.86,263.39,263.39,263.39,263.95,263.95,263.95,258.83,258.83,258.83,260.47,260.47,260.47,241.5,241.5,241.5,232.39,232.39,232.39,232.39,238.16,238.16,238.16,250.73999,250.73999,250.73999,250.73999,250.73999,267.24,267.24,267.24,259.86,259.86,259.86,259.86,255.12,255.12,228.93,228.93,228.93,212.33,212.33,212.33,212.33,224.86,224.86,224.86,224.86,224.86,238.20999,238.20999,238.20999,238.20999,238.20999,240.31,240.31,240.31,240.31,247.78,247.78,247.78,247.78,247.53,247.53,247.53,247.53,253.45999,246.65,246.65,239.43,239.43,239.43,239.43,238.67,238.67,238.67,238.67,238.67,248.42,248.42,248.42,248.42,248.42,259.05,259.05,259.05,259.05,259.05,262.73,262.73,262.73,262.73,262.73,258.23,258.23,258.23,258.23,252.7,252.7,252.7,252.7,242.9,242.9,243.29001,243.29001,243.29001
8,265.53,265.53,273.55,273.55,273.55,273.55,281.76,281.76,280.15,280.15,270.84,261.39,261.39,258.98,258.98,263.91,263.91,256.66998,256.66998,256.66998,256.66998,256.28,256.28,256.28,260.44,260.44,273.89,273.89,273.89,270.59,258.19,258.19,248.04,248.04,248.04,252.79,252.79,256.32,256.32,265.69,265.69,265.69,265.69,255.23999,255.23999,255.23999,272.18,272.18,272.18,272.5,272.5,271.49,271.49,271.49,271.71,271.71,272.74,272.74,272.18,272.18,272.83002,272.83002,270.13,270.13,273.46,273.46,273.46,270.13,270.13,270.78,270.78,272.88,272.88,272.88,272.88,273.41,271.59,271.59,271.59,268.39,268.39,262.06,262.06,271.59,271.59,271.59,269.93,269.93,271.41998,271.41998,271.41998,266.6,266.6,263.72,263.72,263.72,263.36,263.36,259.16998,259.16998,259.16998,256.35,256.35,256.35,253.59,253.59,251.3,251.08,251.08,250.5,250.5,251.3,251.3,251.3,249.8,249.8,248.12,248.12,254.69,254.69,254.69,254.69,255.41,255.41,255.41,251.27,251.27,253.06,253.06,253.06,254.94,254.94,251.55,251.55,251.55,263.29,263.29,263.29,256.24,256.24,256.24,258.4,258.4,258.4,262.47,262.47,268.21,277.3,277.3,277.3,279.24,279.24,279.24,276.0,276.0,276.0,267.93,267.93,267.93,258.7,258.7,258.7,260.55,260.55,260.55,261.15,261.15,261.15,262.76,262.76,256.38,256.38,256.38,258.51,258.51,258.51,259.35,259.35,259.35,270.21,270.21,270.21,270.21,274.77,276.51,276.51,276.51,275.24,275.24,275.24,273.34,273.34,273.34,275.81,275.81,262.43,262.43,262.43,262.43,262.62,262.62,262.62,262.82,262.82,262.82,262.82,259.66998,259.66998,239.7,239.7,239.7,239.7,228.70999,228.70999,228.70999,241.22,241.22,241.22,241.22,250.73999,250.73999,250.73999,250.73999,267.24,267.24,267.24,267.24,257.36,257.36,257.36,249.63,249.63,249.63,231.44,231.44,215.56,215.56,215.56,215.56,228.93,228.93,228.93,228.93,228.93,240.31,240.31,240.31,240.31,240.31,243.11,243.11,243.11,243.11,254.34,254.34,254.34,247.78,247.53,247.53,247.53,247.53,247.53,253.45999,253.45999,253.45999,242.95,242.95,242.95,242.95,240.17,240.17,240.17,240.17,240.17,249.39,249.39,249.39,249.39,249.39,259.89,259.89,259.89,259.89,259.89,262.53,262.53,262.53,262.53,254.39,254.39,254.39,254.39,254.39,252.7,252.7,252.7,252.7,242.9,242.9,242.9,242.9
9,283.29,283.29,274.31,274.31,273.86,273.86,280.71,280.71,281.24,281.24,279.0,253.69,253.69,247.97,247.97,256.63,256.63,253.25,253.25,253.25,256.28,256.66998,256.28,256.28,260.44,260.44,257.9,257.9,260.07,260.07,249.16,249.16,249.16,248.04,248.04,260.12,260.12,261.61,261.61,266.63,266.63,266.63,264.56,264.56,265.41998,265.41998,273.46,273.46,273.46,270.63,270.63,268.94,268.94,270.69,270.69,268.72,268.72,268.72,268.57,268.57,267.69,267.69,270.13,270.13,270.13,273.46,273.46,270.97,270.97,267.53,267.53,267.53,270.1,270.1,269.93,269.93,270.26,270.26,270.26,266.03,266.03,264.34,264.34,264.34,267.16998,267.16998,263.76,263.76,263.76,268.75,268.75,268.02,268.02,268.02,263.72,263.72,266.94,266.94,266.94,261.77,261.77,257.25,256.35,256.35,253.59,253.59,251.3,251.3,247.5,247.5,247.5,245.31,245.31,246.29,246.29,246.29,247.47,247.47,247.47,256.31,256.31,256.31,259.99,259.99,259.99,256.55,256.55,256.55,256.35,256.35,256.35,255.45,251.55,251.55,251.55,258.51,258.51,258.51,258.51,259.64,259.64,256.24,258.4,258.4,258.4,262.47,262.47,277.15,277.15,277.15,276.56,276.56,276.56,272.65,272.65,272.65,265.72,265.72,256.5,256.5,256.5,251.8,251.8,251.8,258.5,258.5,258.5,258.56,258.56,258.56,256.84,256.84,256.84,256.38,256.38,256.38,256.38,257.91,259.35,259.35,270.21,270.21,270.21,270.21,274.77,274.77,274.77,272.57,272.57,272.57,271.34,271.34,271.34,271.34,274.99,274.99,261.05,261.05,261.05,259.43,259.43,259.43,259.43,251.15,251.15,251.15,257.16998,257.16998,257.16998,233.57,233.57,233.57,232.39,232.39,228.70999,228.70999,241.22,241.22,241.22,244.39,244.39,244.39,244.39,265.52,265.52,265.52,265.52,265.52,253.09,253.09,237.84,237.84,237.84,230.78,230.78,230.78,230.78,222.28,222.28,222.28,222.28,233.48999,233.48999,233.48999,233.48999,240.6,240.6,240.6,240.6,240.6,249.52,243.11,243.11,243.11,254.34,254.34,254.34,254.34,250.23,250.23,250.23,250.23,249.14,249.14,249.14,249.14,243.23,243.23,243.23,243.23,242.95,242.95,242.95,242.95,251.64,251.64,251.64,251.64,251.64,251.64,257.46,257.46,257.46,257.46,261.58,261.58,261.58,262.53,262.53,254.39,254.39,254.39,254.39,254.39,251.63,251.63,251.63,237.23999,237.23999,237.23999,237.23999
