,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
0,205.71,205.25,204.67,204.67,205.25,205.71,204.2,204.2,210.11,208.19,208.19,208.19,212.36,212.36,213.21,217.05,217.05,215.95,214.41,214.41,217.05,220.16,220.16,232.11,230.01,230.01,237.02,231.27,231.27,225.43,230.99,230.99,225.74,227.07,227.07,223.06,221.37,221.37,226.45999,232.16,232.16,235.32,235.32,235.32,230.69,226.05,226.05,233.62,233.62,232.2,233.07,233.07,235.58,246.18,246.18,259.83,260.51,263.98,263.98,280.63,280.22,280.22,277.99,277.99,280.95,282.8,282.8,278.81,278.38,278.38,277.56,276.76,276.76,276.06,276.06,277.05,277.45,277.45,272.59,275.06,275.06,277.88,277.88,274.76,269.61,269.61,261.31,261.31,267.47,266.19,249.64,263.04,263.04,229.26,229.26,254.82,242.93,242.93,219.20999,219.20999,225.88,240.45,240.45,220.64,208.76,212.94,212.94,248.61,248.61,248.61,254.38,254.38,253.68,258.06,258.06,258.1,258.1,252.82,248.82,220.92,220.92,222.85,227.92,227.92,227.92,232.72,228.23,233.93,233.93,257.63,259.2,259.2,261.94,261.94,270.22998,270.22998,270.22998,273.52,270.07,270.07,267.12,267.12,266.49,266.49,269.3,269.3,272.01,274.55,260.25,260.25,245.86,245.86,250.17,250.17,254.47,252.73,252.73,273.72,273.72,273.72,272.2,253.06,253.06,255.84,255.84,268.2,268.2,268.2,243.67,243.67,255.65,255.65,263.79,263.79,282.16998,282.16998,282.16998,282.16998,282.16998,282.16998,282.16998,280.64,281.13,274.18,274.18,283.29,282.44,282.44,288.34,288.34,288.34,289.72,289.72,285.75,285.75,290.33,290.33,287.46,287.46,290.71,290.71,291.32,282.01,282.01,289.9,290.41,290.41,292.35,292.35,292.59,292.59,292.47,292.47,292.35,292.47,292.47,292.47,292.1,292.1,292.02,292.02,292.02,280.82,280.82,280.82,288.14,288.14,290.49,290.49,292.86,292.86,292.21,292.21,292.09,292.09,292.09,292.21,292.21,291.77,291.77,289.12,289.12,292.58,292.58,291.27,291.27,289.99,289.99,289.99,275.56,275.56,287.26,287.26,289.61,289.61,288.61,288.61,281.51,281.51,281.63,284.52,284.52,291.5,291.5,291.74,291.74,291.18,291.18,291.18,292.44,292.44,292.44,292.44,292.44,292.44,292.44,291.32,291.32,292.34,292.34,292.46,292.46,292.46,291.07,291.07,290.82,290.82,280.32,280.32,279.74,279.74,275.71,275.71,285.22998,285.22998,285.22998,285.22998,285.22998,285.22998,285.22998,284.83002
1,204.2,203.16,203.64,204.67,205.25,205.71,205.71,204.2,205.25,205.25,210.11,213.21,213.21,213.21,213.6,213.6,217.05,217.05,217.05,221.15,226.86,226.86,228.22,233.51,233.51,237.70999,239.98999,225.43,225.43,224.38,224.38,223.70999,227.07,227.07,227.07,223.06,223.06,221.37,226.45999,226.45999,228.8,233.94,233.94,237.51,233.07,233.07,223.4,227.32,227.32,231.31,239.62,239.62,245.27,253.64,253.64,274.86,259.83,259.83,277.99,274.71,274.71,277.01,272.84,272.84,277.84,271.22998,282.8,278.81,278.81,278.38,276.87,276.87,272.18,273.2,273.2,278.69,278.69,279.63,279.77,279.77,276.06,278.41,278.41,273.61,273.61,270.83002,270.57,270.57,269.34,269.34,266.35,264.06,264.06,249.86,229.26,254.82,254.82,242.93,218.85,218.85,220.64,220.64,232.62,248.39,248.39,223.51,223.51,250.33,268.12,268.12,259.65,259.65,267.8,267.8,267.8,261.19,261.19,259.93,259.93,239.48,228.83,222.85,222.85,227.92,227.92,227.92,232.72,230.92,230.92,248.55,248.55,254.78,254.78,264.97998,271.99,271.99,260.97,260.97,263.45,263.45,260.79,260.79,260.79,266.11,266.11,266.91,266.91,265.65,265.65,255.0,245.86,245.86,250.17,250.17,263.33,263.33,255.8,255.8,268.36,268.36,259.69,252.22,252.22,272.04,272.04,260.16,260.16,259.79,259.79,248.72,248.72,250.51,250.51,270.24,270.24,283.29,283.29,284.2,282.16998,282.16998,282.16998,280.64,280.64,279.16998,279.16998,280.12,280.12,283.14,283.14,288.47,288.47,290.46,290.46,287.46,287.46,290.33,290.33,287.08002,287.08002,290.71,290.71,290.82,290.82,282.01,282.01,290.28,290.28,291.25,291.25,292.59,292.59,292.47,292.47,292.35,292.35,292.22,292.22,292.27,292.27,292.15,292.15,287.25,287.25,274.68,274.68,287.02,287.02,277.36,273.47998,289.79,289.41,289.41,287.75,287.75,291.97,292.09,292.21,292.21,291.77,291.77,291.97,291.97,291.97,291.64,291.64,292.46,292.46,288.0,288.0,289.49,289.49,290.8,290.8,290.8,290.8,283.74,291.36,281.51,281.51,281.51,281.63,281.63,291.5,291.5,291.5,291.74,291.74,290.3,290.3,292.32,292.32,292.32,293.16,293.16,293.08,293.08,292.59,292.59,292.59,292.13,292.13,292.26,292.26,291.39,291.39,291.39,290.82,278.22,278.22,278.85,278.85,278.85,278.85,278.85,290.38,290.38,290.38,290.38,289.61,289.61,285.37
2,204.2,203.16,203.16,203.64,205.25,205.25,208.19,205.71,205.71,208.19,209.75,213.21,213.21,213.6,213.6,213.6,215.19,222.77,222.77,230.29,228.69,228.69,234.32,237.95999,237.95999,239.26,233.02,233.02,227.07,224.38,224.38,223.70999,227.07,227.07,225.01,224.38,224.38,219.64,225.74,225.74,228.27,231.31,231.31,237.51,237.51,234.73999,223.4,223.4,237.51,244.59,244.59,236.94,241.9,241.9,272.99,255.45,274.86,274.86,276.28,276.43,276.43,277.01,277.01,272.84,277.84,277.84,271.22998,277.01,277.01,277.01,277.01,261.49,277.2,277.2,277.88,278.16998,278.16998,280.35,280.35,277.45,275.77,275.77,274.91,271.87,271.87,271.61,271.61,270.09,270.83002,270.83002,266.35,266.35,264.06,263.2,249.86,249.86,244.79,242.44,242.44,230.47,224.87,224.87,232.06,232.06,240.94,240.94,245.91,272.47998,272.47998,260.8,260.8,260.5,262.18,262.18,262.05,262.05,263.25,263.25,259.93,239.48,239.48,228.83,221.39,236.06,236.06,236.06,235.26,235.26,234.07,240.17,240.17,256.29,256.29,271.44,271.44,271.44,273.66998,273.66998,266.15,271.12,265.83002,265.83002,258.69,258.69,262.33,266.91,266.91,265.65,265.65,255.0,255.0,240.73999,240.73999,253.72,258.04,258.04,269.46,269.46,257.88,257.88,258.64,258.64,255.84,255.84,262.36,262.36,264.91,258.07,258.07,252.85,252.85,246.35,250.51,270.24,270.24,270.24,283.29,283.29,285.31,280.21,280.21,280.21,278.47,278.47,282.65,280.07,280.07,280.97,280.97,287.2,287.2,287.2,290.21,290.21,289.72,289.72,288.21,288.21,288.08002,288.08002,289.72,289.72,291.25,291.25,288.55,290.28,290.28,290.28,291.25,291.25,291.5,291.5,292.47,292.47,291.97,291.97,292.35,292.35,289.79,283.71,283.71,279.34,279.34,279.34,283.58002,283.58002,286.1,286.1,277.36,273.47998,273.47998,289.41,287.75,287.75,291.97,291.97,291.97,291.77,291.77,292.34,292.34,292.46,292.46,292.21,292.21,292.55,292.55,290.16998,290.16998,290.16998,291.61,291.61,288.36,288.36,284.91998,284.91998,283.74,283.74,278.47998,278.47998,289.87,289.87,289.87,289.87,289.87,291.99,291.99,291.99,292.69,292.69,293.4,293.4,293.28,293.28,293.08,293.08,293.08,291.76,291.76,292.34,292.34,292.34,292.26,292.26,291.39,291.39,286.35,276.47,276.47,276.47,277.32,277.32,286.82,286.82,290.5,290.5,290.5,290.5,290.0,290.0,290.0
3,203.64,201.72,201.72,203.64,210.53,210.53,206.74,206.29,206.29,208.19,211.08,211.08,214.03,212.36,212.36,215.57,220.16,220.16,229.72,234.83,234.83,229.27,236.34,236.34,237.27,239.26,239.26,233.02,227.07,227.07,224.38,224.7,224.7,225.43,223.70999,223.70999,225.43,222.70999,222.70999,228.09,240.11,240.11,242.43,242.66,242.66,235.58,237.25,237.25,266.89,251.94,251.94,237.51,237.51,255.45,255.45,272.99,272.99,274.86,276.28,276.28,276.43,279.47,279.47,278.09,278.09,275.87,273.85,273.85,263.81,266.45,266.45,271.71,280.05,280.05,280.05,280.05,280.63,278.84,278.84,277.3,277.3,275.77,273.76,273.76,273.88,270.09,271.61,270.09,270.09,270.83002,268.25,268.25,270.83002,270.83002,260.13,260.13,245.25,245.25,235.94,241.45999,241.45999,247.25,247.25,241.18,245.01,245.01,267.16998,267.16998,267.16998,262.18,262.18,263.69,263.69,262.18,262.05,262.05,263.6,263.6,263.25,243.73999,223.95,223.95,228.83,228.83,228.83,242.37,241.89,241.89,229.69,229.69,246.41,246.41,263.96,267.62,267.62,262.6,262.6,272.53,272.53,272.53,261.04,265.83002,258.69,258.69,262.33,262.33,253.72,253.72,250.81,251.47,251.47,242.79001,242.79001,248.16,248.16,251.68,251.68,263.95,263.95,258.83,272.91998,272.91998,257.39,257.39,259.98,259.98,256.91998,256.91998,258.07,258.07,252.85,252.85,246.35,246.12,246.12,277.6,277.6,277.6,283.56,283.56,280.21,280.21,278.04,278.04,279.55,279.55,281.71,281.71,281.71,281.71,284.91998,284.91998,290.08,290.08,290.21,290.21,289.22,289.22,289.22,289.22,288.84,289.72,291.25,291.25,288.55,288.55,290.03,290.03,288.29,288.29,289.81,289.81,292.47,292.47,292.35,292.35,292.02,292.02,291.69,291.69,282.66,283.71,279.34,279.34,283.58002,273.5,273.5,272.87,272.87,274.97,274.97,274.97,291.89,291.89,291.89,291.89,291.89,291.97,291.97,292.46,292.46,292.71,292.71,292.71,292.91998,292.91998,292.55,292.55,292.31,292.31,286.02,286.02,288.36,288.36,280.93,280.93,283.74,283.74,283.74,280.07,280.07,284.38,284.38,284.38,291.87,291.87,292.69,292.69,292.44,292.44,293.06,293.06,293.06,293.16,293.16,292.96,292.96,292.59,291.76,291.76,292.34,292.34,291.32,291.32,291.32,291.07,291.07,280.6,274.93,274.93,282.87,282.87,282.87,282.87,288.47998,277.47,288.47998,286.21,286.21,284.87,284.87
4,200.23,200.23,203.16,208.19,208.19,208.19,204.2,204.2,208.75,209.75,209.75,213.21,212.81,213.21,213.21,217.05,221.15,221.15,233.23999,232.66,232.66,229.27,236.34,236.34,237.27,230.99,230.99,233.02,230.07,230.07,226.45999,225.01,225.01,228.09,226.04,226.04,225.01,225.01,224.7,236.68,236.68,240.64,247.89,247.89,244.81,249.34,249.34,261.56,261.56,266.89,266.89,237.51,237.51,264.49,255.45,272.99,272.99,275.43,275.43,277.27,276.72,276.72,279.94,282.49,282.49,282.08002,272.53,272.53,273.14,273.14,263.56,261.32,261.32,272.43,280.21,280.21,279.91,279.91,275.21,274.46,274.46,274.21,273.76,273.76,273.88,273.88,270.09,274.03,274.03,271.14,271.14,270.83002,276.45,276.45,269.02,269.02,266.52,267.64,254.08,254.08,249.04,254.18,254.18,264.7,264.7,264.7,271.77,281.26,281.26,280.72998,262.18,263.69,263.69,263.69,265.45,263.08,270.37,270.37,263.43,263.43,247.47,247.47,227.31,228.23,228.23,230.61,230.61,242.76,242.76,231.87,246.78,246.78,258.64,258.64,270.65,270.65,270.65,265.66,272.53,272.53,271.99,261.04,261.04,259.7,258.88,258.88,251.02,251.02,248.82,248.82,249.5,249.5,253.51,253.51,247.93,246.9,246.9,263.43,263.43,273.39,273.39,267.08002,267.08002,249.4,257.39,259.98,256.91998,256.91998,254.54,254.54,249.62,249.62,243.48999,243.48999,257.7,257.7,283.69,283.69,283.69,269.91998,269.91998,270.66,257.03,276.28,276.28,276.28,281.85,281.85,281.06,281.06,286.34,286.34,286.34,289.47,289.47,289.34,289.34,289.22,289.22,289.22,289.22,288.84,288.84,290.53,290.53,287.15,287.15,288.91998,288.91998,285.81,285.81,288.68,288.68,291.97,291.97,292.1,292.1,290.36,290.36,290.94,282.66,282.66,280.25,280.25,273.03,273.03,273.86,273.86,273.81,273.81,281.46,281.46,281.46,292.34,292.34,292.34,292.09,292.09,292.09,292.09,292.34,292.34,292.58,292.58,292.43,292.43,292.8,292.8,292.55,292.31,292.31,286.02,286.02,292.06,273.78,273.78,281.51,281.51,281.51,280.91,274.36,274.36,274.36,287.72,291.06,291.06,291.25,291.25,291.25,292.2,292.2,292.69,292.69,293.16,293.16,293.16,292.96,292.96,292.59,292.59,292.34,292.34,292.34,290.82,290.82,290.13,276.62,276.62,276.62,280.46,280.46,280.46,283.72998,282.87,290.0,290.0,277.47,277.47,286.21,282.59,282.59
5,202.68,200.23,200.75,200.75,205.71,201.72,208.19,208.19,208.81,212.36,212.36,212.81,212.81,212.81,217.77,222.77,217.05,221.15,233.23999,233.23999,232.66,232.11,232.11,236.78,231.88,231.88,230.35,230.07,230.07,230.99,228.38,228.38,226.45999,230.35,230.35,231.27,227.07,227.07,230.69,242.43,242.43,251.94,247.89,247.89,253.64,262.76,263.28,263.28,261.56,261.56,266.89,258.38,251.54,264.77,264.49,264.49,271.81,270.76,270.76,275.87,277.56,277.56,278.81,278.81,281.22998,282.08002,282.08002,280.08002,280.63,280.63,270.83002,270.83002,264.4,275.33002,275.33002,280.63,278.02,279.91,275.21,275.21,274.46,274.21,274.21,274.91,275.32,275.32,265.71,265.71,272.33002,269.34,269.34,273.72998,273.72998,278.43,275.47,275.47,274.03,274.03,270.72998,271.15,271.15,270.89,270.89,264.87,269.35,269.35,271.77,271.77,281.26,280.72998,280.72998,267.96,267.96,278.4,275.95,275.95,274.94,274.94,268.53,257.34,245.32,245.32,229.13,229.13,226.04,232.15,232.15,246.41,246.41,232.26,232.26,249.44,260.97,258.64,270.65,270.65,270.65,265.66,265.66,269.47998,269.47998,258.69,258.69,259.51,259.51,258.41998,258.41998,258.88,258.88,254.67,259.51,259.51,241.54001,241.54001,250.38,250.38,249.62,249.62,254.54,268.69,268.69,267.08002,267.08002,249.4,249.4,253.61,253.61,260.35,260.35,261.36,261.36,252.98,252.98,246.35,277.89,277.89,277.89,277.61,277.61,279.55,250.01,250.01,268.68,268.68,277.68,277.68,277.68,281.85,281.85,281.06,281.06,285.35,286.34,289.47,289.47,289.34,289.34,287.08002,287.08002,289.6,289.6,289.43,289.43,290.16,290.16,286.66998,286.66998,288.68,288.68,288.41998,288.41998,288.55,288.55,290.78,290.78,291.56,291.56,291.19,290.36,290.94,290.94,276.99,276.99,277.51,277.51,274.02,274.02,276.39,276.39,280.28,280.28,282.81,282.81,282.81,288.88,288.88,291.39,291.39,292.34,292.34,291.52,291.52,291.52,292.09,292.58,292.43,292.43,292.8,292.8,292.8,292.8,286.61,286.61,286.61,270.0,270.0,270.0,271.95,271.95,289.49,289.49,289.49,289.49,289.49,289.49,289.49,289.49,286.12,286.12,292.2,292.2,292.2,292.69,292.69,292.83,292.83,292.34,292.34,292.34,291.39,291.39,292.13,292.13,291.19,291.19,291.19,289.62,289.62,276.62,280.46,280.46,280.46,280.46,283.72998,276.76,276.76,276.76,290.0,281.03,272.85,272.85
6,202.19,205.71,205.71,205.71,199.74,203.64,203.64,206.74,206.8,206.8,213.21,213.6,212.81,212.81,217.77,217.77,222.77,229.72,229.72,236.78,230.58,230.58,235.82,236.0,236.0,234.95,233.57,233.57,230.99,231.27,231.27,230.99,230.64,230.64,229.38,227.07,227.07,228.09,236.68,236.68,243.13,240.11,251.94,247.89,253.64,253.64,262.76,263.28,255.45,255.45,268.94,268.78,268.78,264.77,264.77,272.53,272.11,272.11,269.26,272.22,272.22,279.32,280.63,280.63,281.64,281.64,281.36,281.81,281.81,280.91,271.29,271.29,259.4,264.4,275.33002,280.63,280.63,278.02,275.47,275.47,275.62,275.62,274.46,276.69,276.69,277.79,270.83002,270.83002,275.56,275.56,276.54,279.0,279.0,278.36,278.36,279.29,280.47,280.47,282.34,282.34,281.81,270.89,270.89,264.87,264.87,269.35,283.8,283.8,277.97,277.97,280.19,278.55,278.55,274.99,274.99,277.97,277.97,262.72,262.72,248.15,248.15,227.0,231.78,231.78,246.18,246.18,253.82,253.82,246.41,232.26,232.26,249.44,249.44,260.97,260.97,264.97998,264.97998,264.97998,255.7,255.7,262.41998,262.41998,255.8,255.8,262.22,261.24,261.24,249.5,249.5,258.41998,258.41998,234.48,234.48,242.79001,256.91998,250.38,249.62,249.62,254.54,254.54,268.69,268.69,256.72,256.72,251.59,248.25,248.25,264.74,264.74,271.14,271.14,256.64,256.64,255.95999,255.95999,283.29,283.29,266.57,266.57,276.13,276.13,254.34,268.68,268.68,277.68,277.68,277.68,281.25,281.25,279.49,279.49,282.87,282.87,285.35,287.08002,287.08002,288.59,288.59,286.34,286.34,288.96,288.96,289.05,289.05,287.66998,287.66998,287.41,287.41,287.8,287.8,285.68,285.68,287.66998,287.66998,290.78,290.78,291.56,291.56,291.19,281.76,281.76,290.49,274.33002,274.33002,274.33002,273.03,273.03,270.69,270.69,271.5,271.5,276.66,276.66,276.66,287.62,287.62,287.62,286.47998,286.47998,292.09,292.34,291.52,291.52,292.09,292.09,292.8,292.8,292.68,292.68,283.39,283.39,292.55,292.8,292.8,290.93,290.93,271.95,271.95,271.95,285.86,285.86,285.86,285.86,284.88,275.46,275.46,289.49,289.49,286.12,286.12,292.44,292.44,291.87,291.87,291.87,292.26,292.26,291.89,291.89,286.49,286.49,286.49,291.51,291.51,290.0,290.0,288.22998,288.22998,288.22998,290.25,274.61,274.61,274.61,274.61,274.61,272.37,272.37,276.01,276.01,276.01,270.76
7,210.53,214.33,214.33,205.25,202.68,202.68,202.68,206.74,206.8,206.8,213.21,213.6,213.6,214.8,218.12,218.12,223.42,228.22,228.22,233.51,231.83,231.83,237.03,235.73999,235.73999,234.67,233.02,233.02,231.88,230.64,230.64,235.73999,234.67,234.67,226.04,227.49,227.49,230.41,236.68,236.68,243.13,243.13,240.11,250.65,250.65,267.05,262.59,262.76,262.76,257.83,271.82,271.82,268.16998,266.58002,266.58002,268.46,271.96,271.96,262.46,262.46,274.86,279.32,279.32,268.18,277.27,277.27,281.5,281.75,281.75,280.91,280.91,271.29,259.4,259.4,280.77,279.12,279.12,278.26,278.26,276.47,277.74,277.74,278.16998,278.16998,279.49,276.54,276.54,270.72998,273.64,273.64,280.05,280.05,280.89,276.97998,276.97998,278.58002,278.58002,280.47,282.34,282.34,281.81,281.81,277.68,273.94,273.94,283.94,283.94,279.02,283.8,283.8,283.4,283.4,281.8,279.62,279.62,271.26,271.26,270.79,242.83,252.04,252.04,250.78,250.78,250.34,231.78,246.18,253.82,253.82,239.57,239.57,235.48,235.48,247.67,263.28,263.28,269.16,269.16,261.22,261.22,250.31,262.33,262.33,262.51,262.51,270.54,270.54,253.31,253.31,254.07,250.81,250.81,234.48,234.48,242.79001,242.79001,256.91998,256.91998,248.48999,254.02,254.02,259.69,259.69,249.83,249.83,250.51,250.51,246.35,246.35,255.65,255.65,255.76,255.76,257.7,262.88,262.88,265.62,265.62,266.57,266.57,276.13,276.13,254.34,254.34,277.32,277.32,277.32,280.36,280.36,276.0,276.0,276.2,276.2,281.11,281.11,286.34,286.34,288.47,288.47,286.95,286.95,287.41,287.41,290.41,290.41,286.66998,286.66998,286.93,286.93,287.66998,287.66998,285.68,285.68,287.66998,287.66998,288.68,288.68,289.79,289.79,291.32,291.32,289.41,289.41,289.41,289.41,274.64,273.65,273.65,272.31,272.31,271.5,271.5,276.66,276.66,276.66,276.66,287.62,287.62,286.47998,286.47998,292.09,292.09,291.89,291.89,291.89,292.8,292.8,292.8,292.8,288.36,288.36,281.51,281.51,292.55,292.55,292.55,289.36,289.36,291.49,291.49,290.93,285.86,285.86,285.86,277.99,277.99,272.11,272.11,290.3,290.3,290.3,290.3,291.25,291.25,291.76,291.76,292.34,292.34,292.34,291.76,291.76,290.94,290.94,291.51,291.51,291.51,290.0,290.0,288.22998,288.22998,290.25,271.55,271.55,271.55,268.81,268.81,268.3,268.3,268.3,270.55,270.55,272.4
8,225.65,218.02,218.02,205.25,202.68,202.68,202.68,206.34,206.34,214.03,214.8,214.8,214.8,220.16,220.16,222.77,223.1,223.1,226.55,230.58,230.58,236.78,239.26,239.26,238.02,235.73999,235.73999,233.57,235.73999,235.73999,237.53,242.69,242.69,234.67,226.04,226.04,227.49,230.41,230.41,237.25,251.06,251.06,253.7,266.25,267.05,267.05,267.05,269.71,269.71,264.6,264.6,270.3,271.82,271.82,263.14,262.62,262.62,264.15,264.49,264.49,274.71,264.97998,264.97998,275.01,268.18,277.27,281.5,281.5,281.75,282.04,282.04,265.87,265.87,265.22998,275.62,275.62,281.06,280.93,280.93,278.16998,278.16998,280.35,280.33002,280.33002,281.03,281.03,275.16998,272.02,272.02,278.58002,279.15,279.15,278.36,280.89,276.97998,278.58002,278.58002,282.47,282.47,282.34,282.75,282.75,282.75,282.75,274.76,281.66,281.66,281.66,281.66,281.66,281.66,281.66,281.66,281.66,281.66,281.66,279.02,268.53,243.98,243.98,252.04,250.78,250.78,250.34,250.34,233.66,233.66,235.04001,249.22,249.22,235.75,235.75,254.62,254.62,264.13,272.84,272.84,261.58,261.58,260.24,260.24,271.12,271.12,271.12,270.22,266.79,260.69,253.31,254.07,254.07,250.81,250.81,250.6,255.91,255.91,263.43,263.43,255.65,255.65,266.8,266.8,250.26,250.26,263.34,248.25,248.25,255.84,255.84,249.83,249.83,256.64,256.64,253.6,257.7,262.88,262.88,265.62,265.62,247.97,247.97,262.88,262.88,251.31,283.14,283.14,283.14,281.53,281.53,277.68,277.68,277.94,277.94,280.97,280.97,287.2,287.2,287.2,287.72,287.72,288.21,288.21,287.91,287.91,290.66,290.66,286.66998,286.66998,286.93,286.93,287.66998,287.66998,287.15,282.01,282.01,284.16,285.1,285.1,287.64,287.64,291.07,291.07,290.94,276.69,276.69,272.34,273.65,273.65,273.65,272.31,272.31,271.34,271.34,273.95,273.95,282.95,282.95,282.95,287.36,290.7,290.7,292.21,292.21,290.07,290.07,292.91998,292.91998,292.68,292.68,292.68,291.49,291.49,281.51,281.51,290.16998,290.16998,292.8,289.36,291.49,291.49,291.49,290.93,290.93,291.62,291.62,280.77,272.91,272.91,290.93,290.93,290.93,290.93,291.18,291.18,292.34,292.34,292.34,292.01,292.01,291.51,291.51,287.84,290.94,290.94,291.51,291.51,291.19,291.19,291.19,291.32,291.32,290.38,269.36,269.36,269.36,267.0,267.0,267.0,267.0,267.0,270.55,270.55
9,225.65,225.65,218.02,215.48,215.48,213.13,211.96,211.96,212.81,213.6,213.6,215.57,214.8,214.8,222.45,224.08,222.12,222.12,225.16,230.58,230.58,241.47,235.73999,235.73999,238.02,236.26,236.26,236.77,240.23,235.73999,237.53,242.69,242.69,248.83,248.83,230.64,234.4,234.4,244.81,250.86,250.86,261.91,256.21,266.25,266.25,264.28,267.36,267.36,268.3,264.43,253.89,253.91,262.79,262.79,256.79,256.79,266.75,268.34,268.34,270.6,274.71,274.71,264.97998,275.01,275.01,277.01,277.01,274.41,280.63,280.63,276.21,263.39,263.39,273.45,273.45,279.77,279.2,279.2,282.45,280.07,280.07,278.55,278.55,279.77,280.89,280.89,278.22,278.22,272.02,278.58002,278.58002,279.15,278.36,278.36,279.49,279.49,282.25,282.06,282.06,284.47,284.47,284.47,275.41998,275.41998,287.32,287.32,287.32,287.32,284.34,284.34,287.68,287.32,287.32,284.59,282.19,282.19,279.02,279.02,243.98,243.98,260.2,260.2,252.45,252.45,245.09,226.55,226.55,240.17,240.17,254.97,254.97,234.07,260.18,260.18,259.63,259.63,270.22998,270.22998,270.22998,267.12,266.45,266.45,273.57,271.12,270.22,270.22,266.79,260.69,254.47,254.47,245.26,245.26,251.68,251.68,249.4,249.4,264.3,264.3,262.81,256.72,256.72,261.82,261.82,249.15,249.15,252.22,252.22,251.8,251.8,249.83,249.83,256.64,253.6,253.6,252.16,252.16,247.28,247.28,253.94,253.94,253.94,253.94,262.7,262.7,278.38,278.38,278.38,278.38,278.38,278.38,278.38,279.49,279.49,286.72998,286.72998,286.72998,286.72998,285.22,285.22,287.59,287.59,287.91,287.91,290.66,290.66,288.29,288.29,288.16998,288.16998,286.28,286.28,287.91,287.91,279.8,279.8,279.8,279.8,282.04,282.04,286.37,286.37,286.63,286.63,276.69,272.34,272.34,272.18,272.18,272.8,272.8,272.31,272.31,272.31,278.05,278.05,278.05,291.97,291.97,291.97,291.97,292.09,292.09,292.09,291.97,291.97,292.91998,292.91998,293.02,293.02,291.61,291.61,293.02,290.16998,290.16998,290.16998,290.16998,292.8,292.8,292.12,292.12,292.12,292.12,292.12,291.74,291.74,280.78,280.78,280.78,280.78,290.56,290.56,290.56,292.71,292.71,291.64,291.64,292.71,292.01,292.01,291.51,291.51,287.84,287.84,291.19,291.19,291.19,290.0,290.0,290.69,290.69,290.69,289.49,267.4,267.4,265.49,267.0,267.0,267.0,267.0,269.75,269.75
