,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
0,278.75,278.75,278.75,278.75,281.33002,281.33002,281.33002,280.07,280.07,280.07,280.07,275.3,275.3,275.3,263.37,263.37,263.37,259.43,259.43,259.43,259.43,249.84,249.84,249.84,238.77,238.77,238.77,238.77,255.17,255.17,255.17,255.17,255.17,260.19,260.19,260.19,260.19,271.41998,271.41998,271.41998,271.41998,271.41998,279.53,279.53,279.53,279.53,280.38,280.38,280.38,280.38,286.52,286.52,286.52,286.52,281.84,281.84,281.84,281.84,281.84,287.31,285.8,285.8,285.8,285.8,285.8,287.66,287.66,287.66,287.66,290.46,290.46,290.46,283.88,283.88,283.88,283.88,283.88,281.49,281.49,281.49,281.49,281.49,277.05,277.05,277.05,277.05,281.59,281.59,281.59,281.59,281.59,283.9,263.64,263.64,263.64,269.7,269.7,269.7,269.7,269.7,259.44,259.44,259.44,259.44,259.44,276.54,276.54,276.54,242.4,242.4,242.4,242.4,242.4,242.4,235.14,235.14,235.14,235.14,235.14,229.69,229.69,229.69,229.69,229.69,229.69,225.22,225.22,225.22,240.69,240.69,240.69,240.69,240.69,244.59,244.59,244.59,262.83,262.83,262.83,262.83,267.82,267.82,267.82,267.82,267.82,267.82,249.02,249.02,249.02,249.02,249.02,230.7,230.7,230.7,230.7,230.7,234.0,234.0,234.0,234.0,232.48999,272.25,272.25,272.25,272.25,271.78,271.78,271.78,271.78,271.78,268.31,268.31,268.31,268.31,268.31,254.58,254.58,271.51,271.51,271.51,271.51,280.36,280.36,280.36,280.36,281.18,281.18,281.18,281.18,269.39,269.39,269.39,269.39,275.85,275.85,275.85,273.19,273.19,273.19,273.19,280.13,280.13,280.13,280.13,281.97998,281.97998,281.97998,277.93,277.93,277.93,277.93,288.6,288.6,289.71,289.71,289.71,289.71,287.49,287.49,287.49,290.81,290.81,290.81,290.81,290.63,290.63,290.63,291.66,291.66,291.66,289.53,289.53,289.53,290.63,290.63,290.63,290.63,291.66,291.66,291.66,291.99,291.99,291.99,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.56,292.89,292.89,292.89,292.39,292.39,292.39,292.39,292.39,292.39,292.39,292.39,292.39,290.7,290.7,290.7,281.72998,281.72998,281.72998,281.72998,281.72998,283.01,283.01,283.01,283.01,283.01,283.01,283.01,283.01,283.01,283.01,275.81,275.81,275.81,275.81,275.81,276.29,276.29,276.29,276.29,276.29,278.64,278.64,278.64,278.64,275.14,275.14,275.14,275.14,275.14
1,276.31,279.78,279.78,279.78,281.04,281.04,281.04,281.04,282.33002,282.33002,282.33002,282.66,282.66,282.66,282.66,267.37,263.37,263.37,259.43,259.43,259.43,249.84,249.84,249.84,249.84,260.04,260.04,260.04,260.04,268.68,268.68,268.68,268.68,260.4,260.4,260.4,260.4,272.24,272.24,272.24,272.24,272.24,279.53,279.53,279.53,279.53,280.99,280.99,280.99,280.99,281.19,281.19,281.19,281.19,281.19,282.37,282.37,282.37,282.37,287.66,287.66,287.66,287.66,287.66,287.66,290.99,290.99,290.99,290.99,290.46,290.46,290.46,282.66,282.66,282.66,282.66,282.66,277.43,277.43,277.43,277.43,277.43,281.45,281.45,281.45,277.05,277.05,281.59,281.59,281.59,281.59,281.59,283.9,283.9,283.9,283.9,278.53,278.53,278.53,278.53,278.53,271.36,271.36,271.36,271.36,271.36,271.36,271.58002,242.4,242.4,242.4,242.4,242.4,235.14,235.14,235.14,235.14,235.14,229.69,229.69,229.69,229.69,229.69,229.69,229.69,229.33,229.33,229.33,229.33,234.62,234.62,255.09,255.09,255.09,255.09,255.09,253.15,253.15,253.15,253.15,260.94,260.94,260.94,260.94,260.94,255.6,255.6,255.6,255.6,255.6,255.6,230.7,230.7,230.7,243.66,243.66,243.66,243.66,243.66,243.66,226.82,226.82,271.07,271.07,271.07,271.07,268.83002,268.83002,268.83002,268.83002,257.95,257.95,257.95,257.95,256.85,256.85,256.85,271.51,271.51,271.51,271.51,280.36,280.36,280.36,280.36,281.18,281.18,281.18,281.18,269.39,269.39,269.39,275.85,275.85,280.4,280.4,277.03,277.03,277.03,277.03,281.15,281.15,281.15,281.38,281.38,281.38,281.38,277.28,277.28,277.28,288.22998,288.22998,288.22998,290.26,290.26,290.26,290.26,289.15,289.15,289.15,290.81,290.81,290.81,290.63,290.63,290.63,290.63,287.33002,287.33002,287.33002,289.53,289.53,289.53,290.63,290.63,290.63,291.66,291.66,291.66,291.99,291.99,291.99,291.99,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.41998,293.41998,293.41998,292.89,292.89,292.89,292.39,292.39,292.39,291.36,291.36,291.36,287.47998,287.47998,287.47998,278.51,278.51,278.51,288.01,288.01,288.01,288.01,288.01,285.33002,285.33002,285.33002,286.79,286.79,286.79,286.79,276.94,276.94,275.81,275.81,275.81,275.81,275.81,275.81,277.38,277.38,277.9,277.9,277.9,276.15,276.15,276.15,275.14,275.14,276.79
2,280.69,283.86,283.86,283.86,283.58002,283.58002,283.58002,283.58002,282.33002,282.33002,282.33002,282.33002,282.66,282.66,282.66,267.37,267.37,267.37,261.64,261.64,261.64,261.64,265.15,265.15,265.15,265.15,277.21,277.21,277.21,277.21,273.97998,273.97998,273.97998,266.72,266.72,266.72,266.72,272.57,272.57,272.57,272.57,272.57,276.32,276.32,276.32,276.32,276.32,280.5,280.5,280.5,280.5,287.8,287.8,287.8,287.8,287.8,287.8,287.8,287.8,287.8,287.8,287.8,287.8,287.8,287.8,290.74,290.74,290.74,290.74,290.74,290.33,290.33,290.33,279.15,279.15,279.15,282.66,282.66,277.43,277.43,277.43,277.43,281.45,281.45,281.45,281.45,281.45,281.03,281.03,281.03,281.03,281.03,281.03,281.03,281.03,281.03,281.03,281.03,281.03,281.03,281.03,281.03,276.6,276.6,276.6,276.6,267.25,267.25,242.79001,242.79001,242.79001,242.79001,242.79001,233.51,233.51,233.51,233.51,233.51,229.69,229.69,229.69,229.69,229.69,229.33,229.33,229.33,229.33,229.33,234.62,234.62,234.62,255.09,255.09,255.09,255.09,255.09,253.15,253.15,253.15,253.15,253.15,248.44,248.44,248.44,248.44,255.6,255.6,255.6,255.6,255.6,255.6,234.0,234.0,234.0,244.77,244.77,244.77,244.77,241.2,241.2,241.2,241.2,263.39,263.39,263.39,263.39,263.39,263.39,263.39,263.39,263.98,263.98,263.98,263.98,256.12,256.12,256.12,275.12,275.12,275.12,275.12,271.51,271.51,271.51,271.51,282.86,282.86,282.86,282.86,263.16998,263.16998,263.16998,280.4,280.4,280.4,280.4,277.03,277.03,277.03,281.15,281.15,281.15,281.15,281.38,281.38,281.38,281.38,277.28,277.28,277.28,286.55,286.55,286.55,288.05,282.76,282.76,282.76,289.71,289.71,289.71,290.26,290.26,290.26,290.81,290.81,290.81,291.11,291.11,291.11,291.11,291.11,291.11,291.11,286.81,286.81,286.81,291.66,291.66,291.66,291.99,291.99,291.99,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.41998,293.41998,293.41998,292.89,292.89,292.89,292.39,292.39,292.39,291.36,291.36,291.36,287.47998,287.47998,287.47998,278.51,278.51,278.51,291.24,291.24,286.4,286.4,286.4,284.75,284.75,284.75,287.36,287.36,287.36,276.94,280.97998,280.97998,276.94,276.94,276.94,275.81,275.81,275.81,276.29,276.29,276.79,276.79,277.26,277.26,277.26,277.26,275.65,275.65,275.65
3,280.69,283.86,283.86,283.86,283.86,283.58002,283.58002,283.58002,284.27,284.27,284.27,282.8,282.8,282.8,282.8,260.85,260.85,260.85,269.56,269.56,269.56,269.56,269.56,278.39,278.39,278.39,278.39,278.64,278.64,278.64,278.64,274.36,274.36,274.36,274.36,271.25,271.25,271.25,271.25,274.31,274.31,274.31,274.31,278.62,278.62,278.62,278.62,282.0,282.0,282.0,282.0,288.31,288.31,288.31,288.31,288.31,288.31,288.2,288.2,288.2,288.2,288.2,288.2,288.2,288.2,288.2,290.36,290.36,290.36,290.36,290.33,290.33,290.33,279.15,279.15,279.15,279.15,279.15,282.37,282.37,282.37,282.37,282.37,285.03,285.03,285.03,285.03,285.03,285.03,285.03,285.03,285.03,285.03,285.03,285.28,285.28,285.28,285.28,281.16998,281.16998,281.16998,281.16998,281.16998,280.32,280.32,280.32,280.32,265.57,255.61,255.61,255.61,255.61,231.48,231.48,231.48,231.48,231.48,231.48,229.69,229.69,229.69,229.69,229.69,231.09,231.09,231.09,231.09,231.09,233.03,233.03,233.03,252.57,252.57,252.57,252.57,252.57,235.8,235.8,235.8,235.8,248.44,248.44,248.44,248.44,248.44,255.6,255.6,255.6,255.6,255.6,234.0,234.0,234.0,234.0,244.77,244.77,244.77,249.02,252.85,252.85,252.85,252.85,247.62,247.62,247.62,258.66,258.66,258.66,258.66,267.25,267.25,267.25,267.25,260.5,260.5,260.5,269.28,269.28,269.28,269.28,269.28,264.46,264.46,264.46,282.47998,282.47998,282.47998,282.47998,282.47998,263.97,263.97,263.97,282.0,282.0,282.0,273.64,273.64,273.64,273.64,280.13,280.13,280.13,280.13,279.04,279.04,279.04,276.22998,276.22998,276.22998,276.22998,284.93,284.93,284.93,282.76,282.76,282.76,282.76,289.71,289.71,289.15,289.15,289.15,289.15,290.26,290.26,290.26,290.63,290.63,290.63,290.63,290.63,290.63,290.63,289.53,289.53,289.53,291.66,291.66,291.66,292.53,292.53,292.53,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.56,292.89,292.89,292.89,292.89,292.89,292.89,292.39,292.39,292.39,289.24,289.24,289.24,285.95,275.41998,275.41998,282.07,282.07,282.07,291.24,291.24,291.24,286.4,286.4,286.4,283.01,283.01,284.75,287.36,287.36,280.97998,280.97998,280.97998,280.97998,276.94,276.94,276.94,275.81,275.81,275.81,276.29,276.29,276.79,276.79,277.26,277.26,277.26,277.26,275.65,275.65,275.65
4,279.62,279.62,283.31,283.31,283.31,282.8,282.8,282.8,282.8,282.8,282.8,282.8,280.9,280.9,280.9,280.9,278.54,278.54,278.54,278.54,276.74,276.74,276.74,275.64,275.64,275.64,275.64,271.84,271.84,271.84,271.84,275.06,275.06,275.06,275.06,277.52,277.52,277.52,277.52,276.46,276.46,276.46,276.46,280.38,280.38,280.38,280.38,290.49,290.49,290.49,290.49,290.49,290.49,290.49,290.49,290.49,290.49,290.47998,290.47998,290.47998,290.47998,290.47998,289.45,289.45,289.45,289.45,289.84,289.84,289.84,290.36,290.36,290.33,290.33,290.33,290.33,283.18,283.18,283.18,283.18,283.18,283.18,283.18,283.18,282.82,282.82,282.82,282.82,282.82,284.18,284.18,287.13,287.13,287.13,287.13,287.13,285.36,285.36,285.36,285.36,285.36,283.62,283.62,283.62,283.62,283.62,283.62,283.62,283.62,250.41,250.41,250.41,250.41,233.51,233.51,233.51,233.51,233.51,231.48,231.48,231.48,231.48,231.48,233.03,233.03,233.03,233.03,233.03,236.16,236.16,236.16,236.16,243.39,243.39,243.39,243.39,261.59,261.59,261.59,261.59,261.59,261.59,244.14,244.14,244.14,255.6,255.6,255.6,255.6,255.6,244.77,244.77,244.77,244.77,249.02,249.02,249.02,249.02,249.02,252.85,252.85,252.85,252.85,247.62,247.62,247.62,258.66,258.66,258.66,258.66,267.25,267.25,267.25,269.58002,256.12,256.12,256.12,256.12,257.57,257.57,257.57,257.57,257.57,234.54001,234.54001,282.06,282.06,282.06,282.06,282.06,259.99,259.99,283.96,283.96,283.96,283.96,283.96,283.96,243.33,243.33,269.5,269.5,269.5,278.4,278.4,278.4,278.4,278.4,278.4,278.4,280.13,280.13,280.13,280.13,274.75,274.75,283.78,283.78,283.78,283.78,289.15,289.15,289.15,290.26,290.26,290.26,286.39,290.63,290.63,290.63,291.11,291.11,291.11,286.81,286.81,286.81,289.53,289.53,289.53,289.53,291.99,291.99,291.99,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.56,292.89,292.89,292.89,292.89,292.89,292.89,292.89,292.89,292.89,289.24,289.24,289.24,281.25,281.25,281.25,281.25,281.25,281.25,291.24,291.24,291.24,291.24,291.24,291.24,291.24,291.24,289.54,289.54,289.54,289.54,289.54,289.54,283.24,283.24,283.24,283.24,276.29,276.29,275.81,275.81,277.26,277.26,277.26,282.78,282.78,282.78,275.65,275.65,275.65,275.65
5,276.65,276.65,281.91,281.91,281.91,283.86,283.86,283.86,283.86,283.16998,283.16998,283.16998,283.16998,276.44,276.44,266.03,266.03,266.03,266.03,265.52,265.52,265.52,265.52,278.84,278.84,278.84,278.84,278.84,271.84,271.84,271.84,272.18,272.18,272.18,272.18,276.77,276.77,276.77,276.77,280.65,280.65,280.65,280.65,280.65,283.82,283.82,283.82,283.82,286.91998,286.91998,286.91998,286.91998,286.91998,290.62,290.62,290.62,290.62,290.62,289.35,289.35,290.47998,290.47998,289.45,289.45,289.45,289.45,289.45,289.84,289.84,289.84,289.84,289.94,289.94,289.94,289.94,289.94,288.79,288.79,288.79,288.79,287.27,287.27,287.27,287.27,287.27,287.27,287.27,287.27,287.27,287.27,287.27,287.27,287.27,287.27,283.34,283.34,283.34,283.34,283.34,285.36,284.29,284.29,284.29,284.29,283.62,283.62,283.62,283.62,250.41,250.41,250.41,233.51,233.51,233.51,233.51,233.51,233.51,231.48,231.48,231.48,231.48,238.38,236.16,236.16,236.16,236.16,236.16,233.03,233.03,233.03,233.03,233.03,231.09,231.09,231.09,231.09,242.97,242.97,242.97,242.97,246.35,246.35,246.35,246.35,249.45,249.45,249.45,249.45,245.85,245.85,245.85,245.85,245.85,249.02,249.02,249.02,249.02,251.98,251.98,251.98,251.98,243.27,243.27,243.27,243.27,257.95,257.95,257.95,257.95,269.58002,269.58002,269.58002,269.58002,256.12,256.12,256.12,256.12,257.57,257.57,257.57,257.57,257.57,234.54001,234.54001,282.06,282.06,282.06,282.06,259.99,264.56,264.56,279.22998,279.22998,279.22998,279.22998,279.22998,279.22998,279.22998,272.83002,272.83002,272.83002,272.83002,279.29,279.29,279.29,279.29,275.0,275.0,275.0,272.83002,272.83002,272.83002,272.83002,277.02,277.02,277.02,282.37,282.37,282.37,289.71,289.71,289.71,286.39,286.39,286.39,290.63,290.63,290.63,290.63,291.11,291.11,291.11,286.81,286.81,286.81,289.53,289.53,289.53,291.99,291.99,291.99,292.53,293.56,293.56,293.56,293.56,293.56,293.56,293.03,293.03,293.03,292.89,292.89,292.89,292.39,292.39,292.39,290.82,290.82,290.82,285.46,285.46,285.46,285.46,285.46,285.46,290.7,290.7,290.7,291.72998,291.72998,291.72998,291.72998,291.72998,288.56,288.56,288.56,291.12,291.12,291.12,287.36,287.36,287.36,287.36,287.36,287.36,275.81,275.81,275.81,275.81,275.81,277.9,277.9,277.9,277.9,277.9,277.9,275.65,275.65,275.65,275.65
6,275.5,275.5,283.03,283.03,283.03,283.03,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,281.13,269.69,269.69,257.54,257.54,257.54,257.54,266.03,266.03,266.03,266.03,270.74,270.74,270.74,270.74,270.74,273.97998,273.97998,273.97998,273.97998,279.87,279.87,279.87,279.87,281.9,280.65,280.65,280.65,283.82,283.82,283.82,283.82,289.72998,289.72998,289.72998,289.72998,286.91998,286.91998,290.62,290.62,290.62,290.62,289.35,289.35,289.35,289.35,289.35,288.56,288.56,283.77,283.77,283.77,283.77,283.77,288.56,290.2,290.2,290.2,290.2,290.2,288.79,288.79,288.79,288.79,288.79,285.52,285.52,285.52,285.52,285.52,285.25,285.25,285.25,285.25,285.25,286.32,286.32,286.32,283.72998,283.72998,283.72998,283.72998,279.06,279.06,279.06,279.06,279.06,279.06,284.15,283.62,283.62,283.62,250.41,250.41,250.41,242.4,242.4,242.4,242.4,242.4,238.38,238.38,238.38,238.38,238.38,236.16,236.16,236.16,236.16,236.16,233.03,233.03,233.03,233.03,233.03,231.09,231.09,231.09,231.09,242.97,242.97,242.97,225.09,247.4,247.4,247.4,247.4,247.4,247.4,247.4,247.4,247.4,246.9,246.9,246.9,246.9,256.8,256.8,256.8,256.8,256.8,254.5,254.5,254.5,254.5,246.55,246.55,246.55,263.39,263.39,263.39,263.39,268.31,268.31,268.31,268.31,268.31,246.16,246.16,246.16,261.81,261.81,261.81,261.81,261.81,261.81,221.82,221.82,221.82,242.84,242.84,242.84,264.56,264.56,264.56,279.22998,279.22998,279.22998,279.22998,279.22998,279.22998,279.22998,272.83002,272.83002,272.83002,272.83002,279.29,279.29,280.33002,280.13,280.13,280.13,280.13,272.38,272.38,272.38,278.14,278.14,278.14,278.14,278.14,278.14,290.26,290.26,290.26,290.26,289.15,289.15,289.15,290.63,290.63,290.63,291.11,291.11,291.11,291.11,291.66,291.66,291.66,290.63,290.63,290.63,292.53,292.53,292.53,293.56,293.56,293.56,293.56,293.56,293.56,293.03,293.03,293.03,293.03,292.89,292.89,292.89,292.39,292.39,292.39,292.39,292.39,292.39,292.39,292.39,292.39,291.85,291.85,291.72998,291.72998,291.72998,291.72998,291.72998,291.72998,290.7,290.7,290.7,291.24,291.24,291.24,291.24,291.24,291.24,289.54,289.54,289.54,276.29,276.29,279.71,279.71,279.71,279.71,275.32,275.32,280.88,280.88,285.61,276.15,276.15,276.15,274.47,274.47,274.47,275.65
7,275.03,275.03,283.86,283.86,283.86,283.86,286.14,286.14,286.14,286.14,286.14,285.87,285.87,285.87,285.87,271.66998,271.66998,271.66998,271.66998,271.66998,252.84,252.84,252.84,266.34,266.34,266.34,266.34,271.51,271.51,271.51,271.51,271.51,275.37,273.97998,273.97998,273.97998,279.87,279.87,279.87,279.87,281.9,281.9,281.9,281.9,289.72998,289.72998,289.72998,289.72998,289.72998,289.72998,289.72998,289.72998,289.72998,289.72998,290.62,290.62,290.62,290.62,290.62,289.35,289.35,289.35,289.35,287.66,287.66,287.66,283.32,283.32,283.32,283.32,289.19,289.19,289.19,289.19,289.19,289.19,289.19,288.7,288.7,288.7,288.7,286.18,286.18,286.18,286.18,286.18,286.45,286.45,286.45,286.45,286.45,285.66,285.66,285.66,285.66,285.66,283.72998,283.72998,283.72998,279.06,279.06,279.06,251.63,251.63,251.63,251.63,251.63,251.63,260.7,260.7,260.7,260.7,260.7,260.7,260.7,260.7,239.78,239.78,239.78,239.78,241.12,241.12,241.12,241.12,241.12,237.85,237.85,237.85,237.85,237.85,237.85,231.09,231.09,231.09,231.09,231.09,225.09,225.09,247.4,247.4,247.4,247.4,247.4,247.4,247.4,247.4,247.4,247.4,246.9,246.9,246.9,263.66998,263.66998,263.66998,263.66998,262.47,262.47,262.47,262.47,262.47,257.95,257.95,257.95,279.03,279.03,279.03,279.03,273.41,273.41,273.41,273.41,273.41,273.41,249.69,249.69,249.69,249.69,237.61,237.61,237.61,237.61,237.61,225.91,225.91,225.91,225.91,221.82,221.82,221.82,239.69,275.31,275.31,275.31,275.31,275.31,275.31,275.31,275.31,282.0,282.0,282.0,280.33002,280.33002,280.33002,280.33002,280.13,280.13,280.13,280.13,272.38,272.38,272.38,278.14,278.14,278.14,286.39,286.39,286.39,288.6,288.6,288.6,288.6,289.71,289.71,289.71,290.63,290.63,290.63,291.11,291.11,291.11,291.66,291.66,291.66,291.66,290.08,290.08,290.08,292.53,292.53,292.53,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.56,292.89,292.89,292.89,292.39,292.39,292.39,292.39,292.39,292.39,291.85,291.85,291.85,291.72998,291.72998,291.72998,291.72998,291.72998,291.72998,290.7,290.7,291.24,287.47998,287.47998,287.47998,291.24,291.24,291.12,291.12,291.12,291.12,276.29,276.29,279.71,279.71,279.71,281.59,281.59,281.59,275.81,275.81,275.81,273.94,273.94,273.94,265.95,265.95,270.41,270.41
8,274.84,274.84,274.84,287.65,287.65,287.65,287.65,287.65,287.65,287.65,287.65,287.65,288.82,288.82,288.82,286.33002,286.33002,273.75,273.75,273.75,262.03,262.03,262.03,262.03,266.34,266.34,266.34,266.34,271.51,271.51,271.51,271.51,271.51,275.37,275.37,275.37,275.37,282.27,282.27,282.27,282.27,282.43,282.43,282.43,282.43,289.34,289.34,289.34,289.34,289.34,290.49,290.49,290.49,290.49,290.49,291.12,291.12,291.12,291.12,290.99,290.99,290.99,290.99,286.63,286.63,286.63,286.63,286.63,287.02,287.02,287.02,287.02,287.02,287.02,287.02,287.02,287.02,288.04,288.04,288.04,288.04,288.04,287.0,287.0,287.0,287.0,287.0,286.05,286.05,286.05,286.05,286.05,285.79,285.79,285.79,285.79,285.79,285.5,285.5,273.1,273.1,273.1,273.1,251.63,251.63,251.63,251.63,251.63,265.83002,265.83002,265.83002,265.83002,265.83002,265.83002,244.87,244.87,244.87,244.87,244.87,242.4,242.4,242.4,242.4,242.4,247.88,247.88,247.88,247.88,247.88,247.88,233.03,233.03,233.03,233.03,233.03,220.74,220.74,220.74,220.74,245.27,245.27,245.27,245.27,246.35,246.35,246.35,246.35,246.35,242.5,242.5,242.5,263.66998,263.66998,263.66998,263.66998,262.47,262.47,262.47,262.47,257.95,257.95,257.95,279.03,279.03,279.03,279.03,280.56,281.41,281.41,281.41,281.41,273.86,273.86,273.86,273.86,273.86,273.86,236.18,236.18,236.18,236.18,236.18,229.62,229.62,229.62,229.62,221.82,221.82,221.82,221.32,280.24,280.24,280.24,280.24,282.86,282.86,282.86,283.96,283.96,283.96,283.96,280.33002,280.33002,280.33002,280.33002,271.21,271.21,271.21,273.29,273.29,273.29,273.29,282.0,282.0,282.0,286.39,286.39,286.39,285.29,285.29,285.29,290.26,290.26,290.26,290.26,290.08,290.08,290.08,291.11,291.11,291.11,292.15,292.15,292.15,291.11,291.11,291.11,291.11,292.53,292.53,292.53,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.56,293.03,293.03,293.03,292.89,292.89,292.89,292.39,292.39,292.39,292.39,292.39,292.39,291.85,291.85,291.85,291.72998,291.72998,291.72998,291.72998,291.72998,291.72998,291.24,291.24,291.24,287.47998,287.47998,291.24,291.24,291.24,291.12,291.12,291.12,291.12,276.29,276.29,280.66,280.66,281.59,281.59,281.59,281.59,275.81,275.81,275.81,273.94,273.94,265.95,265.95,265.95,270.41,270.41
9,278.0,278.0,278.0,281.62,281.62,281.62,281.62,284.27,287.65,287.65,287.65,287.65,288.05,288.05,288.05,288.05,284.66,284.66,273.75,273.75,262.03,262.03,262.03,262.03,270.03,270.03,270.03,270.03,270.03,271.41998,271.41998,271.41998,271.41998,277.52,277.52,277.52,277.52,282.13,282.13,282.13,282.13,289.47,289.47,289.47,289.47,289.47,289.47,289.47,289.47,289.47,289.47,290.62,290.62,290.62,290.62,291.38,291.38,291.38,291.38,291.25,291.25,291.25,291.25,291.25,290.1,290.1,290.1,290.1,285.78,285.78,285.78,285.78,285.78,289.19,289.19,289.19,289.19,286.88,286.88,286.88,286.88,286.88,287.8,287.8,287.8,287.8,287.8,287.13,287.13,287.13,286.05,286.05,285.79,285.79,285.79,285.79,285.79,285.5,285.5,285.5,285.5,285.5,280.86,280.86,280.86,280.86,280.86,280.86,265.83002,265.83002,265.83002,265.83002,265.83002,265.83002,244.87,244.87,244.87,256.91,256.91,256.91,239.78,239.78,239.78,239.78,239.78,233.03,233.03,233.03,233.03,233.03,229.33,229.33,229.33,229.33,229.33,222.84,222.84,222.84,222.84,222.84,226.99,226.99,252.29,252.29,252.29,252.29,252.29,252.29,235.47,235.47,262.47,262.47,262.47,262.47,262.47,269.09,269.09,269.09,272.71,272.71,272.71,272.71,280.56,280.56,280.56,280.56,281.41,281.41,281.41,281.41,273.86,273.86,273.86,273.86,273.86,273.86,236.18,236.18,236.18,236.18,236.18,229.62,229.62,229.62,229.62,229.62,229.62,229.62,229.62,221.32,221.32,261.3,261.3,275.31,275.31,275.31,275.31,283.46,283.46,283.46,283.46,279.29,279.29,279.29,269.5,269.5,269.5,269.5,267.66998,267.66998,267.66998,283.39,283.39,283.39,283.39,286.96,286.96,286.96,285.29,285.29,285.29,290.26,290.26,290.26,290.08,290.08,290.08,290.08,291.11,291.11,291.11,292.15,292.15,292.15,292.15,292.15,292.15,293.19,293.19,293.19,294.08,294.08,294.08,294.08,293.56,293.56,293.56,293.56,293.56,293.56,293.03,293.03,293.03,292.89,292.89,292.89,292.39,292.39,292.39,292.39,292.39,292.39,292.39,292.39,292.39,292.27,292.27,292.27,291.72998,291.72998,291.24,291.24,291.24,280.79,280.79,280.79,288.56,288.56,288.56,290.58,290.58,290.58,280.66,280.66,280.04,280.04,280.04,278.75,278.75,278.75,278.75,275.81,275.81,275.81,275.14,275.14,259.78,259.78,259.78,273.4,273.4
