,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
0,275.32,275.32,277.62,277.62,277.62,277.62,277.62,278.64,278.64,278.64,278.64,279.96,279.96,279.96,279.96,281.02,281.02,281.02,281.02,281.02,285.62,285.62,285.62,286.7,286.7,286.7,285.89,285.89,285.89,277.21,277.21,277.21,277.21,277.21,278.76,278.76,278.76,278.76,278.76,280.16,280.16,280.16,280.16,280.16,280.11,280.11,280.11,280.11,276.85,276.85,276.85,276.85,276.85,276.85,273.68,273.68,273.68,273.68,272.31,272.31,272.31,272.31,272.31,272.8,272.8,272.8,272.8,272.8,272.97,272.97,272.97,272.97,272.97,273.45,273.45,273.45,273.45,273.45,270.76,270.76,270.76,270.76,278.4,278.4,278.4,278.4,278.4,278.4,278.4,278.4,278.4,278.4,263.27,263.27,263.27,263.27,263.27,268.96,268.96,268.96,276.62,276.62,276.62,276.62,276.62,286.81,286.81,286.81,286.0,286.0,286.0,286.0,284.82,284.82,284.82,284.82,284.22998,284.22998,284.22998,284.22998,286.36,286.36,286.36,286.36,286.89,286.89,286.89,286.89,286.89,273.02,273.02,273.02,273.02,289.47,289.47,289.47,290.03,290.03,290.03,290.03,289.47,289.47,289.47,289.47,289.47,289.47,289.47,289.47,289.47,259.94,259.94,259.94,259.94,261.89,261.89,261.89,261.89,261.89,261.89,261.89,260.6,260.6,260.6,245.3,245.3,245.3,248.34,248.34,248.34,248.34,258.66998,258.66998,264.66,264.66,264.66,264.66,285.12,285.12,285.12,277.83002,277.83002,277.83002,286.2,286.2,289.5,289.5,289.5,289.5,286.62,286.62,286.62,286.62,279.04,279.04,279.04,287.71,287.71,290.44,290.44,290.44,285.91998,285.91998,285.91998,281.8,281.8,281.8,289.75,289.75,289.75,288.65,288.65,288.65,284.3,284.3,284.3,283.33002,283.33002,283.33002,284.3,284.3,284.3,285.29,285.29,285.29,263.49,263.49,263.49,287.33002,287.33002,292.62,292.62,292.62,293.15,293.15,293.15,293.66998,293.66998,293.66998,272.85,272.85,272.85,286.66,286.66,290.41998,290.41998,290.41998,293.52,293.52,293.52,293.52,293.52,289.81,289.81,289.81,292.35,292.35,292.88,292.88,292.88,293.39,293.39,293.39,293.39,293.39,294.44,294.44,293.82,293.82,293.82,292.79,292.79,283.84,283.84,283.84,283.84,269.16998,281.11,281.11,281.11,293.76,293.76,293.76,293.76,293.76,293.76,293.76,286.88,286.88,286.88,294.29,294.29,295.84,295.84,295.84,295.84,295.84,295.84,295.84,295.31,295.31,295.31
1,275.32,275.32,275.32,277.62,277.62,277.62,277.62,278.08002,278.08002,278.08002,278.08002,279.9,279.9,279.9,279.9,279.9,279.6,279.6,279.6,279.6,285.62,285.62,285.62,285.62,285.62,283.0,283.0,283.0,283.0,283.0,279.09,279.09,279.09,279.09,276.89,276.89,276.89,276.89,276.89,283.06,283.06,283.06,283.06,283.06,281.41,281.41,281.41,281.41,281.41,275.36,275.36,275.36,275.36,275.36,273.95,273.95,273.95,273.95,272.31,272.31,272.31,272.31,272.31,272.8,272.8,272.8,272.8,272.8,273.45,273.45,273.45,273.45,273.45,272.97,272.97,272.97,272.97,272.97,271.27,271.27,271.27,271.27,276.43,276.43,276.43,276.43,276.43,266.36,266.36,266.36,266.36,266.36,262.06,262.06,262.06,262.06,262.06,270.21,270.21,270.21,275.63,275.63,275.63,275.63,286.81,286.81,286.81,286.81,286.0,280.49,280.49,280.49,280.49,281.54,281.54,281.54,281.54,282.14,282.14,282.14,282.14,281.19,281.19,281.19,281.19,286.89,286.89,286.89,286.89,273.02,273.02,273.02,273.02,284.5,284.5,284.5,290.58,290.58,290.58,290.58,287.26,287.26,287.26,287.26,287.26,287.26,287.26,287.26,287.26,259.94,259.94,259.94,261.89,261.89,261.89,283.34,283.34,283.34,274.35,274.35,274.35,274.35,274.35,250.18,250.18,250.18,250.18,234.19,234.19,234.19,234.19,236.93,265.43,265.43,265.43,274.46,274.46,274.46,274.46,271.71,271.71,271.71,281.95,281.95,281.95,288.94,288.94,286.62,286.62,286.62,286.62,286.62,286.62,286.62,283.57,283.57,283.57,290.44,290.44,290.44,287.57,278.91998,278.91998,278.91998,278.91998,278.91998,287.57,287.57,287.57,287.01,287.01,287.01,284.3,284.3,284.3,284.3,284.3,284.3,284.3,284.3,284.3,285.29,285.29,285.29,285.29,285.29,287.33002,287.33002,287.33002,292.62,292.62,292.62,293.15,293.15,293.15,293.66998,293.66998,293.66998,293.66998,293.66998,286.66,286.66,286.66,290.41998,290.41998,294.05,294.05,294.05,293.01,293.01,293.01,288.84,288.84,290.29,290.29,290.29,293.91,293.91,293.91,293.91,293.91,292.88,292.88,292.88,293.39,293.39,293.82,293.82,293.82,288.62,281.86,276.28,276.28,276.28,276.28,258.41998,281.47998,281.47998,281.47998,273.6,273.6,293.76,293.76,293.76,289.61,289.61,290.11,290.11,292.72998,292.72998,292.72998,295.31,295.31,295.84,295.84,295.84,295.31,295.31,294.78,294.78,294.78
2,276.25,276.25,276.25,277.78,277.78,277.78,277.78,278.94,278.94,278.94,278.94,279.15,279.15,279.15,279.15,279.15,279.96,279.96,279.96,279.96,286.57,286.57,286.57,286.57,286.57,280.49,280.49,280.49,280.49,280.49,281.93,281.93,281.93,281.93,281.93,276.57,276.57,276.57,276.57,276.57,281.19,281.19,281.19,281.19,281.19,278.77,278.77,278.77,278.77,274.61,274.61,274.61,274.61,274.61,273.85,273.85,273.85,273.85,272.31,272.31,272.31,272.31,272.8,272.8,272.8,272.8,272.8,272.8,274.61,274.61,274.61,274.61,274.61,274.15,274.15,274.15,274.15,274.15,270.76,270.76,270.76,270.76,276.9,276.9,276.9,276.9,276.9,268.21,268.21,268.21,268.21,268.21,260.77,260.77,260.77,260.77,265.49,265.49,265.49,265.49,265.49,268.96,268.96,268.96,275.63,275.63,275.63,275.63,275.63,267.11,267.11,267.11,267.11,273.3,273.3,273.3,273.3,283.68,283.68,283.68,283.68,283.68,283.68,283.68,285.78,281.19,281.19,281.19,281.19,270.68,270.68,270.68,270.68,283.91,283.91,283.91,290.58,290.58,290.58,287.26,287.26,287.26,287.26,287.26,287.26,287.26,287.26,287.26,287.26,287.26,287.26,287.26,255.59,255.59,255.59,283.34,283.34,283.34,274.35,274.35,274.35,274.35,274.35,250.18,250.18,250.18,250.18,234.19,234.19,234.19,234.19,236.93,265.43,265.43,265.43,274.46,274.46,274.46,271.71,271.71,272.72,283.28,283.28,283.28,287.86,287.86,287.86,289.34,289.34,289.34,286.05,286.05,286.05,283.2,283.2,283.2,283.2,287.71,287.71,287.71,287.71,279.9,279.9,283.46,283.46,283.46,289.21,289.21,289.21,287.57,287.57,287.57,284.3,284.3,284.3,286.36,286.36,286.36,288.52,288.52,289.63,289.63,289.63,286.88,286.88,286.88,288.96,288.96,288.96,291.09,291.09,291.09,291.09,291.09,294.72998,294.72998,294.72998,282.24,282.24,282.24,288.84,288.84,288.84,294.58,294.58,294.05,294.05,294.05,293.01,293.01,293.01,288.84,288.84,290.29,290.29,290.29,293.91,293.91,293.91,293.91,293.91,292.88,292.88,292.88,293.39,293.39,293.82,293.82,293.82,281.86,281.86,276.28,276.28,276.28,276.28,258.41998,281.47998,281.47998,281.47998,273.6,273.6,293.76,293.76,293.76,294.86,294.86,296.47998,296.47998,294.86,294.86,294.86,295.31,295.31,295.31,295.31,295.31,295.31,295.31,295.31,295.31,294.78
3,276.25,276.25,276.25,278.87,278.87,278.87,278.87,278.33002,278.33002,278.33002,278.33002,278.33002,280.05,280.05,280.05,280.05,281.47,281.47,281.47,281.47,281.47,286.85,286.85,286.85,286.85,279.24,279.24,279.24,279.24,279.24,278.07,278.07,278.07,278.07,278.07,278.14,278.14,278.14,278.14,278.14,279.28,279.28,279.28,279.28,277.16,277.16,277.16,277.16,277.16,277.16,277.16,277.16,277.16,277.16,277.16,273.68,273.68,273.68,272.8,272.8,272.8,272.8,272.8,272.8,272.8,272.8,272.8,274.61,274.61,274.61,274.61,274.61,274.15,274.15,274.15,274.15,274.15,270.76,270.76,270.76,270.76,276.9,276.9,276.9,276.9,276.9,276.9,268.21,268.21,268.21,268.21,268.21,260.77,260.77,271.04,271.04,263.52,263.52,263.52,263.52,263.52,260.4,260.4,260.4,260.4,267.91998,267.91998,267.91998,267.91998,263.24,263.24,263.24,271.66998,271.66998,271.66998,271.66998,271.66998,279.74,279.74,279.74,279.74,280.58002,280.58002,280.58002,280.58002,273.46,273.46,273.46,278.7,278.7,278.7,278.7,279.34,279.34,279.34,279.34,290.03,290.03,290.03,288.91998,288.91998,288.91998,288.91998,284.5,284.5,284.5,284.5,287.08002,287.08002,287.08002,287.08002,274.91,274.91,274.91,279.22,279.22,279.22,279.22,280.47,280.47,280.47,280.47,255.69,255.69,255.69,255.69,255.69,234.19,234.19,234.19,227.59,227.59,266.61,266.61,266.61,266.61,255.84,255.84,272.72,272.72,272.72,283.28,283.28,283.28,288.94,288.94,288.94,288.79,288.79,288.79,284.16,284.16,284.16,283.2,283.2,283.2,289.34,289.34,289.34,289.34,279.9,279.9,283.46,281.8,281.8,281.8,288.1,288.1,288.1,289.21,289.21,289.21,287.44,287.44,289.08,289.08,289.08,290.18,290.18,290.18,289.08,289.08,289.08,283.91998,283.91998,283.91998,286.76,277.31,277.31,277.31,292.12,292.12,284.18,284.18,294.21,294.21,294.21,294.21,294.21,294.21,292.47998,292.47998,293.01,293.01,293.01,293.52,293.52,293.52,290.96,290.96,288.29,288.29,288.29,290.84,290.84,290.84,293.39,293.39,293.39,293.39,293.39,293.39,293.39,294.44,294.44,294.44,291.77,291.77,291.77,265.26,265.26,265.26,267.27,267.27,267.27,267.27,267.27,267.27,267.27,267.27,267.27,293.76,293.76,294.86,294.86,294.86,296.47998,296.47998,294.86,294.86,294.86,295.31,295.31,295.31,295.31,295.31,295.31,295.31,295.31,295.31,295.31
4,274.78,274.78,274.78,278.04,278.04,278.04,278.04,278.04,279.75,279.75,279.75,279.75,279.3,279.3,279.3,279.3,279.15,279.15,279.15,279.15,279.15,286.7,286.7,286.7,286.7,286.7,280.82,280.82,280.82,280.82,277.05,277.05,277.05,277.05,276.36,276.36,276.36,276.36,276.36,278.14,278.14,278.14,278.14,278.14,276.69,276.69,276.69,276.69,276.69,276.69,278.46,278.46,278.46,278.46,278.46,273.95,273.68,273.68,273.3,273.3,273.3,273.3,273.3,273.3,273.3,273.3,273.3,274.61,274.61,274.61,274.61,274.61,274.15,274.15,274.15,274.15,274.15,271.27,271.27,271.27,271.27,279.05,279.05,279.05,279.05,279.05,279.05,270.53,270.53,270.53,270.53,271.04,271.04,271.04,271.04,271.04,263.52,263.52,263.52,263.52,260.4,260.4,260.4,260.4,260.4,267.91998,267.91998,267.91998,267.91998,263.24,263.24,263.24,271.66998,271.66998,271.66998,271.66998,279.74,279.74,279.74,260.73,275.54,275.54,275.54,275.54,275.54,262.91,262.91,262.91,270.68,270.68,270.68,270.68,277.2,277.2,277.2,277.2,290.03,290.03,290.03,288.91998,288.91998,288.91998,288.91998,285.03,285.03,285.03,287.08002,287.08002,287.08002,287.08002,287.08002,287.08002,287.08002,287.08002,287.08002,287.08002,287.08002,287.08002,287.08002,287.08002,287.08002,269.03,269.03,269.03,269.03,269.03,256.4,256.4,256.4,256.4,225.92,225.92,225.92,247.36,247.36,247.36,257.41998,257.41998,269.97,269.97,269.97,277.35,277.35,277.35,277.35,288.94,288.94,288.79,288.79,288.79,284.16,280.96,280.96,280.96,280.96,280.96,289.34,289.34,289.34,289.34,289.34,289.34,281.8,281.8,281.8,287.57,287.57,287.57,290.3,290.3,290.3,289.63,289.63,289.63,289.63,289.63,289.63,287.44,287.44,287.44,289.63,289.63,289.63,283.91998,283.91998,283.91998,283.91998,277.31,277.31,292.12,292.12,294.21,294.21,294.21,294.21,294.21,294.21,292.12,292.12,292.12,285.08002,285.08002,287.22,268.46,268.46,268.46,292.47998,292.47998,291.97998,291.97998,283.7,283.7,283.7,293.91,293.91,293.91,292.88,292.88,292.88,292.88,292.88,293.39,293.39,294.44,294.44,294.44,280.15,280.15,280.15,248.69,248.69,248.69,265.26,283.43,283.43,283.43,294.35,294.35,290.11,290.11,290.11,290.11,290.11,295.38,295.38,295.38,296.47998,296.47998,295.38,295.38,295.38,295.31,295.31,295.31,295.31,295.31,295.31,295.31,295.31,295.31,295.31
5,276.12,276.12,276.12,276.12,279.34,279.34,279.34,279.34,280.41,280.41,280.41,280.41,279.0,279.0,279.0,279.0,279.0,283.74,283.74,283.74,283.74,286.85,286.85,286.85,286.85,286.85,286.85,286.85,277.83002,277.83002,277.83002,277.83002,277.83002,277.83002,277.83002,277.83002,276.72998,276.72998,276.72998,276.72998,277.05,277.05,277.05,278.14,278.14,276.69,276.69,276.69,276.69,276.69,278.46,278.46,278.46,278.46,278.46,273.95,273.95,273.95,273.3,273.3,273.3,273.3,273.3,273.3,273.3,273.3,273.3,274.0,274.0,274.0,274.0,274.0,274.15,274.15,274.15,274.15,274.15,273.45,273.45,273.45,273.45,277.56,277.56,277.56,277.56,277.56,277.56,277.56,277.56,277.56,277.56,260.77,260.77,260.77,260.77,260.77,258.83,258.83,258.83,258.83,267.91998,267.91998,267.91998,267.91998,270.71,270.71,270.71,270.71,270.71,267.11,267.11,267.11,272.6,272.6,272.6,272.6,272.6,260.73,260.73,260.73,275.54,275.54,275.54,275.54,275.54,262.91,262.91,262.91,270.68,270.68,270.68,270.68,277.2,277.2,277.2,277.2,288.37,288.37,288.37,290.03,290.03,290.03,287.26,287.26,287.26,287.26,287.62,287.62,287.62,287.62,285.4,268.3,268.3,268.3,282.31,282.31,282.31,282.31,287.62,287.62,287.62,280.45,280.45,280.45,280.45,266.61,266.61,266.61,266.61,266.61,240.78,240.78,240.78,234.19,234.19,266.25,266.25,266.25,268.7,268.7,268.7,281.95,281.95,281.95,287.29,287.29,287.29,284.56,284.56,284.56,284.56,270.78,270.78,281.29,281.29,281.29,288.24,288.24,288.24,285.41998,285.41998,285.41998,283.1,283.1,283.1,287.57,287.57,287.57,290.3,290.3,290.3,289.63,289.63,289.63,289.63,289.63,289.63,287.44,287.44,287.44,289.63,289.63,289.63,289.63,289.63,289.63,289.63,285.66998,292.62,292.62,292.62,294.21,294.21,294.21,293.66998,293.66998,293.66998,292.12,292.12,289.93,289.93,289.93,289.93,268.46,268.46,268.46,291.97998,291.97998,293.01,293.01,280.83002,280.83002,280.83002,292.88,292.88,293.39,293.39,293.39,291.86,291.86,291.86,292.88,292.88,288.16998,288.16998,288.16998,288.16998,288.16998,288.16998,253.03,253.03,253.03,252.20999,252.20999,252.20999,252.20999,293.82,293.82,294.29,294.29,294.29,294.86,294.86,295.97,295.97,295.97,295.38,295.38,295.38,295.38,294.26,294.26,294.26,295.31,295.31,295.31,295.31,295.31,294.78,294.78,294.78
6,279.64,279.64,279.64,279.64,281.82,281.82,281.82,281.82,281.18,281.18,281.18,281.18,280.7,280.7,280.7,280.7,280.7,282.04,282.04,282.04,282.04,282.04,279.24,279.24,279.24,279.24,281.79,281.79,281.79,281.79,281.79,277.83002,277.83002,277.83002,277.83002,277.83002,276.72998,276.72998,276.72998,276.72998,277.05,277.05,277.05,277.05,277.05,277.0,277.0,277.0,277.0,277.0,277.74,277.74,277.74,277.74,277.74,277.74,274.1,274.1,273.3,273.3,273.3,273.3,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.61,274.61,274.61,274.61,274.61,275.51,275.51,275.51,280.94,280.94,280.94,280.94,280.94,279.4,279.4,279.4,279.4,279.4,279.4,263.27,263.27,263.27,263.27,259.53,259.53,259.53,259.53,279.19,279.19,279.19,279.19,279.19,260.4,260.4,260.4,273.3,273.3,273.3,273.3,273.3,270.95,270.95,270.95,270.95,270.95,255.55,255.55,255.55,278.7,278.7,278.7,278.7,278.7,264.9,264.9,264.9,264.9,266.79,266.79,266.79,276.05,276.05,276.05,276.05,288.37,288.37,288.37,290.03,290.03,290.03,288.37,288.37,288.37,288.37,288.19,288.19,288.19,288.19,268.3,268.3,268.3,268.3,282.31,282.31,282.31,289.85,289.85,289.85,289.85,280.45,280.45,280.45,266.61,266.61,266.61,269.03,269.03,249.29,249.29,249.29,249.29,225.92,225.92,225.92,235.02,235.02,275.66998,275.66998,275.66998,275.66998,275.66998,287.29,287.29,287.29,287.29,277.65,277.65,277.65,277.65,265.27,265.27,265.27,274.82,274.82,274.82,287.71,287.71,288.1,288.1,288.1,288.1,288.1,288.1,287.57,287.57,287.57,290.79,290.79,290.79,287.57,287.57,287.57,289.08,289.08,289.08,290.66998,290.66998,290.66998,285.79,285.79,285.79,289.08,289.08,285.66998,285.66998,285.66998,292.62,292.62,292.62,294.21,294.21,294.21,293.66998,293.66998,283.79,283.79,283.79,289.93,269.75,269.75,269.75,267.85,267.85,267.85,291.97998,293.01,293.01,293.01,280.83002,280.83002,280.83002,291.86,291.86,293.39,293.39,293.39,293.39,293.39,292.88,292.88,292.88,293.39,293.39,293.39,287.0,287.0,287.0,253.03,253.03,253.03,252.20999,252.20999,286.43,286.43,283.43,283.43,289.06,289.06,289.06,291.69,291.69,293.76,293.76,293.76,293.76,293.76,294.29,294.29,292.19,292.19,292.19,295.31,295.31,295.31,295.31,295.31,295.31,295.31,294.78
7,281.57,281.57,281.57,281.57,282.47,282.47,282.47,282.47,281.32,281.32,281.32,281.32,281.32,278.38,278.38,278.38,278.38,278.38,278.38,282.04,282.04,282.04,279.24,279.24,279.24,279.24,281.79,281.79,281.79,281.79,281.79,280.61,280.61,280.61,280.61,280.61,279.72998,279.72998,279.72998,279.72998,277.05,277.05,277.05,277.05,277.05,277.59,277.59,277.59,277.59,277.59,278.15,278.15,278.15,278.15,278.15,278.15,274.26,274.26,273.3,273.3,273.3,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.61,274.61,274.61,274.61,274.61,275.51,275.51,275.51,275.51,280.94,280.94,280.94,280.94,280.94,279.4,280.19,280.19,280.19,280.19,274.83002,274.83002,274.83002,274.83002,274.83002,274.83002,258.12,258.12,258.12,258.12,266.06,266.06,266.06,266.06,267.38,267.38,267.38,267.38,270.46,270.46,270.46,270.46,265.22,265.22,265.22,265.22,265.22,254.78,254.78,254.78,270.68,270.68,270.68,270.68,270.68,258.8,258.8,258.8,258.8,267.33002,267.33002,267.33002,258.11,258.11,258.11,258.11,288.91998,288.91998,289.47,289.47,289.47,289.47,288.37,288.37,288.37,288.37,283.34,283.34,283.34,283.34,265.85,265.85,265.85,265.85,283.8,283.8,283.8,289.85,289.85,289.85,289.85,266.61,266.61,266.61,269.03,269.03,269.03,269.03,269.03,249.29,249.29,249.29,249.29,225.92,225.92,225.92,235.02,235.02,275.66998,275.66998,275.66998,284.26,284.26,286.2,286.2,286.2,286.2,277.65,277.65,277.65,268.4,268.4,268.4,282.24,282.24,282.24,287.71,287.71,287.71,288.65,288.65,288.65,285.91998,285.91998,285.91998,284.84,284.84,284.84,290.3,290.3,290.3,287.57,287.57,287.57,288.52,288.52,288.52,289.08,289.08,289.08,287.97998,287.97998,279.78,279.78,279.78,286.24,286.24,286.24,292.12,292.12,292.12,294.21,294.21,294.21,293.66998,293.66998,279.31,279.31,279.31,279.31,279.31,279.31,279.31,261.83,281.43,281.43,281.43,292.47998,292.47998,292.47998,279.2,279.2,279.2,291.86,291.86,293.39,293.39,293.39,293.39,293.39,292.88,292.88,292.88,293.39,293.39,287.0,256.24,256.24,256.24,266.64,266.64,248.69,248.69,248.69,284.27,283.43,283.43,283.43,290.11,290.11,290.66,290.66,290.66,289.61,289.61,285.22,285.22,285.22,293.24,293.24,294.86,294.86,294.86,295.31,295.31,295.31,295.31,295.31,295.31,295.31,294.78
8,281.06,281.06,281.06,281.06,281.32,281.32,281.32,282.47,282.47,281.32,281.32,281.32,281.32,285.21,285.21,285.21,285.21,285.21,278.38,278.38,278.38,278.38,279.99,279.99,279.99,279.99,279.99,283.56,283.56,283.56,283.56,283.56,283.86,283.86,283.86,283.86,280.99,280.99,280.99,280.99,276.2,276.2,276.2,276.2,276.2,276.2,277.74,277.74,277.74,277.74,277.74,278.62,278.62,278.62,278.62,278.62,274.41998,274.41998,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.0,274.5,274.5,274.5,274.5,274.5,276.19,276.19,276.19,276.19,276.19,275.51,275.51,275.51,275.51,280.31,280.31,280.31,280.31,280.31,280.19,280.19,280.19,280.19,274.83002,274.83002,274.83002,274.83002,274.83002,274.83002,274.83002,258.12,258.12,258.12,266.06,266.06,266.06,266.06,266.06,267.38,267.38,267.38,267.38,270.46,270.46,270.95,270.95,262.01,262.01,262.01,262.01,262.01,253.18,253.18,253.18,253.18,252.33,252.33,252.33,258.8,258.8,258.8,258.8,258.8,251.02,251.02,251.02,265.46,265.46,265.46,265.46,288.37,288.37,288.91998,288.91998,288.91998,288.91998,289.47,289.47,289.47,289.47,289.47,265.85,265.85,265.85,265.85,261.25,261.25,282.31,282.31,282.31,282.31,289.29,289.29,289.29,274.66998,274.66998,274.66998,274.66998,278.71,278.71,278.71,278.71,255.69,255.69,255.69,255.69,255.69,229.45999,229.45999,229.45999,233.64,233.64,249.64,249.64,249.64,280.11,280.11,280.11,269.25,269.25,269.25,277.65,277.65,277.65,268.4,268.4,282.24,282.24,282.24,282.24,288.79,288.79,288.79,287.57,287.57,287.57,285.91998,285.91998,285.91998,288.65,288.65,288.65,287.01,287.01,287.01,289.21,289.21,289.21,287.97998,287.97998,287.97998,289.63,289.63,289.63,289.63,289.63,282.37,282.37,282.37,291.09,291.09,291.09,292.62,292.62,292.62,294.21,294.21,294.21,294.72998,294.72998,294.72998,294.72998,294.72998,283.7,283.7,283.7,281.78,281.78,281.78,281.78,281.78,293.52,293.52,293.52,293.52,293.52,292.88,292.88,292.88,292.35,292.35,292.35,293.91,293.91,293.39,293.39,293.39,289.26,274.83002,274.83002,256.98,256.98,282.45,282.45,282.45,263.33,263.33,275.63,275.63,281.11,281.11,281.11,290.11,290.11,277.16,277.16,277.16,275.36,275.36,285.22,285.22,285.22,293.24,293.24,294.86,294.86,295.31,295.31,295.31,295.31,295.31,295.31,295.31,294.78,294.78
9,281.06,281.06,281.06,281.06,281.06,281.32,281.32,281.32,281.32,281.32,281.32,281.32,281.32,285.21,285.21,285.21,285.21,285.21,276.79,276.79,276.79,276.79,279.21,279.21,279.21,279.21,279.21,283.04,283.04,283.04,283.04,283.04,280.69,280.69,280.69,280.69,280.69,280.69,280.69,280.69,280.69,276.2,276.2,276.2,276.2,276.2,277.28,277.28,277.28,277.28,277.28,279.0,279.0,279.0,279.0,279.0,279.0,274.57,276.15,276.15,274.5,274.5,274.5,274.5,274.5,274.5,274.99,274.99,274.99,274.99,274.99,275.51,275.51,275.51,275.51,275.51,276.19,276.19,276.19,276.19,280.04,280.04,280.04,280.04,281.05,281.05,281.05,281.05,281.05,281.05,263.27,263.27,263.27,263.27,263.27,262.93,262.93,262.93,262.93,268.45,268.45,268.45,268.45,260.4,260.4,260.4,260.4,260.4,270.95,270.95,270.95,270.95,262.01,262.01,262.01,262.01,262.01,253.18,253.18,253.18,253.18,252.33,252.33,252.33,258.8,258.8,258.8,258.8,258.8,251.02,251.02,251.02,265.46,265.46,262.29,262.29,286.16,286.16,290.03,290.03,290.03,290.03,290.03,290.03,290.03,290.03,290.03,263.84,263.84,263.84,263.84,258.59,258.59,280.27,280.27,280.27,280.27,289.29,289.29,289.29,281.94,281.94,281.94,281.94,281.94,281.94,281.94,281.94,260.03,260.03,260.03,260.03,260.03,231.03,231.03,231.03,221.45999,221.45999,221.45999,283.28,283.28,283.28,283.28,283.28,263.64,263.64,263.64,275.47998,275.47998,275.47998,272.0,272.0,272.0,277.65,277.65,277.65,288.79,288.79,288.79,287.57,287.57,287.57,279.9,279.9,279.9,288.65,288.65,288.65,287.01,287.01,287.01,289.21,290.79,288.52,288.52,288.52,289.63,289.63,289.63,290.66998,290.66998,290.66998,282.37,282.37,282.37,284.18,284.18,284.18,290.55,290.55,290.55,294.21,294.21,294.72998,294.72998,294.72998,285.18,285.18,285.18,283.11,283.11,283.11,263.91,263.91,263.91,290.41998,290.41998,292.47998,292.47998,292.47998,291.97998,291.97998,292.88,292.88,292.88,292.35,292.35,292.88,292.88,292.88,291.86,291.86,291.86,291.86,291.86,291.86,261.27,261.27,261.27,267.27,278.2,278.2,278.2,278.2,269.72998,269.72998,269.16998,269.16998,278.83002,278.83002,278.83002,270.66998,270.66998,270.66998,270.66998,289.06,289.06,295.38,295.38,295.38,295.38,295.38,295.31,295.31,295.31,295.31,295.31,295.31,295.31,294.78,294.78
