,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
0,288.16,290.61,290.61,289.37,289.37,285.05,285.05,287.16998,287.16998,290.93,291.29,291.29,291.79,291.79,291.66,291.66,291.66,291.66,291.29,291.29,290.93,290.93,290.15,289.16,289.16,290.64,290.64,291.5,291.5,290.15,290.15,290.39,290.39,292.12,292.12,287.64,287.64,288.72998,288.72998,286.08002,281.94,281.94,273.97,273.97,272.74,272.74,268.08002,258.93,258.93,266.58002,266.58002,266.58002,272.47998,275.85,275.85,273.09,273.09,278.99,278.99,284.65,284.65,279.59,279.59,273.93,273.93,269.12,269.12,269.12,269.12,269.12,269.12,265.63,265.63,267.25,267.25,271.55,271.55,263.03,263.03,258.26,258.26,255.27,255.27,254.35,254.35,275.62,275.62,275.62,273.3,273.3,267.71,267.71,289.49,289.49,289.49,288.29,287.15,288.55,288.55,287.41,287.41,288.55,288.55,286.54,286.54,284.88,284.88,284.88,285.88,285.88,286.19,286.19,287.06,287.06,287.81,287.81,287.81,287.81,286.32,286.32,286.32,287.32,287.32,287.76,287.76,285.9,285.9,288.38,288.38,288.38,287.86,287.86,284.39,284.39,285.63,285.63,289.1,289.1,289.1,289.87,289.87,288.46,288.46,277.34,277.34,274.21,274.21,277.86,277.86,277.86,280.94,280.94,281.41,281.41,280.8,280.8,280.8,280.22998,280.22998,290.81,290.81,290.81,290.81,290.81,290.81,291.02,291.02,290.13,290.13,291.09,291.09,291.09,291.47,291.47,290.89,290.89,290.89,288.93,288.93,287.3,287.3,287.3,285.51,285.51,286.04,289.41,289.41,285.51,285.51,287.64,287.64,287.64,290.36,290.36,281.9,281.9,281.9,277.97,277.97,280.19,280.19,280.19,290.87,290.87,290.87,289.04,262.78,273.27,273.27,275.47,275.47,275.47,265.26,252.48,252.48,252.48,251.5,251.5,251.5,255.6,255.6,255.6,255.6,257.18,257.18,263.1,263.1,263.1,263.83,263.83,245.69,245.69,245.69,241.11,238.81,238.81,249.20999,249.20999,249.20999,240.52,240.52,240.52,243.73,243.73,243.73,249.58,249.58,249.58,263.36,263.36,263.36,240.51,240.51,229.20999,229.20999,229.20999,239.87,239.87,239.87,239.87,234.88,234.88,252.31,252.31,252.31,252.31,280.9,280.9,280.9,280.9,277.15,277.15,277.15,277.88,277.88,277.88,277.88,282.95,282.95,282.95,282.95,282.95,282.95,287.84,287.84,287.84,287.84,287.84,287.84,287.84,287.84,288.87,288.87,288.87,289.57,289.57,289.31,289.31,289.05,289.05,289.05
1,289.62,289.62,290.36,290.36,290.72998,290.13,282.31,282.31,285.83002,290.3,290.3,291.29,291.29,291.91,291.91,291.91,291.79,291.79,290.68,290.68,290.3,290.3,290.39,290.39,289.29,289.29,292.61,292.61,291.5,290.15,290.15,290.39,290.39,290.03,290.03,289.65,289.65,287.58002,281.94,281.94,279.43,279.43,273.28,273.28,268.54,261.99,261.99,260.79,260.79,269.53,269.53,269.53,268.77,268.77,265.41998,275.85,273.09,273.09,278.99,278.99,284.65,284.65,273.32,273.32,270.6,270.6,287.29,287.29,284.04,284.04,275.56,275.56,273.11,273.11,269.28,269.28,274.24,274.24,270.91998,258.71,258.71,263.49,263.49,262.32,262.32,275.62,275.62,275.62,273.3,273.3,284.25,284.25,289.49,289.49,289.49,288.29,288.29,289.16998,289.16998,289.68,289.68,289.68,289.04,289.04,285.55,285.55,286.02,286.02,286.45,286.45,286.58002,286.58002,287.45,287.45,288.33002,288.33002,288.33002,288.46,288.46,287.94,287.94,288.12,287.32,287.76,287.76,287.76,285.9,285.9,284.16,284.16,286.62,286.62,287.5,287.5,287.5,288.25,288.25,288.85,288.85,289.61,289.61,287.32,287.32,280.16,280.16,280.16,274.21,274.21,277.86,277.86,284.51,284.51,282.52,282.52,282.52,291.39,291.39,291.39,291.39,291.39,291.39,291.39,291.39,291.26,291.26,290.77,290.77,290.26,290.26,290.26,291.34,291.34,291.59,291.59,291.59,291.72,291.72,289.3,289.3,289.3,287.03,287.3,285.51,285.51,283.53,283.53,283.53,284.79,284.79,284.79,285.51,285.51,285.51,291.12,274.64,274.64,273.84,273.84,273.84,286.47998,286.47998,286.47998,286.47998,286.47998,286.47998,286.47998,286.41,262.78,262.78,262.78,276.49,276.49,259.02,259.02,252.26,252.26,252.26,250.51,250.51,250.51,252.8,252.8,252.8,252.8,252.8,261.36,261.36,261.36,252.48,263.83,263.83,245.69,245.69,245.69,241.11,241.11,241.11,247.48999,247.48999,237.59,237.59,237.59,246.36,246.36,246.36,258.15,258.15,258.15,262.22,262.22,262.22,238.11,238.11,231.91,231.91,231.91,239.87,239.87,239.87,239.87,244.61,244.61,244.61,244.61,265.41998,265.41998,265.41998,265.41998,278.47998,278.47998,278.47998,278.47998,278.47998,278.47998,282.72998,282.72998,282.72998,282.0,282.0,282.0,282.0,282.95,282.95,282.95,285.54,285.54,285.54,285.54,288.35,288.35,288.35,287.84,288.87,288.87,288.87,289.57,289.57,289.57,289.57,288.79,288.79
2,290.0,290.0,290.47998,290.47998,288.03,288.03,290.47998,290.2,290.2,290.2,290.2,291.41,291.41,291.91,291.91,292.03,292.03,291.66,291.66,290.2,290.39,290.39,290.64,290.39,289.29,289.29,292.61,292.61,292.74,292.74,292.12,292.12,290.64,290.64,289.65,287.09,287.09,282.47,282.47,282.74,282.74,279.43,279.43,273.89,270.22,262.48,262.48,260.38,260.38,269.53,269.53,269.53,268.77,268.77,265.41998,265.41998,276.8,276.8,274.9,274.9,288.2,288.2,273.25,273.25,270.03,270.03,287.16,287.16,287.16,288.54,288.54,278.22,278.22,278.22,278.22,278.22,278.22,278.22,277.76,277.76,267.38,263.49,263.49,263.49,262.32,262.32,279.8,279.8,279.8,280.76,280.76,284.25,284.25,290.54,290.54,290.54,289.04,289.04,289.29,289.29,289.41998,289.41998,287.41,287.41,286.15,286.15,286.41,286.41,286.93,286.93,286.93,286.32,286.32,287.81,287.81,289.21,289.21,288.2,288.46,287.94,287.94,287.94,288.12,288.12,288.12,288.12,286.76,286.76,283.28,283.28,284.26,284.26,284.26,286.97,286.97,288.12,288.12,284.84,284.84,278.16,278.16,284.16998,284.84,284.84,280.16,280.16,272.51,272.51,277.34,277.34,277.34,284.51,284.51,284.51,285.91,285.91,285.91,285.91,286.65,286.65,286.65,291.76,291.76,291.51,291.51,291.51,290.26,290.26,289.81,289.81,291.02,291.02,291.02,291.59,291.59,291.97,291.72,291.72,289.3,289.3,287.03,287.03,287.03,286.16998,286.16998,285.64,285.64,285.64,285.64,285.64,285.64,288.27,288.27,290.3,290.3,280.33002,280.33002,272.57,273.84,285.03,285.03,285.03,285.03,285.03,285.61,274.85,274.85,261.53,261.53,261.53,264.12,264.12,264.12,257.97,257.97,251.5,251.5,251.48999,251.48999,251.48999,252.8,252.8,252.8,251.27,251.27,252.8,261.36,261.36,261.36,252.48,252.48,243.48,243.48,243.48,244.23999,244.23999,244.23999,241.64,241.64,241.64,237.59,237.59,237.59,252.18,252.18,252.18,266.45,266.45,266.45,266.45,260.65,260.65,238.11,238.11,231.91,231.91,231.91,238.39,238.39,238.39,246.57,246.57,246.57,246.57,274.96,274.96,274.96,274.96,270.07,270.07,270.07,270.07,283.47,283.47,283.47,280.72998,280.72998,280.72998,276.45,276.45,282.0,282.95,282.95,282.95,282.95,284.84,284.84,285.54,285.54,288.35,288.35,288.35,288.35,289.57,289.57,289.57,289.7,289.7,289.7,289.05,289.05
3,288.64,289.5,290.72998,290.72998,278.91998,285.65,288.32,288.32,286.36,286.36,290.68,291.29,291.29,291.54,291.54,291.79,291.79,291.79,291.79,290.2,290.2,290.39,290.39,290.64,291.5,291.5,292.86,292.86,293.22998,293.22998,292.61,292.61,292.12,292.12,287.38,282.86,282.86,280.16998,280.16998,279.28,279.28,275.91,275.91,272.13,272.13,267.3,262.48,262.48,260.38,260.38,264.91,264.91,264.91,273.32,273.32,269.1,269.1,281.51,281.51,275.4,275.4,283.12,283.12,270.19,270.19,270.19,270.19,288.03,288.03,291.27,291.27,288.54,288.54,289.9,289.9,285.43,285.43,278.22,278.22,277.76,277.76,267.38,254.95,254.95,269.75,269.75,269.75,278.5,278.5,279.94,279.94,274.89,274.89,280.16998,280.16998,289.16998,288.78,288.78,288.55,288.55,289.55,289.55,286.28,286.28,286.28,285.02,285.02,287.06,287.06,287.32,287.32,286.45,286.45,287.81,287.81,289.21,289.21,289.21,288.2,288.2,288.46,288.46,288.38,288.38,282.45,282.45,281.97998,281.97998,284.12,288.51,288.51,288.51,288.51,288.25,288.25,288.25,288.59,288.59,287.18,287.18,278.16,278.16,286.56,284.84,283.38,283.38,283.38,279.59,279.59,285.11,285.11,285.11,285.11,285.11,285.64,285.64,287.15,287.15,287.15,291.39,291.39,291.76,291.76,291.76,291.21,291.21,290.26,290.26,290.26,290.39,290.39,290.64,291.02,291.59,291.59,291.59,291.97,291.97,289.54,289.54,289.54,287.3,287.3,285.51,285.51,285.51,287.16,287.16,287.16,287.64,287.64,289.91998,289.91998,289.91998,288.15,288.15,280.33002,272.57,272.57,272.57,285.03,285.03,285.03,285.03,285.61,275.16,275.16,275.16,261.72,261.72,261.72,269.8,269.8,256.69,256.69,251.94,251.94,251.94,250.70999,250.70999,251.48999,252.8,252.8,252.8,251.27,251.27,253.23,253.23,253.23,246.85,246.85,246.85,243.5,243.5,243.5,251.07,251.07,251.07,235.87,235.87,235.87,245.44,245.44,245.44,256.13,256.13,256.13,266.65,266.65,266.45,266.45,260.65,235.45999,235.45999,235.45999,235.45999,235.45999,235.45999,238.67,238.67,238.67,238.9,238.9,238.9,275.91,275.91,275.91,275.91,275.91,273.53,273.53,273.53,279.38,279.38,279.38,279.38,280.72998,280.72998,280.72998,276.45,276.45,276.45,283.37,283.37,283.37,284.84,284.84,284.84,284.84,284.84,288.47998,288.47998,288.47998,289.57,289.57,289.57,289.57,289.31,289.31,282.97998,282.97998
4,288.03,290.13,290.13,289.75,276.16998,276.16998,288.09,288.09,290.55,290.55,290.93,290.93,291.54,291.54,291.54,291.54,291.79,291.79,291.79,291.29,291.29,291.63,291.63,292.37,292.37,292.49,292.49,293.22998,293.22998,293.72,293.72,293.72,291.88,291.88,287.84,287.84,282.19,279.46,279.46,278.85,278.85,275.91,275.91,272.13,272.13,267.3,256.85,256.85,261.01,261.01,270.91,270.91,270.91,268.77,268.77,283.66,283.66,280.3,280.3,280.3,280.3,274.44,274.44,285.43,285.43,273.79,273.79,290.16,290.16,290.16,292.39,292.39,293.5,293.5,293.74,293.74,286.55,274.45,274.45,275.77,263.14,263.14,261.24,261.24,279.8,279.8,279.8,281.18,281.18,281.18,278.94,278.94,278.36,278.36,281.39,281.39,286.54,286.54,286.54,287.9,287.9,289.41998,289.41998,285.68,285.68,287.66998,287.66998,289.21,289.21,287.32,287.32,286.45,286.45,286.45,287.71,287.71,288.83,288.83,288.83,288.83,288.83,288.83,285.96,285.96,280.91,280.91,284.53,284.53,284.53,284.53,284.53,288.77,288.77,288.77,288.25,288.25,288.85,288.85,287.18,287.18,282.61,282.61,286.56,286.56,286.56,285.91,285.91,285.91,285.91,285.91,285.91,285.91,287.41,287.41,287.41,285.78,285.78,289.71,289.71,291.26,291.26,291.26,291.89,291.89,291.09,291.09,291.09,290.26,290.26,290.39,290.39,290.39,290.64,290.64,291.84,291.84,291.34,291.34,291.34,289.66998,289.66998,288.16998,288.16998,288.16998,286.5,286.5,286.5,289.28,289.28,289.04,289.04,289.04,290.3,290.3,288.65,288.65,288.15,273.68,273.68,273.68,273.68,289.66,289.66,289.66,289.66,288.39,275.62,275.62,275.62,267.69,267.69,271.97998,271.97998,271.97998,254.88,254.88,251.94,251.94,251.94,250.70999,250.70999,252.04,252.04,252.04,251.82,251.82,251.82,251.82,251.82,251.82,247.98,247.98,247.98,243.98,243.98,243.98,252.18,252.18,238.81,238.81,238.81,259.19,259.19,245.44,256.13,256.13,256.13,266.65,266.65,266.65,259.24,259.24,234.13,234.13,234.13,236.47,236.47,236.47,242.7,242.7,242.7,242.7,242.7,255.3,255.3,255.3,281.47,281.47,281.47,281.47,273.53,273.53,273.53,279.38,279.38,279.38,278.88,278.88,278.88,278.88,272.69,272.69,272.69,286.82,286.82,286.82,286.82,286.82,286.82,286.82,286.82,288.61,288.61,288.61,289.44,289.44,289.44,288.02,288.02,288.02,282.97998
5,288.38,285.31,285.31,286.65,276.16998,276.16998,287.96,287.96,289.82,290.55,290.93,290.93,291.54,291.54,291.91,291.91,292.27,292.27,292.27,292.27,291.29,291.75,291.75,292.25,292.25,293.22998,293.22998,293.35,293.35,293.84,293.84,292.74,292.74,287.38,287.38,285.21,282.19,282.19,279.46,279.46,278.85,278.85,274.94,274.94,271.16998,271.16998,267.59,256.34,267.38,267.38,267.38,273.77,273.77,284.78,284.78,284.78,284.78,284.78,284.78,284.78,283.24,283.24,283.24,289.03,289.03,274.09,274.09,280.41998,286.76,286.76,293.5,293.5,293.86,293.86,293.74,293.74,286.55,286.55,267.71,267.71,274.29,266.59,266.59,266.93,266.93,266.93,282.5,282.5,282.5,282.5,282.7,282.7,282.7,282.7,282.7,282.7,282.7,282.7,286.54,289.41998,289.41998,288.29,288.29,288.29,285.68,287.66998,287.66998,287.66998,289.21,289.21,288.72,288.72,287.94,287.94,288.72,288.72,289.09,289.09,286.84,286.84,286.84,289.01,279.41,279.41,279.41,283.0,283.0,283.47998,284.03,284.03,285.96,285.96,286.97,286.97,288.25,288.25,288.85,288.85,288.85,288.34,288.34,287.58002,287.58002,287.58002,287.58002,277.04,277.04,277.04,286.3,286.3,288.57,288.57,288.57,287.8,287.8,286.26,286.26,290.55,290.55,290.55,291.26,291.26,291.64,291.89,291.89,291.09,291.09,290.51,290.51,290.51,290.26,290.26,290.39,290.39,290.39,291.47,291.47,290.13,290.13,290.13,289.66998,289.66998,287.16,287.16,287.16,288.53,288.53,290.61,290.61,290.61,288.79,289.04,290.3,290.3,290.3,288.65,288.65,286.88,286.88,286.88,281.9,281.9,289.29,289.29,289.29,288.39,288.39,265.85,265.85,265.66998,265.66998,265.66998,271.97998,271.97998,271.97998,254.88,252.16,252.16,252.16,252.26,252.26,252.26,251.82,251.82,251.82,251.6,251.6,251.6,249.45,249.45,243.73,243.73,243.73,249.58,249.58,249.58,239.70999,239.70999,239.70999,238.81,238.81,238.81,259.19,259.19,259.19,259.19,261.39,261.39,261.39,264.82,264.82,258.8,258.8,233.83,233.83,233.83,238.11,238.11,238.11,239.56,239.56,239.56,282.16998,282.16998,282.16998,282.16998,282.16998,281.47,281.47,281.47,281.47,286.93,286.93,278.64,278.64,278.64,278.64,272.96,272.96,272.96,273.28,273.28,273.28,273.28,284.29,284.29,284.29,284.29,285.94,285.94,283.81,283.81,283.81,288.79,288.79,288.02,288.02,288.02,288.28,288.28,288.02
6,289.37,289.37,288.89,289.15,289.15,287.96,287.96,287.96,287.96,289.82,283.97,283.97,285.36,290.93,292.64,292.64,292.64,292.64,291.91,291.91,292.0,292.0,292.12,292.12,292.86,292.86,292.74,293.72,293.72,293.35,293.35,291.14,291.14,289.77,289.77,285.81,285.81,281.39,281.39,281.39,277.3,277.3,271.41998,271.41998,270.54,270.54,272.13,257.57,257.57,261.54,261.54,281.65,281.65,281.65,286.05,286.05,289.46,289.46,287.55,287.55,289.2,289.2,283.37,283.24,288.54,288.54,274.09,274.09,280.41998,280.41998,293.5,293.5,293.86,293.86,291.27,291.27,275.27,275.27,278.94,262.68,262.68,261.32,261.32,279.94,279.94,279.94,284.83002,284.83002,284.83002,284.43,284.43,284.43,284.43,287.66998,287.66998,284.3,284.3,282.7,282.7,290.03,289.41998,289.41998,288.29,288.29,288.29,288.29,288.83,288.83,289.6,289.6,288.83,288.83,288.83,288.83,288.83,289.72,289.72,288.07,288.07,289.09,289.09,287.5,287.5,281.7,279.41,283.0,283.0,283.47998,283.47998,283.47998,285.96,285.96,286.97,286.97,286.97,287.45,287.45,286.43,286.43,286.69,286.69,286.69,287.18,287.18,287.84,287.84,283.38,283.38,286.78,286.78,286.78,288.7,288.7,287.93,287.93,287.93,286.91998,286.91998,290.55,290.55,291.26,291.26,291.26,291.64,291.64,290.89,290.89,290.89,290.89,290.89,290.13,290.13,290.13,290.89,290.89,290.77,290.77,290.77,289.28,289.28,288.79,288.79,288.79,288.66,288.66,289.79,289.79,288.53,290.61,290.61,288.79,288.79,288.79,291.57,291.57,289.54,289.54,289.54,279.47998,279.47998,285.03,283.04,283.04,283.04,283.04,283.04,281.87,260.13,265.85,265.85,265.66998,265.66998,265.66998,270.83002,253.86,253.86,253.86,252.04,252.04,252.04,253.23,253.23,253.23,251.48999,251.48999,249.68,249.68,249.68,256.98,256.98,256.98,242.2,242.2,242.2,249.58,249.58,249.58,239.70999,239.70999,239.70999,243.23999,243.23999,243.23999,261.39,261.39,261.39,261.39,266.28,266.28,266.28,270.11,270.11,253.51,253.51,234.13,234.13,234.13,239.33,239.33,239.33,239.56,239.56,239.56,282.16998,282.16998,282.16998,282.16998,282.16998,282.72998,282.72998,282.72998,286.93,286.93,286.93,286.93,279.43,279.43,279.43,274.7,274.7,274.7,274.04,274.04,274.04,284.7,284.7,284.7,284.7,284.7,287.97,287.97,283.81,283.81,261.47,261.47,261.47,261.47,288.02,280.95,280.95,280.95
7,289.37,289.37,288.89,288.89,289.15,289.15,284.56,287.44,287.44,287.44,287.44,291.91,291.91,291.91,291.91,292.52,292.52,292.89,291.29,291.29,292.74,292.74,292.86,292.86,292.97998,292.97998,293.72,293.72,293.47998,293.47998,292.49,292.49,292.37,289.77,289.77,285.81,285.81,281.8,281.8,280.57,280.57,277.59,269.79,269.79,267.43,267.43,266.88,261.54,261.54,274.9,274.9,274.9,291.56,291.56,291.56,291.56,291.56,290.45,290.45,286.18,286.18,289.33,283.37,283.37,288.54,288.54,267.08002,267.08002,275.56,275.56,292.14,292.14,292.14,293.37,293.37,289.29,279.94,279.94,283.19,264.01,264.01,271.08002,271.08002,271.08002,271.08002,288.1,288.1,288.1,288.1,287.97,287.97,289.29,289.29,289.29,288.78,287.66998,284.3,280.74,280.74,290.03,290.03,290.03,289.41998,289.41998,289.29,289.29,288.72,288.72,289.83,289.83,289.83,289.47,289.47,289.83,289.83,289.96,289.96,286.93,286.93,287.86,287.86,287.86,287.99,281.7,281.7,281.7,277.91,277.91,286.97,286.97,286.97,286.97,282.54,282.54,282.54,287.45,287.45,285.96,285.96,285.96,287.18,287.18,288.46,288.46,288.08002,288.08002,288.08002,283.38,283.38,287.8,287.8,287.66998,287.66998,287.66998,287.93,287.93,286.91998,286.91998,286.91998,290.43,290.43,291.01,291.01,291.59,291.59,291.59,290.77,290.77,290.51,290.51,290.51,290.39,290.39,290.64,290.64,290.64,289.69,289.69,288.04,288.04,288.04,286.64,288.79,288.66,288.66,288.66,289.79,289.79,290.36,290.36,290.36,289.54,289.54,291.32,291.32,291.32,290.62,290.62,290.62,285.03,285.03,285.03,285.03,285.03,283.04,283.04,281.87,281.87,260.13,260.13,257.57,257.57,257.57,257.49,257.49,253.13,253.13,253.13,252.04,252.04,255.39,255.39,255.39,251.6,251.6,251.6,254.48,254.48,254.48,248.84,256.98,256.98,242.2,242.2,242.2,251.41,251.41,251.41,239.08,239.08,257.89,257.89,257.89,263.97,263.97,263.97,263.97,265.9,265.9,265.9,271.89,271.89,257.95,257.95,236.47,236.47,234.13,234.13,239.33,239.33,239.33,262.97,262.97,262.97,262.97,262.97,282.01,282.01,282.01,287.14,287.14,287.14,287.14,287.14,287.14,287.14,287.14,283.5,283.5,283.5,283.5,283.5,279.95,279.95,274.04,284.84,284.84,284.84,284.84,284.84,287.25,253.02,253.02,244.23999,244.23999,244.23999,244.23999,285.83002,285.83002,285.83002,285.83002
8,288.25,288.25,290.13,290.13,289.44,289.44,288.22,288.22,290.07,290.07,287.22,284.56,284.56,288.44,288.44,292.89,292.89,293.14,293.14,292.61,292.61,293.6,293.6,293.11,292.97998,292.97998,293.6,293.6,293.47998,293.47998,292.49,292.49,292.37,292.37,288.47998,288.47998,286.34,281.94,281.94,278.37,278.37,274.87,274.87,267.91998,267.91998,269.63,269.63,264.25,264.25,270.01,270.01,290.69,290.69,290.69,290.69,291.81,291.81,291.44,291.44,285.18,286.18,289.33,289.33,282.05,282.05,282.05,264.45,264.45,279.4,279.4,279.4,287.9,287.9,289.16,289.16,280.08002,280.08002,276.56,276.56,276.56,276.56,267.38,267.38,280.51,280.51,288.85,288.85,288.85,290.1,290.1,290.22998,287.97,289.29,289.29,288.78,288.78,287.54,287.54,290.66998,290.66998,290.66998,290.66998,290.78,290.78,290.78,286.81,286.81,289.34,289.34,289.96,289.96,289.47,289.47,289.83,289.83,290.21,290.21,290.21,288.46,288.46,287.86,287.86,287.99,287.99,273.13,273.13,273.13,273.13,284.66,284.66,284.66,282.4,282.4,280.21,280.21,287.45,287.45,287.45,287.58002,287.58002,288.46,288.46,288.46,289.22998,289.22998,288.21,288.21,287.58002,287.58002,287.8,287.8,287.8,287.66998,287.66998,288.57,288.57,288.57,288.31,288.31,290.55,290.55,290.68,290.68,290.68,291.09,291.09,289.94,289.94,289.94,290.13,290.13,290.39,290.39,290.39,289.81,289.81,288.91,288.91,289.69,288.04,288.04,286.64,286.64,286.64,289.28,289.28,289.16998,289.16998,289.16998,289.91998,289.91998,290.49,290.49,290.49,291.95,291.95,291.95,291.32,291.32,284.25,284.25,284.25,292.2,292.2,288.64,268.24,268.24,268.24,257.77,257.77,257.77,257.49,257.49,257.49,256.69,256.69,253.95999,253.95999,252.04,252.04,252.04,256.09,256.09,256.09,250.70999,251.6,251.6,254.48,254.48,254.48,248.84,248.84,239.08,239.08,239.08,250.26,250.26,250.26,239.36,239.36,239.36,259.58,259.58,259.58,259.58,265.72,265.72,265.72,260.26,260.26,260.26,273.95,273.95,257.95,257.95,236.47,236.47,236.47,247.66,247.66,247.66,247.66,268.74,268.74,268.74,268.74,283.19,283.19,283.19,283.19,283.19,284.72998,284.72998,284.72998,288.07,288.07,281.72,281.72,281.72,280.87,283.5,283.5,283.5,279.95,279.95,279.95,284.84,284.84,284.84,278.4,278.4,231.91,231.91,231.91,241.86,241.86,241.86,241.86,267.44,267.44,267.44
9,285.78,288.51,288.51,288.51,290.43,290.43,289.44,289.44,286.7,286.7,284.83002,284.83002,289.31,289.31,292.64,293.14,293.14,292.89,292.89,293.72,293.72,293.72,293.72,293.11,293.11,292.97998,292.97998,293.6,293.6,293.6,292.74,292.74,290.03,290.03,290.24,290.24,285.81,281.13,281.13,278.71,278.71,274.41998,274.41998,267.59,267.59,270.59,270.59,270.59,270.59,281.26,270.01,288.82,288.82,288.82,286.18,290.69,291.81,291.81,291.44,291.44,285.18,285.18,286.18,283.91,283.91,275.06,275.06,283.91,283.91,283.91,283.91,283.91,283.91,284.58002,289.9,281.46,281.46,276.22,276.22,272.44,276.56,267.38,267.38,280.51,280.51,288.85,288.85,288.85,290.1,290.1,290.22998,290.22998,290.41,290.41,289.04,289.04,289.04,284.43,284.43,287.54,287.54,289.29,289.29,290.41,290.41,288.33002,288.33002,289.83,289.83,289.83,289.83,289.83,289.09,289.09,289.09,289.09,290.21,290.21,288.46,288.46,287.5,287.5,287.5,286.89,278.74,278.74,278.74,277.35,277.35,284.53,284.53,279.69,279.69,278.95,278.95,278.95,287.71,287.71,288.21,288.21,288.21,288.34,288.34,288.46,288.46,288.21,288.21,288.21,287.58002,287.58002,287.8,287.8,288.18,288.18,288.18,288.44,288.44,289.33,289.33,289.33,290.68,290.68,290.64,290.64,290.51,290.51,290.51,290.13,290.13,290.13,290.13,290.13,290.13,290.39,289.81,289.81,289.81,288.91,288.91,285.91,285.91,285.91,288.27,288.27,289.16998,289.16998,289.16998,289.66998,289.66998,290.22998,290.22998,290.22998,291.57,291.57,291.57,292.4,292.4,291.12,291.12,291.12,292.2,284.25,292.2,292.2,292.2,288.64,261.72,261.72,261.72,257.09,257.09,257.09,256.4,256.4,255.5,255.5,253.97,253.97,253.97,253.75,253.75,252.04,256.09,256.09,256.09,250.70999,250.70999,256.5,256.5,256.5,240.52,240.52,240.52,242.2,242.2,242.2,242.45999,242.45999,242.45999,256.34,256.34,256.34,264.69,264.69,264.69,264.69,263.54,263.54,263.54,260.26,260.26,260.26,273.95,273.95,251.52,251.52,251.52,240.51,240.51,240.51,278.79,278.79,278.79,278.79,275.27,275.27,275.27,287.06,287.06,287.06,287.06,287.06,287.06,287.06,287.06,287.66998,287.66998,281.72,281.72,281.72,280.87,280.87,280.87,283.74,283.74,283.74,283.74,286.21,286.21,250.1,225.41,225.41,225.41,225.41,240.73999,240.73999,240.73999,240.73999,265.0,265.0,267.44
